GeneID	GSM5823949	GSM5823950	GSM5823951	GSM5823952	GSM5823953	GSM5823954	GSM5823955	GSM5823956	GSM5823957	GSM5823958	GSM5823959	GSM5823960
100287102	0.02877	0.05704	0.02846	0.02909	0.02638	0.0321	0.02921	0.05816	0.04829	0.03485	0.08535	0.4262
653635	7.872	7.564	8.054	7.904	7.466	7.885	7.665	7.088	8.681	8.185	11	9.678
102466751	2.796	4.157	4.149	4.24	3.205	5.46	4.258	7.771	2.346	3.81	8.986	3.883
107985730	0	0.08758	0	0	0.08102	0	0	0	0.07414	0.0535	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0.3189
645520	0	0	0	0.04252	0	0	0	0	0.0353	0	0	0.07789
79501	0	0	0	0	0	0	0	0	0	0.03136	0	0.1438
100996442	0.2428	0.1733	0.1537	0.1964	0.2138	0.1734	0.1479	0.1374	0.1793	0.2235	0.2401	0.1978
729737	0.3386	0.2926	0.2577	0.316	0.2309	0.2616	0.3174	0.3072	0.3935	0.2734	0.5066	0.5628
102725121	0.02958	0.05864	0	0	0.05425	0	0.03003	0	0	0	0	0.712
102723897	8.151	9.124	8.678	8.186	8.886	9.366	8.933	8.402	8.993	8.713	11.56	11.27
102465909	4.194	4.85	3.458	4.946	3.846	3.9	3.548	7.771	4.693	4.233	7.603	5.825
107985721	0	0.01741	0	0	0	0.0196	0	0	0.01474	0.02128	0.03474	0.01626
112268260	0.05767	0.05717	0.04279	0.02915	0.0595	0.04022	0.05123	0.03643	0.06655	0.06113	0.05703	0.06675
729759	0	0	0	0	0	0	0	0	0	0	0	0.2343
100132287	1.142	1.272	1.496	1.308	1.087	1.104	1.48	1.22	1.287	1.034	2.323	1.642
105378947	0.02028	0	0.02007	0.02051	0	0	0.0206	0.0205	0	0	0	0.01878
101928626	0	0	0	0	0	0	0	0.0602	0	0	0	0
113219467	133.2	109.5	160.3	154.3	133.8	109.8	146.1	70.37	318	178	405.8	257.2
81399	0.02467	0.02445	0.03254	0.01663	0.02262	0.01835	0.03339	0.02493	0.0207	0.01992	0.0244	0.1066
100133331	1.802	1.875	2.476	2.103	1.571	1.638	2.722	2.215	1.988	1.368	3.333	2.389
107984841	2.72	2.188	4.418	2.335	2.354	1.947	4.117	3.061	2.542	1.865	5.634	3.85
107984847	5.586	5.732	7.078	6.44	5.213	4.921	9.751	8.321	4.524	3.324	10.47	7.35
107984849	3.225	2.019	3.359	2.402	2.335	1.705	4.136	2.745	2.707	1.748	4.532	2.672
100288069	2.912	2.818	2.778	3.014	2.989	2.747	5.209	3.434	3.084	2.478	4.697	3.563
105378580	0.1018	0.03668	0.1281	0.1777	0.05938	0.1445	0.1878	0.1683	0.1242	0.07283	0.1189	0.1542
400728	0.1467	0.09695	0.1209	0.173	0.157	0.3001	0.2731	0.09885	0.1642	0.1777	0.266	0.3396
79854	1.444	1.037	1.393	1.167	0.8605	0.9665	1.832	0.9484	0.4846	0.8524	0.7851	1.236
643837	0.9317	1.112	1.727	1.384	1.01	0.9765	1.625	1.696	0.8209	0.7919	1.441	1.454
107984850	0	0	0	0.03916	0	0	0	0	0	0	0	0
284593	0	0	0	0.02816	0.02555	0	0.05657	0.05632	0.02338	0.01687	0.0551	0.129
284600	1.109	1.881	3.742	1.781	1.039	1.031	4.991	1.644	0.8375	0.6193	2.546	1.757
100130417	6.091	10.42	9.461	4.211	7.641	6.973	9.036	3.956	4.609	4.32	6.055	5.348
107985728	4.263	7.444	6.848	3.453	5.571	5.92	7.901	2.872	2.855	2.937	2.617	3.295
148398	15.67	26.18	33.19	21.52	21.75	22.94	35.35	22.38	10.45	10.53	14.28	15.78
