GeneID	GSM5823949	GSM5823950	GSM5823951	GSM5823952	GSM5823953	GSM5823954	GSM5823955	GSM5823956	GSM5823957	GSM5823958	GSM5823959	GSM5823960
100287102	1	2	1	1	1	1	1	2	2	2	3	16
653635	293	284	303	291	303	263	281	261	385	503	414	389
102466751	4	6	6	6	5	7	6	11	4	9	13	6
107985730	0	1	0	0	1	0	0	0	1	1	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	1
645520	0	0	0	1	0	0	0	0	1	0	0	2
79501	0	0	0	0	0	0	0	0	0	1	0	3
100996442	25	18	16	20	24	16	15	14	22	38	25	22
729737	39	34	30	36	29	27	36	35	54	52	59	70
102725121	1	2	0	0	2	0	1	0	0	0	0	26
102723897	302	341	325	300	359	311	326	308	397	533	433	451
102465909	6	7	5	7	6	5	5	11	8	10	11	9
107985721	0	1	0	0	0	1	0	0	1	2	2	1
112268260	8	8	6	4	9	5	7	5	11	14	8	10
729759	0	0	0	0	0	0	0	0	0	0	0	5
100132287	105	118	139	119	109	91	134	111	141	157	216	163
105378947	1	0	1	1	0	0	1	1	0	0	0	1
101928626	0	0	0	0	0	0	0	1	0	0	0	0
113219467	199	165	242	228	218	147	215	104	566	439	613	415
81399	3	3	4	2	3	2	4	3	3	4	3	14
100133331	162	170	225	187	154	132	241	197	213	203	303	232
107984841	53	43	87	45	50	34	79	59	59	60	111	81
107984847	57	59	73	65	58	45	98	84	55	56	108	81
107984849	19	12	20	14	15	9	24	16	19	17	27	17
100288069	84	82	81	86	94	71	148	98	106	118	137	111
105378580	11	4	14	19	7	14	20	18	16	13	13	18
400728	6	4	5	7	7	11	11	4	8	12	11	15
79854	40	29	39	32	26	24	50	26	16	39	22	37
643837	181	218	339	266	214	170	311	326	190	254	283	305
107984850	0	0	0	2	0	0	0	0	0	0	0	0
284593	0	0	0	1	1	0	2	2	1	1	2	5
284600	90	154	307	143	92	75	399	132	81	83	209	154
100130417	193	333	303	132	264	198	282	124	174	226	194	183
107985728	327	576	531	262	466	407	597	218	261	372	203	273
148398	843	1421	1805	1145	1276	1106	1873	1191	670	935	777	917
26155	3797	4743	6024	7420	4568	4271	5811	7757	2976	3730	4072	3946
339451	727	819	926	1058	774	625	880	913	648	686	789	651
84069	155	234	178	202	192	172	190	177	211	176	303	249
84808	37	43	29	39	41	40	42	27	57	47	70	85
57801	723	745	1266	1091	650	533	1095	740	1695	1426	2471	1913
9636	257	346	649	1112	205	246	575	812	484	365	6164	6994
375790	19307	17971	18360	15742	18660	15364	16232	13167	25194	36615	23030	25996
100288175	59	39	39	30	60	32	40	31	30	46	66	56
112267874	19	16	19	7	18	9	16	9	20	20	24	23
105378948	43	29	46	41	47	32	61	27	47	58	68	71
401934	1	1	3	7	0	2	4	3	1	3	2	8
54991	329	351	440	419	334	298	386	395	534	611	600	492
254099	0	0	0	0	0	0	0	0	0	0	1	3
406984	0	0	0	0	0	0	0	0	0	0	0	1
406983	0	0	0	0	0	0	0	0	0	0	0	3
554210	0	0	0	1	0	0	0	0	0	0	0	1
100506376	0	0	0	0	0	0	0	0	0	0	0	4
254173	1	0	0	0	0	0	0	1	1	0	1	34
8784	6	0	13	16	6	4	8	2	5	17	2	12
7293	2	2	0	3	3	2	2	1	7	0	1	9
51150	3259	3311	4487	4560	3365	2857	4344	4150	3704	5337	4499	4585
126792	661	687	942	931	697	545	817	790	1084	1489	1550	1616
388581	18	18	37	42	19	11	39	38	28	27	51	52
118424	1411	1587	1877	2214	1541	1214	1572	2087	1331	1646	1400	1523
101928895	106	118	117	112	111	88	152	106	168	225	211	206
6339	279	234	327	309	269	220	327	269	464	581	661	613
116983	1034	1222	1173	1282	951	956	1105	1103	1279	1605	1203	936
102465434	0	1	0	0	1	1	0	1	1	1	1	3
109623456	5	10	11	7	8	13	8	9	9	14	9	6
126789	383	417	435	550	421	390	397	467	378	494	538	464
54973	1908	1951	2536	2405	2129	1717	2494	2371	2047	2985	2684	2664
102465435	12	13	12	27	16	9	13	18	11	14	17	19
80772	597	541	846	923	558	518	741	764	799	1110	1101	1380
83756	31	24	43	58	29	32	41	51	59	62	70	123
1855	1547	1800	2463	2665	1861	1471	2198	2446	1996	2791	3149	3082
102466740	5	7	8	11	7	5	5	13	7	3	11	9
54587	184	163	169	148	160	136	163	121	305	473	305	273
54998	2033	2326	2938	2924	2419	1968	2738	2966	1561	2119	1886	1940
81669	3650	4081	5022	4934	3458	3378	4861	4730	5210	6225	8173	6859
148413	497	512	622	581	586	492	610	569	593	849	539	637
55052	1161	1414	1474	1789	1369	1179	1354	1800	967	1324	1157	1017
107984868	0	0	1	1	2	1	3	1	1	1	2	3
441869	2	6	7	12	0	2	10	8	4	4	6	29
105378585	0	1	3	2	2	0	0	4	4	1	5	3
