GeneID	GES_W1	GES1_ARID1A_KO	GES1_WT_Volasertib	GES1_ARID1A_KO_Volasertib	OVCAR3_WT	OVCAR3_ARID1A_KO
100287102	0.10272	0.06759000000000001	0.070905	0.10197999999999999	0.10554	0.645
653635	18.604999999999997	18.744999999999997	18.625	17.25	21.455	25.520000000000003
102466751	8.3455	9.852	10.4835	14.047	7.8665	15.7355
107985730	0.1035	0	0.09955	0	0.16205	0
100302278	0	0	0	0	0	0.4057
645520	0	0.049255	0	0	0.04419	0.0991
79501	0	0	0	0	0.04057	0.18295
100996442	0.50285	0.4105	0.47050000000000003	0.3336	0.51365	0.5401
729737	0.76155	0.6729499999999999	0.59735	0.7301	0.8463499999999999	1.3245
102725121	0.105605	0	0.06665	0.03524	0	0.906
102723897	20.79	19.815	22.145	20.27	22.53	28.22
102465909	10.88	9.8475	9.400500000000001	13.214500000000001	11.35	16.54
107985721	0.02058	0	0.02349	0	0.045975	0.062415
112268260	0.13835	0.08472	0.121305	0.10257	0.1624	0.1534
729759	0	0	0	0	0	0.29815
100132287	2.9055	3.2965	2.6595	3.1574999999999998	2.949	4.879
105378947	0.0249	0.047655	0	0.048045000000000004	0	0.023895
101928626	0	0	0	0.0701	0	0
113219467	292.95000000000005	369.6	296.04999999999995	253.45	628.35	814.65
81399	0.059185	0.05801	0.0498	0.06822500000000001	0.05169	0.1649
100133331	4.4275	5.3845	3.894	5.773	4.2585	7.0435
107984841	5.925000000000001	7.965	5.2265	8.3955	5.5945	11.6625
107984847	13.63	15.89	12.305	21.134999999999998	9.9605	21.92
107984849	6.3454999999999995	6.7825	4.9125	8.051	5.6495	8.8445
100288069	6.9055	6.8	6.964499999999999	10.1135	7.066	10.173
105378580	0.16825	0.35845000000000005	0.24619999999999997	0.4164	0.24975	0.33899999999999997
400728	0.2947	0.3444	0.5526	0.43555	0.4354	0.75145
79854	2.998	3.0105	2.216	3.2545	1.7095	2.516
643837	2.4585	3.6595	2.412	3.8825000000000003	2.052	3.58
107984850	0	0.045365	0	0	0	0
284593	0	0.032625	0.0314	0.132	0.0511	0.2303
