GeneID	GSM5823949	GSM5823950	GSM5823951	GSM5823952	GSM5823953	GSM5823954	GSM5823955	GSM5823956	GSM5823957	GSM5823958	GSM5823959	GSM5823960
100287102	0.07064	0.1348	0.06779	0.06739	0.06485	0.07696	0.06856	0.1354	0.1209	0.09018	0.205	1.085
653635	19.33	17.88	19.18	18.31	18.35	18.9	17.99	16.51	21.73	21.18	26.42	24.62
102466751	6.864	9.827	9.882	9.822	7.877	13.09	9.994	18.1	5.874	9.859	21.59	9.881
107985730	0.0	0.207	0.0	0.0	0.1991	0.0	0.0	0.0	0.1856	0.1385	0.0	0.0
100302278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8114
645520	0.0	0.0	0.0	0.09851	0.0	0.0	0.0	0.0	0.08838	0.0	0.0	0.1982
79501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08114	0.0	0.3659
100996442	0.5961	0.4096	0.3661	0.4549	0.5254	0.4156	0.3472	0.32	0.4489	0.5784	0.5768	0.5034
729737	0.8314	0.6917	0.6138	0.7321	0.5676	0.6271	0.7449	0.7153	0.9851	0.7076	1.217	1.432
102725121	0.07261	0.1386	0.0	0.0	0.1333	0.0	0.07048	0.0	0.0	0.0	0.0	1.812
102723897	20.01	21.57	20.67	18.96	21.84	22.45	20.97	19.57	22.51	22.55	27.76	28.68
102465909	10.3	11.46	8.235	11.46	9.453	9.348	8.329	18.1	11.75	10.95	18.26	14.82
107985721	0.0	0.04116	0.0	0.0	0.0	0.04698	0.0	0.0	0.0369	0.05505	0.08345	0.04138
112268260	0.1416	0.1351	0.1019	0.06754	0.1462	0.09641	0.1203	0.08484	0.1666	0.1582	0.137	0.1698
729759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5963
100132287	2.804	3.007	3.562	3.031	2.672	2.647	3.473	2.842	3.222	2.676	5.581	4.177
105378947	0.0498	0.0	0.0478	0.04751	0.0	0.0	0.04834	0.04775	0.0	0.0	0.0	0.04779
101928626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1402	0.0	0.0	0.0	0.0
113219467	327.1	258.8	381.7	357.5	328.9	263.2	343.0	163.9	796.1	460.6	974.8	654.5
81399	0.06057	0.0578	0.0775	0.03852	0.05561	0.04399	0.07839	0.05806	0.05183	0.05155	0.0586	0.2712
100133331	4.424	4.431	5.897	4.872	3.861	3.927	6.388	5.158	4.978	3.539	8.007	6.08
107984841	6.679	5.171	10.52	5.41	5.785	4.668	9.663	7.128	6.363	4.826	13.53	9.795
107984847	13.71	13.55	16.86	14.92	12.81	11.8	22.89	19.38	11.32	8.601	25.14	18.7
107984849	7.918	4.773	7.999	5.566	5.739	4.086	9.709	6.393	6.777	4.522	10.89	6.799
100288069	7.15	6.661	6.617	6.983	7.345	6.584	12.23	7.997	7.721	6.411	11.28	9.066
105378580	0.2498	0.0867	0.3052	0.4117	0.146	0.3464	0.4409	0.3919	0.311	0.1885	0.2857	0.3923
400728	0.3602	0.2292	0.288	0.4008	0.3858	0.7194	0.6409	0.2302	0.411	0.4598	0.6389	0.864
79854	3.544	2.452	3.316	2.705	2.115	2.317	4.3	2.209	1.213	2.206	1.886	3.146
643837	2.288	2.629	4.112	3.207	2.483	2.341	3.815	3.95	2.055	2.049	3.461	3.699
107984850	0.0	0.0	0.0	0.09073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
284593	0.0	0.0	0.0	0.06525	0.0628	0.0	0.1328	0.1312	0.05854	0.04366	0.1324	0.3282
284600	2.722	4.445	8.912	4.126	2.555	2.471	11.71	3.828	2.097	1.603	6.117	4.47
100130417	14.95	24.63	22.53	9.757	18.78	16.71	21.21	9.211	11.54	11.18	14.54	13.61
107985728	10.47	17.59	16.31	7.999	13.69	14.19	18.55	6.689	7.149	7.6	6.287	8.385
148398	38.47	61.89	79.05	49.85	53.46	54.99	82.97	52.11	26.17	27.24	34.31	40.16
26155	160.7	191.6	244.7	299.6	177.5	196.9	238.7	314.8	107.8	100.8	166.8	160.3
339451	25.89	27.83	31.65	35.94	25.3	24.25	30.42	31.17	19.75	15.59	27.19	22.25
84069	4.516	6.507	4.977	5.615	5.136	5.46	5.374	4.944	5.261	3.273	8.542	6.962
84808	1.194	1.325	0.8984	1.201	1.215	1.407	1.316	0.8356	1.575	0.9684	2.186	2.633
57801	43.94	43.21	73.84	63.26	36.27	35.29	64.6	43.12	88.16	55.32	145.3	111.6
9636	47.08	60.49	114.1	194.3	34.48	49.1	102.2	142.6	75.88	42.68	1093.0	1229.0
