Reactions,sprint_GES1_ARID1A_KO,gimme_GES1_ARID1A_KO,init_GES1_ARID1A_KO,sprint_GES1_ARID1A_KO_Volasertib,gimme_GES1_ARID1A_KO_Volasertib,init_GES1_ARID1A_KO_Volasertib,sprint_GES1_WT_Volasertib,gimme_GES1_WT_Volasertib,init_GES1_WT_Volasertib,sprint_GES_WT,gimme_GES_WT,init_GES_WT,sprint_OVCAR3_ARID1A_KO,gimme_OVCAR3_ARID1A_KO,init_OVCAR3_ARID1A_KO,sprint_OVCAR3_WT,gimme_OVCAR3_WT,init_OVCAR3_WT
10FTHF5GLUtl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10FTHF5GLUtm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10FTHF6GLUtl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10FTHF6GLUtm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10FTHF7GLUtl,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
10FTHF7GLUtm,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
10FTHFtl,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
10FTHFtm,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
11DOCRTSLtm,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
11DOCRTSLtr,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
11DOCRTSTRNtm,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
11DOCRTSTRNtr,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
13DAMPPOX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1a_24_25VITD2Hm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a_25VITD2Hm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1MNCAMti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1PPDCRp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24_25DHVITD2t,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
24_25DHVITD2tm,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
24_25DHVITD3t,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
24_25DHVITD3tm,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
24_25VITD2Hm,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
24_25VITD3Hm,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
24NPHte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25HVITD2t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25HVITD2tin_m,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
25HVITD3t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25HVITD3tin_m,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
25VITD2Hm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
25VITD3Hm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2AMACHYD,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2AMACSULT,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
2AMADPTm,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2DR1PP,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2HBO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2HBt2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2HCO3_NAt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2MCITt,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2OXOADOXm,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
2OXOADPTm,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34DHOXPEGOX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34DHOXPEGt,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
34DHPHAMT,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
34DHPHEt,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34DHPLACOX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34DHPLACOX_NADP_,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34DHXMANDACOX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34DHXMANDACOX_NADP_,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34HPLFM,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
34HPPOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
