fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
2.15211627923196e-61,1.50648139546237e-59,"Exchange/demand reaction",32,1787
8.01442565555883e-17,2.80504897944559e-15,"Cholesterol metabolism",59,242
1.87583819682328e-10,4.37695579258766e-09,"Sphingolipid metabolism",34,133
4.18831070357987e-07,7.32954373126477e-06,"Transport, mitochondrial",64,453
1.44118336783458e-06,2.01765671496842e-05,"Drug metabolism",21,573
0.000130493231200788,0.00149433055807813,"Heparan sulfate degradation",9,27
0.000159989839215768,0.00149433055807813,"Phosphatidylinositol phosphate metabolism",11,40
0.000170780635208929,0.00149433055807813,"Keratan sulfate degradation",16,76
0.00038458434252568,0.00299121155297751,"Chondroitin sulfate degradation",11,44
0.00043268755494573,0.00302881288462011,"Fatty acid synthesis",7,239
0.000698329605367124,0.00444391567051806,"Bile acid synthesis",27,185
0.00121061671588204,0.00706193084264526,"Transport, lysosomal",1,105
0.00214857714164605,0.0115692615319403,"Fatty acid oxidation",60,961
0.00313362457303515,0.0156681228651757,"Arachidonic acid metabolism",9,41
0.003676643600924,0.0171576701376453,"Glycolysis/gluconeogenesis",9,42
0.0091014500182148,0.0398188438296897,"Transport, golgi apparatus",2,98
0.0151445607379982,0.0598419900500051,"Miscellaneous",19,152
0.0153879402985728,0.0598419900500051,"Transport, nuclear",1,71
0.0275763787655224,0.101597184925609,"Pentose phosphate pathway",7,41
0.0391252897774978,0.136938514221242,"Tetrahydrobiopterin metabolism",4,18
0.050071134849115,0.166903782830383,"Hyaluronan metabolism",2,5
0.0598122868239884,0.19031182171269,"Glycerophospholipid metabolism",17,165
0.0691197305397303,0.210364397294831,"Thiamine metabolism",2,6
0.0779915054365067,0.212402656090815,"Steroid metabolism",4,90
0.0803167420814482,0.212402656090815,"Alkaloid synthesis",1,1
0.0803167420814482,0.212402656090815,"Nucleotide sugar metabolism",1,1
0.0882947491514577,0.212402656090815,"Methionine and cysteine metabolism",6,46
0.0894712152518889,0.212402656090815,"Chondroitin synthesis",1,45
0.0894712152518889,0.212402656090815,"Valine, leucine, and isoleucine metabolism",1,45
0.0988829787700511,0.212402656090815,"Peptide metabolism",19,242
0.101978851464073,0.212402656090815,"Transport, peroxisomal",14,154
0.104660142295056,0.212402656090815,"Transport, endoplasmic reticular",17,211
0.106503600699398,0.212402656090815,"NAD metabolism",4,27
0.107680796631755,0.212402656090815,"Starch and sucrose metabolism",1,42
0.109235651703848,0.212402656090815,"Eicosanoid metabolism",5,93
0.109235651703848,0.212402656090815,"Tyrosine metabolism",5,93
0.118081656986704,0.223397729434305,"Nucleotide interconversion",13,164
0.121475170000463,0.223770050000853,"Arginine and proline metabolism",1,40
0.136621490986004,0.239738338446723,"Glycosphingolipid metabolism",7,71
0.13699333625527,0.239738338446723,"Lysine metabolism",4,31
0.153331383224033,0.252123080565851,"Phenylalanine metabolism",1,36
0.153459054700867,0.252123080565851,"Vitamin A metabolism",5,47
0.154875606633308,0.252123080565851,"Folate metabolism",3,59
0.16062844405725,0.255545251909261,"Glycine, serine, alanine, and threonine metabolism",2,47
0.171462886633123,0.266720045873747,"Purine catabolism",1,34
0.20205802394562,0.30375079300915,"Tryptophan metabolism",4,45
0.203946961020429,0.30375079300915,"Butanoate metabolism",1,3
0.228161088940015,0.313518547548784,"Aminosugar metabolism",3,32
0.228161088940015,0.313518547548784,"Pyruvate metabolism",3,32
0.228754185155776,0.313518547548784,"Propanoate metabolism",2,15
0.232722097162852,0.313518547548784,"Urea cycle",3,40
0.232899492464811,0.313518547548784,"Pyrimidine catabolism",3,34
0.240514720488829,0.31766095158902,"Glutamate metabolism",2,16
0.282397230093897,0.359591050980083,"Androgen and estrogen synthesis and metabolism",2,26
0.282581506231351,0.359591050980083,"Fructose and mannose metabolism",2,23
0.287672840784066,0.359591050980083,"Squalene and cholesterol synthesis",1,5
0.317559516724987,0.389985371416651,"N-glycan metabolism",1,6
0.327814829793608,0.390187842333017,"Citric acid cycle",1,20
0.340802409042601,0.390187842333017,"ROS detoxification",1,7
0.348954503328207,0.390187842333017,"O-glycan metabolism",1,18
0.358270488231444,0.390187842333017,"Taurine and hypotaurine metabolism",1,8
0.366822765525416,0.390187842333017,"Glutathione metabolism",1,16
0.370736783585942,0.390187842333017,"Triacylglycerol synthesis",1,9
0.370736783585942,0.390187842333017,"Vitamin B2 metabolism",1,9
0.373960682741181,0.390187842333017,"Cytochrome metabolism",1,15
0.378888098918496,0.390187842333017,"Beta-Alanine metabolism",1,10
0.378888098918496,0.390187842333017,"Oxidative phosphorylation",1,10
0.379530528579206,0.390187842333017,"Histidine metabolism",1,14
0.384613730299688,0.390187842333017,"N-glycan degradation",1,12
1,1,"Transport, extracellular",213,2652
