fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
5.85342921492439e-64,4.09740045044707e-62,"Exchange/demand reaction",29,1787
4.88732478658348e-17,1.71056367530422e-15,"Cholesterol metabolism",59,242
1.43787868295656e-10,3.35505026023197e-09,"Sphingolipid metabolism",34,133
5.18311490319502e-08,9.07045108059129e-07,"Transport, mitochondrial",66,453
1.95461861681522e-06,2.7364660635413e-05,"Drug metabolism",21,573
0.000121458742046525,0.00134299613873428,"Heparan sulfate degradation",9,27
0.000147335518691403,0.00134299613873428,"Phosphatidylinositol phosphate metabolism",11,40
0.000153485272998203,0.00134299613873428,"Keratan sulfate degradation",16,76
0.000355343678926481,0.00276378416942819,"Chondroitin sulfate degradation",11,44
0.000494131843292304,0.00345892290304613,"Fatty acid synthesis",7,239
0.000789218477014442,0.00502229939918281,"Fatty acid oxidation",57,961
0.00130838504976997,0.00763224612365817,"Transport, lysosomal",1,105
0.00295067942463887,0.0158882738249785,"Arachidonic acid metabolism",9,41
0.00346487289005851,0.0173243644502926,"Glycolysis/gluconeogenesis",9,42
0.00967729600950262,0.0451607147110122,"Transport, golgi apparatus",2,98
0.0161570121032272,0.0706869279516192,"Transport, nuclear",1,71
0.0236698410303702,0.0974640513015243,"Bile acid synthesis",21,185
0.037764728074152,0.139627233862053,"Miscellaneous",17,152
0.0381020863326597,0.139627233862053,"Tetrahydrobiopterin metabolism",4,18
0.0398934953891581,0.139627233862053,"Glycerophospholipid metabolism",18,165
0.0492540668656823,0.164180222885608,"Hyaluronan metabolism",2,5
0.0622846416277198,0.190714247844829,"Pentose phosphate pathway",6,41
0.062663252863301,0.190714247844829,"Vitamin D metabolism",3,13
0.0680476473471099,0.198472304762404,"Thiamine metabolism",2,6
0.0795625942684768,0.201670188665487,"Alkaloid synthesis",1,1
0.0795625942684768,0.201670188665487,"Nucleotide sugar metabolism",1,1
0.0799878002306055,0.201670188665487,"Transport, peroxisomal",15,154
0.0806680754661949,0.201670188665487,"Steroid metabolism",4,90
0.0919155406544286,0.21956965256277,"Chondroitin synthesis",1,45
0.0968066745060693,0.21956965256277,"Peptide metabolism",18,242
0.0972379889920838,0.21956965256277,"Transport, endoplasmic reticular",18,211
0.104492015527323,0.22857628396602,"NAD metabolism",4,27
0.110346160833345,0.230781028362186,"Starch and sucrose metabolism",1,42
0.112093642347348,0.230781028362186,"Tyrosine metabolism",5,93
0.118256869247246,0.236513738494492,"Nucleotide interconversion",13,164
0.124274724776495,0.241645298176519,"Arginine and proline metabolism",1,40
0.13474312808953,0.248411135802687,"Glycosphingolipid metabolism",7,71
0.134851759435745,0.248411135802687,"Lysine metabolism",4,31
0.143870967747998,0.256699895989235,"Eicosanoid metabolism",6,93
0.146995322652963,0.256699895989235,"Methionine and cysteine metabolism",5,46
0.15149172601007,0.256699895989235,"Vitamin A metabolism",5,47
0.156343851828892,0.256699895989235,"Phenylalanine metabolism",1,36
0.157687078964816,0.256699895989235,"Folate metabolism",3,59
0.163596501658272,0.260267161729069,"Glycine, serine, alanine, and threonine metabolism",2,47
0.174541223392758,0.269477153494237,"Purine catabolism",1,34
0.177084986581927,0.269477153494237,"Valine, leucine, and isoleucine metabolism",2,45
0.201227056372755,0.295113445777645,"Tryptophan metabolism",4,45
0.2023635056761,0.295113445777645,"Butanoate metabolism",1,3
0.226879094976072,0.308020258068807,"Propanoate metabolism",2,15
0.227130150834232,0.308020258068807,"Aminosugar metabolism",3,32
0.227130150834232,0.308020258068807,"Pyruvate metabolism",3,32
0.232232192188806,0.308020258068807,"Pyrimidine catabolism",3,34
0.233215338252097,0.308020258068807,"Urea cycle",3,40
0.238739885195039,0.309477628956532,"Glutamate metabolism",2,16
0.282121635453804,0.351115248592203,"Fructose and mannose metabolism",2,23
0.282638125199937,0.351115248592203,"Androgen and estrogen synthesis and metabolism",2,26
0.285908130996508,0.351115248592203,"Squalene and cholesterol synthesis",1,5
0.315870698256965,0.381223256517027,"N-glycan metabolism",1,6
0.329852762632071,0.390032145968373,"Citric acid cycle",1,20
0.350544562849065,0.390032145968373,"O-glycan metabolism",1,18
0.356951170441034,0.390032145968373,"Taurine and hypotaurine metabolism",1,8
0.367886794519594,0.390032145968373,"Glutathione metabolism",1,16
0.369675318630923,0.390032145968373,"Triacylglycerol synthesis",1,9
0.369675318630923,0.390032145968373,"Vitamin B2 metabolism",1,9
0.374736355511499,0.390032145968373,"Cytochrome metabolism",1,15
0.378114117050926,0.390032145968373,"Beta-Alanine metabolism",1,10
0.380004477807542,0.390032145968373,"Histidine metabolism",1,14
0.3833680415263,0.390032145968373,"Alanine and aspartate metabolism",1,13
0.384460258168825,0.390032145968373,"N-glycan degradation",1,12
1,1,"Transport, extracellular",211,2652
