fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.47059512341918e-18,8.97063025285702e-17,"Exchange/demand reaction",33,1787
1.22423012372074e-11,3.73390187734826e-10,"Folate metabolism",18,59
3.69624440205484e-09,7.51569695084484e-08,"Sphingolipid metabolism",23,133
7.34246597231304e-08,1.11972606077774e-06,"NAD metabolism",10,27
4.8455776303822e-07,5.91160470906629e-06,"Bile acid synthesis",24,185
4.88562208487895e-05,0.000496704911962693,"Glycolysis/gluconeogenesis",9,42
0.00031709834131841,0.00276328554577472,"Steroid metabolism",12,90
0.000401201973136992,0.00305916504516957,"Glutathione metabolism",5,16
0.00205097009468654,0.0139010195306532,"Chondroitin sulfate degradation",7,44
0.00232727076604349,0.0141963516728653,"Valine, leucine, and isoleucine metabolism",7,45
0.00288689774839008,0.0160091602410723,"Glycerophospholipid metabolism",15,165
0.00618905237281046,0.0314610162284532,"Transport, peroxisomal",1,154
0.0121226145106478,0.0568830373191937,"N-glycan degradation",3,12
0.015556051764077,0.0677799398291927,"Cholesterol metabolism",17,242
0.0214231747566531,0.0838256106124037,"Urea cycle",5,40
0.0219870454065321,0.0838256106124037,"Propanoate metabolism",3,15
0.0259013693211223,0.092940207564027,"Glutamate metabolism",3,16
0.0295978417957973,0.0979113983642571,"Keratan sulfate degradation",7,76
0.0304969929331293,0.0979113983642571,"Fatty acid oxidation",35,961
0.0339245868158993,0.103469989788493,"Miscellaneous",11,152
0.0370993033984297,0.107764643204962,"Aminosugar metabolism",4,32
0.0535022627558397,0.139817474754762,"Transport, golgi apparatus",1,98
0.0540755131459003,0.139817474754762,"Glycosphingolipid metabolism",6,71
0.0550101540018735,0.139817474754762,"Transport, mitochondrial",24,453
0.0600351253370608,0.146485705822428,"Oxidative phosphorylation",2,10
0.0639078779135658,0.149937713566443,"Eicosanoid metabolism",1,93
0.077112528004789,0.174217192899708,"Nucleotide interconversion",10,164
0.102014554068963,0.222245992793097,"Transport, lysosomal",2,105
0.109195473455005,0.228519984481378,"Fatty acid synthesis",12,239
0.112386877613792,0.228519984481378,"Transport, endoplasmic reticular",7,211
0.12008184041287,0.236290073070485,"Butanoate metabolism",1,3
0.138271032377408,0.263579155469435,"Tyrosine metabolism",2,93
0.182928945979044,0.324151181507519,"Tryptophan metabolism",3,45
0.183133563548685,0.324151181507519,"Squalene and cholesterol synthesis",1,5
0.18720921667514,0.324151181507519,"Methionine and cysteine metabolism",3,46
0.191302336627388,0.324151181507519,"Glycine, serine, alanine, and threonine metabolism",3,47
0.213644278506156,0.340119892343889,"Androgen and estrogen synthesis and metabolism",2,26
0.220719109602461,0.340119892343889,"Heparan sulfate degradation",2,27
0.23907002192615,0.340119892343889,"Inositol phosphate metabolism",2,65
0.24479936289597,0.340119892343889,"Lysine metabolism",2,31
0.249761974932803,0.340119892343889,"Pyruvate metabolism",2,32
0.256445356201993,0.340119892343889,"Taurine and hypotaurine metabolism",1,8
0.258439868680991,0.340119892343889,"Pyrimidine catabolism",2,34
0.262554975930034,0.340119892343889,"Blood group synthesis",1,47
0.265496627746791,0.340119892343889,"Phenylalanine metabolism",2,36
0.275021026349256,0.340119892343889,"Arginine and proline metabolism",2,40
0.275021026349256,0.340119892343889,"Phosphatidylinositol phosphate metabolism",2,40
0.275124069220865,0.340119892343889,"Chondroitin synthesis",1,45
0.27595275872322,0.340119892343889,"Triacylglycerol synthesis",1,9
0.278786797003188,0.340119892343889,"Vitamin A metabolism",2,47
0.293273037395342,0.350777554531684,"Beta-Alanine metabolism",1,10
0.333587922501552,0.381076447478466,"Alanine and aspartate metabolism",1,13
0.343593518218289,0.381076447478466,"Galactose metabolism",1,14
0.343593518218289,0.381076447478466,"Glyoxylate and dicarboxylate metabolism",1,14
0.343593518218289,0.381076447478466,"Histidine metabolism",1,14
0.36958488764309,0.384003111912526,"Tetrahydrobiopterin metabolism",1,18
0.373084921696742,0.384003111912526,"Heme synthesis",1,19
0.375568326236791,0.384003111912526,"Citric acid cycle",1,20
0.377116546730586,0.384003111912526,"Pyrimidine synthesis",1,21
0.377707978930354,0.384003111912526,"Fructose and mannose metabolism",1,23
1,1,"Transport, extracellular",116,2652
