fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
3.80366176556957e-43,2.54845338293161e-41,"Exchange/demand reaction",22,1787
1.32285168330897e-25,4.43155313908504e-24,"Cholesterol metabolism",59,242
1.04936623039089e-12,2.34358458120632e-11,"Transport, mitochondrial",61,453
2.28661527145207e-06,3.83008057968221e-05,"Keratan sulfate degradation",16,76
6.35160526004747e-06,8.5111510484636e-05,"Phosphatidylinositol phosphate metabolism",11,40
8.18808550938139e-06,9.14336215214255e-05,"Heparan sulfate degradation",9,27
1.69292829114544e-05,0.000162037422152492,"Chondroitin sulfate degradation",11,44
8.07210857621594e-05,0.000676039093258085,"Sphingolipid metabolism",19,133
0.000282001956841484,0.00193881893739494,"Arachidonic acid metabolism",9,41
0.000289375960805216,0.00193881893739494,"Steroid metabolism",14,90
0.00111259032875938,0.00677668654789802,"Fatty acid oxidation",71,961
0.0128019926423175,0.0679937438926974,"Transport, lysosomal",1,105
0.0131928159791801,0.0679937438926974,"Transport, peroxisomal",15,154
0.0177604400179732,0.0832111694013785,"Fatty acid synthesis",7,239
0.0186293662838907,0.0832111694013785,"Pentose phosphate pathway",6,41
0.0267540462042315,0.112032568480219,"Hyaluronan metabolism",2,5
0.0286612481705582,0.112959036907494,"Vitamin D metabolism",3,13
0.0340426495321161,0.126714306591766,"Peptide metabolism",19,242
0.0378872467686293,0.132079751782272,"Thiamine metabolism",2,6
0.0394267915767976,0.132079751782272,"Miscellaneous",13,152
0.0419159913691943,0.13373197246362,"Tyrosine metabolism",9,93
0.0546901408921167,0.157899698340875,"Transport, golgi apparatus",2,98
0.0565610859728509,0.157899698340875,"Alkaloid synthesis",1,1
0.0565610859728509,0.157899698340875,"Nucleotide sugar metabolism",1,1
0.0613854259549347,0.164512941559225,"Tetrahydrobiopterin metabolism",3,18
0.0662541151774372,0.170731758341857,"Transport, nuclear",1,71
0.0732731808545611,0.173496602057175,"Transport, endoplasmic reticular",15,211
0.0737832645480615,0.173496602057175,"Drug metabolism",30,573
0.075095544174001,0.173496602057175,"Bile acid synthesis",7,185
0.0800151218387621,0.178700438773235,"Nucleotide interconversion",6,164
0.109306865006139,0.236243869529396,"Glycerophospholipid metabolism",11,165
0.118823797199395,0.248787325386233,"Eicosanoid metabolism",7,93
0.131126205954762,0.25936171987728,"NAD metabolism",3,27
0.131616395161605,0.25936171987728,"Alanine and aspartate metabolism",2,13
0.157856904167532,0.289731313649234,"Cytochrome metabolism",2,15
0.157856904167532,0.289731313649234,"Propanoate metabolism",2,15
0.160000874701816,0.289731313649234,"Lysine metabolism",3,31
0.166650649901898,0.292536789471776,"Pyruvate metabolism",3,32
0.170282608797004,0.292536789471776,"Glutamate metabolism",2,16
0.179123560408729,0.300031963684621,"Pyrimidine catabolism",3,34
0.195438064208269,0.300311938205339,"Chondroitin synthesis",1,45
0.195438064208269,0.300311938205339,"Valine, leucine, and isoleucine metabolism",1,45
0.198245660997255,0.300311938205339,"Folate metabolism",2,59
0.20382682065242,0.300311938205339,"Glycosphingolipid metabolism",4,71
0.21760198508904,0.300311938205339,"Glycolysis/gluconeogenesis",1,42
0.21760198508904,0.300311938205339,"Starch and sucrose metabolism",1,42
0.224356917665686,0.300311938205339,"Squalene and cholesterol synthesis",1,5
0.224663945704514,0.300311938205339,"Tryptophan metabolism",3,45
0.226786309630805,0.300311938205339,"Methionine and cysteine metabolism",3,46
0.228584160355133,0.300311938205339,"Vitamin A metabolism",3,47
0.233077922189218,0.300311938205339,"Arginine and proline metabolism",1,40
0.233077922189218,0.300311938205339,"Urea cycle",1,40
0.239462879443679,0.302717224957104,"Fructose and mannose metabolism",2,23
0.253090029798612,0.309290633420378,"Blood group synthesis",2,47
0.254073402491372,0.309290633420378,"N-glycan metabolism",1,6
0.258511574202107,0.309290633420378,"Androgen and estrogen synthesis and metabolism",2,26
0.280257591876266,0.325393272177739,"Phenylalanine metabolism",2,36
0.281683728153863,0.325393272177739,"Purine catabolism",1,34
0.298057402566566,0.338471965626439,"Aminosugar metabolism",1,32
0.320263296032397,0.357627347236176,"Vitamin B2 metabolism",1,9
0.335787051879092,0.362866652837084,"Beta-Alanine metabolism",1,10
0.335787051879092,0.362866652837084,"Oxidative phosphorylation",1,10
0.358768490683156,0.381547442472563,"N-glycan degradation",1,12
0.375444192837277,0.385396186548127,"Citric acid cycle",1,20
0.378066558676942,0.385396186548127,"Heme synthesis",1,19
0.379644004659349,0.385396186548127,"O-glycan metabolism",1,18
1,1,"Transport, extracellular",150,2652
