fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
4.69143209300726e-135,2.67411629301414e-133,"Exchange/demand reaction",30,1787
2.32045556057152e-20,6.61329834762884e-19,"Transport, mitochondrial",8,453
5.00426809431907e-13,9.50810937920623e-12,"Drug metabolism",28,573
3.76787008987675e-12,5.36921487807437e-11,"Cholesterol metabolism",3,242
3.73402667260427e-11,4.25679040676886e-10,"Peptide metabolism",4,242
5.61813243287489e-11,5.33722581123114e-10,"Fatty acid synthesis",4,239
6.75655414284068e-08,4.95671030912917e-07,"Transport, peroxisomal",2,154
6.95678639877778e-08,4.95671030912917e-07,"Bile acid synthesis",4,185
1.06400090390488e-07,6.73867239139757e-07,"Sphingolipid metabolism",1,133
2.46277614404128e-06,1.40378240210353e-05,"Fatty acid oxidation",89,961
4.17821839959398e-06,2.16507680706234e-05,"Miscellaneous",4,152
1.30663545702916e-05,6.20651842088849e-05,"Transport, golgi apparatus",1,98
0.000208273670932113,0.000913199941779267,"Glycerophospholipid metabolism",8,165
0.000459399747496052,0.0018704132576625,"Vitamin D metabolism",7,13
0.000624626456113329,0.00237358053323065,"Nucleotide interconversion",9,164
0.000856991892105915,0.00273434822125257,"Transport, endoplasmic reticular",14,211
0.000863478385658706,0.00273434822125257,"Eicosanoid metabolism",3,93
0.000863478385658706,0.00273434822125257,"Tyrosine metabolism",3,93
0.00120336845556283,0.0036101053666885,"Steroid metabolism",3,90
0.00495510199647066,0.0141220406899414,"Inositol phosphate metabolism",2,65
0.0120513068803865,0.0327106901039063,"Tryptophan metabolism",1,45
0.016859635267249,0.043681782283327,"Ubiquinone synthesis",6,18
0.0193617873334767,0.0459842449170072,"Arachidonic acid metabolism",1,41
0.0193617873334767,0.0459842449170072,"Pentose phosphate pathway",1,41
0.0217642262859657,0.0496224359320017,"Arginine and proline metabolism",1,40
0.0338561301966244,0.0742230546618305,"Transport, nuclear",14,71
0.0404195400893212,0.085330140188567,"Chondroitin synthesis",2,45
0.0432276522221834,0.0879991491665875,"Pyrimidine catabolism",1,34
0.0537250667296204,0.105597544951323,"Starch and sucrose metabolism",2,42
0.081779670422378,0.155381373802518,"Methionine and cysteine metabolism",3,46
0.0916787001607787,0.168570513198851,"Phenylalanine metabolism",2,36
0.100076975080115,0.178262111861455,"Beta-Alanine metabolism",3,10
0.123976730065795,0.2059727382198,"Phosphatidylinositol phosphate metabolism",3,40
0.123976730065795,0.2059727382198,"Urea cycle",3,40
0.126474488380579,0.2059727382198,"Glycine, serine, alanine, and threonine metabolism",4,47
0.136820584285733,0.216632591785744,"Lysine metabolism",2,31
0.15026590548884,0.231490719266592,"Citric acid cycle",4,20
0.161502936593919,0.242254404890879,"Pyrimidine synthesis",4,21
0.171733706680953,0.24684862847177,"Keratan sulfate synthesis",4,22
0.173227107699487,0.24684862847177,"Valine, leucine, and isoleucine metabolism",5,45
0.183703691534297,0.255392937011095,"Purine catabolism",5,34
0.199793221105752,0.264857536168884,"Heme synthesis",1,19
0.206244934386201,0.264857536168884,"Leukotriene metabolism",2,8
0.209098054870172,0.264857536168884,"Aminosugar metabolism",4,32
0.209098054870172,0.264857536168884,"Pyruvate metabolism",4,32
0.227631887711356,0.277669917934969,"NAD metabolism",3,27
0.228955897244624,0.277669917934969,"Fructose and mannose metabolism",2,23
0.276470854752645,0.318491210050924,"Cytochrome metabolism",1,15
0.289366537397535,0.318491210050924,"Glutamate metabolism",2,16
0.29019899659645,0.318491210050924,"Histidine metabolism",2,14
0.291180599314277,0.318491210050924,"Propanoate metabolism",2,15
0.291180599314277,0.318491210050924,"Purine synthesis",2,15
0.296140949696474,0.318491210050924,"Butanoate metabolism",1,3
0.355046510743818,0.374771316896252,"Vitamin B6 metabolism",1,11
0.384285528544853,0.398259547764666,"Vitamin B2 metabolism",1,9
0.395302790906885,0.402361769315937,"ROS detoxification",1,7
1,1,"Transport, extracellular",346,2652
