fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
3.21500532103157e-36,2.2505037247221e-34,"Exchange/demand reaction",37,1787
7.03060467321924e-09,2.46071163562674e-07,"Folate metabolism",18,59
1.27624343479999e-08,2.97790134786664e-07,"Bile acid synthesis",33,185
1.91731464474539e-08,3.35530062830443e-07,"Sphingolipid metabolism",27,133
5.16090931013132e-07,7.22527303418384e-06,"Fatty acid oxidation",33,961
1.13792529421426e-06,1.32757950991663e-05,"Drug metabolism",14,573
2.50668399402847e-06,2.50668399402847e-05,"NAD metabolism",10,27
6.33461580019783e-06,5.5427888251731e-05,"Steroid metabolism",18,90
0.000321622339972781,0.00250150708867718,"Transport, peroxisomal",1,154
0.000729168228307089,0.00476548047871998,"Miscellaneous",20,152
0.000792927139309428,0.00476548047871998,"Glycolysis/gluconeogenesis",9,42
0.00081693951063771,0.00476548047871998,"Purine catabolism",8,34
0.00214491935126972,0.0115495657376062,"Glutathione metabolism",5,16
0.00837990848086486,0.0418995424043243,"Histidine metabolism",4,14
0.00965154028306225,0.044109922354153,"Transport, golgi apparatus",1,98
0.0105954459837223,0.044109922354153,"Aminosugar metabolism",6,32
0.01071240971458,0.044109922354153,"Cytochrome metabolism",4,15
0.0133894965564109,0.0520702643860425,"Glutamate metabolism",4,16
0.0235608236751184,0.0868030345925413,"Transport, lysosomal",2,105
0.0268268319466651,0.0938939118133279,"Arginine and proline metabolism",6,40
0.0332110993121866,0.110703664373955,"Keratan sulfate degradation",1,76
0.0434508937166457,0.138252843643873,"Transport, nuclear",1,71
0.0616970611339905,0.187773664320841,"Nucleotide interconversion",14,164
0.0654107213265263,0.190781270535702,"Transport, mitochondrial",32,453
0.0793360342888852,0.222117056064567,"Fatty acid synthesis",12,239
0.0870410722843325,0.222117056064567,"Glycerophospholipid metabolism",13,165
0.0879885758588,0.222117056064567,"Tyrosine metabolism",3,93
0.0959616378133205,0.222117056064567,"Cholesterol metabolism",17,242
0.0962281333703588,0.222117056064567,"Citric acid cycle",3,20
0.0969143301473497,0.222117056064567,"Methionine and cysteine metabolism",5,46
0.101626697806636,0.222117056064567,"Glycine, serine, alanine, and threonine metabolism",5,47
0.103727692412057,0.222117056064567,"Eicosanoid metabolism",8,93
0.107885427231361,0.222117056064567,"Beta-Alanine metabolism",2,10
0.107885427231361,0.222117056064567,"Oxidative phosphorylation",2,10
0.111344834573742,0.222689669147483,"Transport, endoplasmic reticular",12,211
0.134189444279282,0.251142928173454,"Glycosphingolipid metabolism",6,71
0.138857036280575,0.251142928173454,"N-glycan degradation",2,12
0.141511750957936,0.251142928173454,"Urea cycle",4,40
0.143510244670545,0.251142928173454,"Blood group synthesis",1,47
0.143510244670545,0.251142928173454,"Vitamin A metabolism",1,47
0.153722963477417,0.255209915059836,"Alanine and aspartate metabolism",2,13
0.156988377744837,0.255209915059836,"Chondroitin synthesis",1,45
0.164068582176462,0.255209915059836,"Chondroitin sulfate degradation",1,44
0.166439827861753,0.255209915059836,"Tryptophan metabolism",4,45
0.166439827861753,0.255209915059836,"Valine, leucine, and isoleucine metabolism",4,45
0.167709372753607,0.255209915059836,"Butanoate metabolism",1,3
0.181568487145687,0.270421151068045,"Propanoate metabolism",2,15
0.191262500598573,0.273702683896595,"Pyruvate metabolism",3,32
0.191591878727616,0.273702683896595,"Inositol phosphate metabolism",3,65
0.217405061079822,0.30436708551175,"N-glycan synthesis",2,18
0.227855855354267,0.312743330878406,"Arachidonic acid metabolism",3,41
0.245179745721991,0.328320836310069,"Squalene and cholesterol synthesis",1,5
0.252210325260814,0.328320836310069,"Starch and sucrose metabolism",2,42
0.256613342395755,0.328320836310069,"Pentose phosphate pathway",2,41
0.260767998036518,0.328320836310069,"Phosphatidylinositol phosphate metabolism",2,40
0.27325963207439,0.328320836310069,"Androgen and estrogen synthesis and metabolism",2,26
0.274260993438754,0.328320836310069,"Phenylalanine metabolism",2,36
0.276352273454912,0.328320836310069,"Heparan sulfate degradation",2,27
0.278644404171091,0.328320836310069,"Pyrimidine catabolism",2,34
0.281417859694345,0.328320836310069,"Lysine metabolism",2,31
0.322209952454487,0.369749125767444,"Taurine and hypotaurine metabolism",1,8
0.339453790681533,0.377170878535037,"Linoleate metabolism",1,9
0.339453790681533,0.377170878535037,"Triacylglycerol synthesis",1,9
0.34509603664366,0.377448790079003,"Fructose and mannose metabolism",1,23
0.359546914704059,0.385650297174173,"Pyrimidine synthesis",1,21
0.371166686243468,0.385650297174173,"Heme synthesis",1,19
0.375587034792661,0.385650297174173,"Tetrahydrobiopterin metabolism",1,18
0.380141007214542,0.385650297174173,"Galactose metabolism",1,14
0.380141007214542,0.385650297174173,"Glyoxylate and dicarboxylate metabolism",1,14
1,1,"Transport, extracellular",169,2652
