fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
6.07012109188296e-39,3.88487749880509e-37,"Exchange/demand reaction",25,1787
9.65399038733955e-30,3.08927692394865e-28,"Fatty acid oxidation",119,961
8.14746001121815e-29,1.7381248023932e-27,"Cholesterol metabolism",62,242
4.02386648877491e-14,6.43818638203985e-13,"Keratan sulfate degradation",25,76
7.95482291949455e-10,1.0182173336953e-08,"Folate metabolism",18,59
3.04142865059116e-09,3.24419056063057e-08,"Glycosphingolipid metabolism",19,71
5.12173694948243e-08,4.68273092524108e-07,"Chondroitin synthesis",14,45
5.97858174544402e-06,4.78286539635522e-05,"Sphingolipid metabolism",21,133
2.88182030879846e-05,0.000204929444181224,"Blood group synthesis",11,47
5.70554741762796e-05,0.00036515503472819,"Peptide metabolism",2,242
0.000438835682059027,0.00255322578652525,"Chondroitin sulfate degradation",9,44
0.0008267734838625,0.0044094585806,"Steroid metabolism",13,90
0.00185389836371819,0.00912688425215109,"Drug metabolism",19,573
0.00248627285194746,0.0113658187517598,"Phenylalanine metabolism",7,36
0.00295161815587757,0.012593570798411,"Biotin metabolism",4,12
0.00317528501593592,0.0127011400637437,"Tyrosine metabolism",12,93
0.00403089671388533,0.0151751405699213,"Alanine and aspartate metabolism",4,13
0.00538712001173872,0.0191542044861821,"Transport, mitochondrial",15,453
0.00867025723626226,0.0292050770063571,"Glutathione metabolism",4,16
0.00915134750226688,0.029284312007254,"Methionine and cysteine metabolism",7,46
0.01087151582904,0.0331322387170742,"Miscellaneous",15,152
0.0130280003397877,0.0378996373521097,"O-glycan metabolism",4,18
0.0159998276857566,0.0445212596473226,"Transport, peroxisomal",3,154
0.0179200541371786,0.0477868110324761,"Vitamin B6 metabolism",3,11
0.0225815752247369,0.0578088325753266,"N-glycan degradation",3,12
0.026460245256949,0.0651329114017207,"Nucleotide interconversion",4,164
0.0277436891066039,0.0657628186230611,"Vitamin D metabolism",3,13
0.0333700316526983,0.0762743580633105,"Galactose metabolism",3,14
0.0396363178956928,0.0874732532870462,"Eicosanoid metabolism",9,93
0.0432485666470461,0.0922636088470316,"Transport, endoplasmic reticular",7,211
0.0458488722180702,0.094655736192145,"Glutamate metabolism",3,16
0.050538217629028,0.101076435258056,"Glycerophospholipid metabolism",5,165
0.0558069381598796,0.108231637643403,"Nucleotide sugar metabolism",1,1
0.0748887276733566,0.140967016796907,"Vitamin B2 metabolism",2,9
0.11237731279477,0.20548994339615,"Arginine and proline metabolism",4,40
0.126081710167156,0.222038034833985,"Bile acid synthesis",9,185
0.128365738888398,0.222038034833985,"Heparan sulfate degradation",3,27
0.140688774780676,0.236949515420086,"Transport, lysosomal",7,105
0.155269875050151,0.254801846236146,"Propanoate metabolism",2,15
0.163802282940807,0.262083652705291,"Aminosugar metabolism",3,32
0.179133538534064,0.279623084540978,"Transport, golgi apparatus",5,98
0.185799561396197,0.283123141175157,"Glycine, serine, alanine, and threonine metabolism",1,47
0.19979340432629,0.285772162135084,"Tryptophan metabolism",1,45
0.200338591187279,0.285772162135084,"Inositol phosphate metabolism",4,65
0.201514187305229,0.285772162135084,"Transport, nuclear",3,71
0.20678263409319,0.285772162135084,"Urea cycle",3,40
0.211287037068214,0.285772162135084,"Citric acid cycle",2,20
0.214329121601313,0.285772162135084,"Starch and sucrose metabolism",3,42
0.237306230725708,0.309950995233578,"Phosphatidylinositol phosphate metabolism",1,40
0.251690106147967,0.322163335869398,"N-glycan metabolism",1,6
0.261655095158817,0.323136620931439,"NAD metabolism",2,27
0.262548504506794,0.323136620931439,"Valine, leucine, and isoleucine metabolism",2,45
0.285402446701351,0.344575906330727,"Pyrimidine catabolism",1,34
0.29932848974808,0.344575906330727,"Leukotriene metabolism",1,8
0.29932848974808,0.344575906330727,"Taurine and hypotaurine metabolism",1,8
0.301503918039386,0.344575906330727,"Pyruvate metabolism",1,32
0.318022369048251,0.357077747703299,"Triacylglycerol synthesis",1,9
0.333704894751097,0.368226090759831,"Beta-Alanine metabolism",1,10
0.371521025290068,0.385748895579158,"CoA synthesis",1,14
0.375876830660765,0.385748895579158,"Cytochrome metabolism",1,15
0.375876830660765,0.385748895579158,"Purine synthesis",1,15
0.378448141905175,0.385748895579158,"Heme synthesis",1,19
0.379721569085733,0.385748895579158,"N-glycan synthesis",1,18
1,1,"Transport, extracellular",148,2652
