fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
7.42105966551101e-56,5.19474176585771e-54,"Exchange/demand reaction",31,1787
2.13635838579811e-18,7.47725435029339e-17,"Cholesterol metabolism",59,242
7.0527801462125e-12,1.64564870078292e-10,"Transport, mitochondrial",72,453
2.69162935160451e-11,4.71035136530789e-10,"Sphingolipid metabolism",34,133
1.15103876362356e-05,0.000161145426907298,"Drug metabolism",21,573
7.75243668384691e-05,0.000768497970330444,"Heparan sulfate degradation",9,27
7.81372269736851e-05,0.000768497970330444,"Keratan sulfate degradation",16,76
8.78283394663365e-05,0.000768497970330444,"Phosphatidylinositol phosphate metabolism",11,40
0.000124272835033542,0.00096656649470533,"Glycosphingolipid metabolism",15,71
0.000216073950003674,0.00151251765002572,"Chondroitin sulfate degradation",11,44
0.00107692821219199,0.00685317953213086,"Fatty acid synthesis",7,239
0.00151847077263898,0.0088577461737274,"Steroid metabolism",15,90
0.0020185981807849,0.0103889003416822,"Arachidonic acid metabolism",9,41
0.00207778006833644,0.0103889003416822,"Transport, lysosomal",1,105
0.00341394276909576,0.0159317329224469,"Transport, golgi apparatus",1,98
0.00442004660902011,0.019337703914463,"Miscellaneous",20,152
0.00798948409994202,0.0328978757056436,"Glycolysis/gluconeogenesis",8,42
0.0206949831199887,0.0795247877418296,"Pentose phosphate pathway",7,41
0.0215852995299252,0.0795247877418296,"Transport, nuclear",1,71
0.0229643851356574,0.0803753479748009,"Tyrosine metabolism",12,93
0.0322384541038069,0.107461513679356,"Tetrahydrobiopterin metabolism",4,18
0.0341056261074204,0.108517901250883,"NAD metabolism",5,27
0.0444478267759014,0.131734575994285,"Hyaluronan metabolism",2,5
0.0451661403408977,0.131734575994285,"Bile acid synthesis",9,185
0.0551678867170328,0.148528925776627,"Alanine and aspartate metabolism",3,13
0.0551678867170328,0.148528925776627,"Vitamin D metabolism",3,13
0.0583097670995106,0.151173470257991,"Fatty acid oxidation",70,961
0.0617097708354506,0.154274427088627,"Thiamine metabolism",2,6
0.0649554626910599,0.156789047874972,"Transport, peroxisomal",15,154
0.0750377073906487,0.169439984430497,"Alkaloid synthesis",1,1
0.0750377073906487,0.169439984430497,"Nucleotide sugar metabolism",1,1
0.0856881835657911,0.186105215337412,"Glutamate metabolism",3,16
0.0877353158019229,0.186105215337412,"Peptide metabolism",20,242
0.107502611615669,0.21554236438714,"Transport, endoplasmic reticular",16,211
0.10777118219357,0.21554236438714,"Chondroitin synthesis",1,45
0.115884742232933,0.224064994118751,"Nucleotide interconversion",13,164
0.121673860730081,0.224064994118751,"Lysine metabolism",4,31
0.121688207044338,0.224064994118751,"Glycerophospholipid metabolism",12,165
0.1274588631588,0.224064994118751,"Starch and sucrose metabolism",1,42
0.128037139496429,0.224064994118751,"Citric acid cycle",3,20
0.13582874212745,0.2319027304615,"Beta-Alanine metabolism",2,10
0.142123599538337,0.236872665897229,"Urea cycle",1,40
0.155641666078524,0.253370154081318,"Eicosanoid metabolism",6,93
0.174486002807872,0.26850320268577,"Folate metabolism",3,59
0.181761699495522,0.26850320268577,"Blood group synthesis",2,47
0.181761699495522,0.26850320268577,"Glycine, serine, alanine, and threonine metabolism",2,47
0.192736169656512,0.26850320268577,"Butanoate metabolism",1,3
0.193737935865251,0.26850320268577,"Purine catabolism",1,34
0.194651501883809,0.26850320268577,"Tryptophan metabolism",4,45
0.194793057939913,0.26850320268577,"Valine, leucine, and isoleucine metabolism",2,45
0.197243441987802,0.26850320268577,"Methionine and cysteine metabolism",4,46
0.199459521995143,0.26850320268577,"Vitamin A metabolism",4,47
0.215063204374674,0.279043589024928,"Propanoate metabolism",2,15
0.219649731173266,0.279043589024928,"Aminosugar metabolism",3,32
0.219649731173266,0.279043589024928,"Pyruvate metabolism",3,32
0.226824427983631,0.279043589024928,"Pyrimidine catabolism",3,34
0.227221208206012,0.279043589024928,"Arginine and proline metabolism",2,40
0.231628510613245,0.279551650740124,"Phenylalanine metabolism",3,36
0.274992867679188,0.324570202931045,"Squalene and cholesterol synthesis",1,5
0.278203031083753,0.324570202931045,"Fructose and mannose metabolism",2,23
0.282880805824537,0.324617318159304,"Androgen and estrogen synthesis and metabolism",2,26
0.305307532880845,0.344702053252567,"N-glycan metabolism",1,6
0.359450283100841,0.388281311287012,"O-glycan metabolism",1,18
0.362621581255404,0.388281311287012,"Vitamin B2 metabolism",1,9
0.372728703144349,0.388281311287012,"Oxidative phosphorylation",1,10
0.373527948454372,0.388281311287012,"Glutathione metabolism",1,16
0.378610547383986,0.388281311287012,"Cytochrome metabolism",1,15
0.382044938141677,0.388281311287012,"Histidine metabolism",1,14
0.382734435411483,0.388281311287012,"N-glycan degradation",1,12
1,1,"Transport, extracellular",199,2652
