fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
5.40181955427243e-14,3.24109173256346e-12,"Folate metabolism",18,59
6.78835206900944e-13,2.03650562070283e-11,"Sphingolipid metabolism",24,133
1.48551566327738e-11,2.97103132655477e-10,"Exchange/demand reaction",28,1787
3.89502684750868e-09,5.84254027126302e-08,"NAD metabolism",10,27
1.45634823112779e-06,1.74761787735335e-05,"Glycosphingolipid metabolism",12,71
1.78919383888342e-05,0.000178919383888342,"Steroid metabolism",12,90
6.69673876810506e-05,0.000574006180123291,"Transport, mitochondrial",29,453
9.91713840175637e-05,0.000743785380131727,"Glutamate metabolism",5,16
0.000274255500918315,0.0018283700061221,"Glycolysis/gluconeogenesis",7,42
0.000366328185135683,0.0021979691108141,"Chondroitin sulfate degradation",7,44
0.000966251748330608,0.00527046408180332,"Cholesterol metabolism",17,242
0.00128751466547192,0.00643757332735961,"Glutathione metabolism",4,16
0.00238594819298655,0.0110120685830149,"Valine, leucine, and isoleucine metabolism",6,45
0.00544215793522876,0.0232441467243853,"N-glycan degradation",3,12
0.00581103668109634,0.0232441467243853,"Miscellaneous",11,152
0.00776326725813133,0.0291122522179925,"Keratan sulfate degradation",7,76
0.0102264342555707,0.0360932973726024,"Propanoate metabolism",3,15
0.015320430424839,0.05106810141613,"Aminosugar metabolism",4,32
0.0216676981360757,0.0654996790437272,"Nucleotide interconversion",10,164
0.0218332263479091,0.0654996790437272,"Citric acid cycle",3,20
0.0263577190203871,0.0753077686296774,"Peptide metabolism",3,242
0.0293325611796185,0.0799978941262323,"Transport, peroxisomal",1,154
0.0345393511123037,0.0901026550755748,"Fatty acid oxidation",25,961
0.0361478409222911,0.0903696023057278,"Beta-Alanine metabolism",2,10
0.0397328336548882,0.0953588007717316,"Fatty acid synthesis",12,239
0.0911453686935978,0.210335466215995,"Butanoate metabolism",1,3
0.0994541755376209,0.221009278972491,"Urea cycle",3,40
0.107234910755197,0.229789094475422,"Transport, lysosomal",1,105
0.125866402523265,0.255927196533894,"Methionine and cysteine metabolism",3,46
0.130166084190429,0.255927196533894,"Glycine, serine, alanine, and threonine metabolism",3,47
0.135035587799737,0.255927196533894,"Transport, endoplasmic reticular",5,211
0.142314792406266,0.255927196533894,"Squalene and cholesterol synthesis",1,5
0.142581423213037,0.255927196533894,"Eicosanoid metabolism",1,93
0.145025411369207,0.255927196533894,"Bile acid synthesis",7,185
0.155448486050744,0.263753772542766,"Androgen and estrogen synthesis and metabolism",2,26
0.162514111067887,0.263753772542766,"Heparan sulfate degradation",2,27
0.162648159734706,0.263753772542766,"Glycerophospholipid metabolism",6,165
0.189019015572531,0.298451077219786,"Lysine metabolism",2,31
0.195158587819412,0.300243981260634,"Pyruvate metabolism",2,32
0.206804161972534,0.310206242958801,"Pyrimidine catabolism",2,34
0.217573199594853,0.315315181855825,"Phenylalanine metabolism",2,36
0.231799920597912,0.315315181855825,"Tyrosine metabolism",3,93
0.23639061084083,0.315315181855825,"Arginine and proline metabolism",2,40
0.23639061084083,0.315315181855825,"Phosphatidylinositol phosphate metabolism",2,40
0.2405212042293,0.315315181855825,"Pentose phosphate pathway",2,41
0.241741639422799,0.315315181855825,"Oxidative phosphorylation",1,10
0.254762198274963,0.325228338223358,"Tryptophan metabolism",2,45
0.277350108596085,0.342599124499344,"Inositol phosphate metabolism",2,65
0.284886687799879,0.342599124499344,"Alanine and aspartate metabolism",1,13
0.296919241232765,0.342599124499344,"Galactose metabolism",1,14
0.296919241232765,0.342599124499344,"Glyoxylate and dicarboxylate metabolism",1,14
0.296919241232765,0.342599124499344,"Histidine metabolism",1,14
0.334852841710822,0.361815382070212,"Tetrahydrobiopterin metabolism",1,18
0.335968423241809,0.361815382070212,"Blood group synthesis",1,47
0.335968423241809,0.361815382070212,"Vitamin A metabolism",1,47
0.342049649390382,0.361815382070212,"Heme synthesis",1,19
0.343724612966702,0.361815382070212,"Chondroitin synthesis",1,45
0.354035219560554,0.366243330579883,"Pyrimidine synthesis",1,21
0.363098620275018,0.369252834177984,"Fructose and mannose metabolism",1,23
1,1,"Transport, extracellular",86,2652
