fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
3.78627431948658e-26,2.08245087571762e-24,"Exchange/demand reaction",28,1787
2.7135373312696e-15,7.46222766099139e-14,"Starch and sucrose metabolism",19,42
3.56573286540445e-13,6.53717691990816e-12,"Folate metabolism",20,59
1.39716275683193e-05,0.000192109879064391,"Glycosphingolipid metabolism",13,71
6.12348396692685e-05,0.000673583236361954,"Eicosanoid metabolism",14,93
0.000273580717036644,0.00250782323950257,"C5-branched dibasic acid metabolism",4,8
0.00307226244251127,0.0241392049054457,"Chondroitin sulfate degradation",7,44
0.00426785976831479,0.0260951363314357,"Fatty acid oxidation",58,961
0.00438803325567452,0.0260951363314357,"Vitamin A metabolism",7,47
0.00474457024207922,0.0260951363314357,"Phenylalanine metabolism",6,36
0.00748017064434211,0.0342841154532347,"O-glycan metabolism",4,18
0.00748017064434211,0.0342841154532347,"Tetrahydrobiopterin metabolism",4,18
0.011573263706175,0.0489638079876634,"Vitamin B6 metabolism",3,11
0.0140471512677115,0.0545650322341358,"Peptide metabolism",5,242
0.0148813724274916,0.0545650322341358,"Transport, peroxisomal",13,154
0.0171073504621407,0.0588065172136087,"Fructose and mannose metabolism",4,23
0.0306633595825987,0.0992049868848782,"Transport, lysosomal",1,105
0.0399377514643713,0.117422270826659,"Tyrosine metabolism",8,93
0.0405640571946639,0.117422270826659,"Transport, golgi apparatus",1,98
0.0533033296716823,0.146584156597126,"Pyrimidine catabolism",4,34
0.0568851267004969,0.148984855644159,"Vitamin B2 metabolism",2,9
0.067797256566994,0.169493141417485,"Oxidative phosphorylation",2,10
0.0787512213243768,0.186848706389221,"Sphingolipid metabolism",9,133
0.0815339809698419,0.186848706389221,"Keratan sulfate degradation",6,76
0.0938475689160226,0.20646465161525,"Transport, mitochondrial",20,453
0.101848861051727,0.215449513763269,"Alanine and aspartate metabolism",2,13
0.113285470559746,0.229518044325418,"CoA synthesis",2,14
0.116845549838395,0.229518044325418,"Transport, endoplasmic reticular",8,211
0.121777252164716,0.230956857553772,"Miscellaneous",5,152
0.142533714066922,0.261311809122689,"Bile acid synthesis",8,185
0.150654431151794,0.267290119785442,"Nucleotide interconversion",7,164
0.184261110333168,0.304464995191699,"Glycolysis/gluconeogenesis",3,42
0.197278293863804,0.304464995191699,"Tryptophan metabolism",3,45
0.197278293863804,0.304464995191699,"Valine, leucine, and isoleucine metabolism",3,45
0.197433208657186,0.304464995191699,"Transport, nuclear",2,71
0.201586301067535,0.304464995191699,"Steroid metabolism",4,90
0.204821905856234,0.304464995191699,"Blood group synthesis",3,47
0.227846086509226,0.32977723047388,"Androgen and estrogen synthesis and metabolism",2,26
0.247449662223794,0.331160893846138,"ROS detoxification",1,7
0.260684119560416,0.331160893846138,"Aminosugar metabolism",2,32
0.267807104431386,0.331160893846138,"Purine catabolism",2,34
0.269541711462569,0.331160893846138,"Taurine and hypotaurine metabolism",1,8
0.275649209886736,0.331160893846138,"Glycine, serine, alanine, and threonine metabolism",2,47
0.276993194946209,0.331160893846138,"Methionine and cysteine metabolism",2,46
0.278892242810957,0.331160893846138,"Arginine and proline metabolism",2,40
0.278892242810957,0.331160893846138,"Phosphatidylinositol phosphate metabolism",2,40
0.287081386417068,0.331160893846138,"Urea cycle",1,40
0.289013143720266,0.331160893846138,"Triacylglycerol synthesis",1,9
0.333599247117319,0.372539579186573,"N-glycan degradation",1,12
0.338672344715067,0.372539579186573,"Pyruvate metabolism",1,32
0.360936552679949,0.380740230373541,"Propanoate metabolism",1,15
0.364043871871992,0.380740230373541,"NAD metabolism",1,27
0.36689513108723,0.380740230373541,"Glutamate metabolism",1,16
0.377028204543378,0.384010208331218,"Heme synthesis",1,19
1,1,"Transport, extracellular",125,2652
