fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.40691363570233e-21,8.58217317778419e-20,"Exchange/demand reaction",32,1787
2.95707653789336e-11,9.01908344057474e-10,"Folate metabolism",18,59
1.97711481077858e-10,4.02013344858311e-09,"Bile acid synthesis",30,185
5.12270234194148e-08,7.81212107146075e-07,"Sphingolipid metabolism",22,133
1.19143855804666e-07,1.45355504081693e-06,"NAD metabolism",10,27
7.22494341243782e-05,0.000734535913597845,"Glycolysis/gluconeogenesis",9,42
0.000496052346152543,0.00355017977825857,"Steroid metabolism",12,90
0.000505152982446418,0.00355017977825857,"Glutathione metabolism",5,16
0.00052379701646438,0.00355017977825857,"Peptide metabolism",2,242
0.00449322161999481,0.0274086518819684,"Glutamate metabolism",4,16
0.00980067355511483,0.0543491897147277,"Glycerophospholipid metabolism",14,165
0.0117738046808287,0.0598501737942124,"Valine, leucine, and isoleucine metabolism",6,45
0.0159283208578626,0.074740582486894,"Fatty acid oxidation",35,961
0.0223621187314511,0.0913931543833049,"Cholesterol metabolism",17,242
0.023439556146271,0.0913931543833049,"Miscellaneous",12,152
0.0248920701931225,0.0913931543833049,"Propanoate metabolism",3,15
0.0254702233527243,0.0913931543833049,"Urea cycle",5,40
0.0425736628456781,0.142929942788553,"Aminosugar metabolism",4,32
0.04451916250791,0.142929942788553,"Transport, golgi apparatus",1,98
0.0538357927810006,0.164199167982052,"Tyrosine metabolism",1,93
0.063028229389548,0.183081999655354,"Glycosphingolipid metabolism",6,71
0.0871167589646781,0.22042642117504,"N-glycan degradation",2,12
0.088003461800276,0.22042642117504,"Transport, lysosomal",2,105
0.0894308224310901,0.22042642117504,"Nucleotide interconversion",10,164
0.0974949349652945,0.22042642117504,"Transport, mitochondrial",21,453
0.0975647171922027,0.22042642117504,"Transport, endoplasmic reticular",7,211
0.0999403736464398,0.22042642117504,"Keratan sulfate degradation",1,76
0.101179340867231,0.22042642117504,"Methionine and cysteine metabolism",4,46
0.117332739887657,0.246803349418865,"Fatty acid synthesis",12,239
0.125695958634464,0.255581782556744,"Butanoate metabolism",1,3
0.190788606771173,0.347058843483947,"Squalene and cholesterol synthesis",1,5
0.192747198860703,0.347058843483947,"Tryptophan metabolism",3,45
0.200601119138871,0.347058843483947,"Glycine, serine, alanine, and threonine metabolism",3,47
0.22329467946508,0.347058843483947,"Androgen and estrogen synthesis and metabolism",2,26
0.227456399268903,0.347058843483947,"Inositol phosphate metabolism",2,65
0.230138074668183,0.347058843483947,"Heparan sulfate degradation",2,27
0.243237997748785,0.347058843483947,"ROS detoxification",1,7
0.247386022221304,0.347058843483947,"Blood group synthesis",1,47
0.252813583867849,0.347058843483947,"Lysine metabolism",2,31
0.257321337200963,0.347058843483947,"Pyruvate metabolism",2,32
0.260482012456455,0.347058843483947,"Chondroitin synthesis",1,45
0.264988153814837,0.347058843483947,"Pyrimidine catabolism",2,34
0.265269330302105,0.347058843483947,"Taurine and hypotaurine metabolism",1,8
0.267085126152912,0.347058843483947,"Chondroitin sulfate degradation",1,44
0.270920431815125,0.347058843483947,"Phenylalanine metabolism",2,36
0.27705243454402,0.347058843483947,"Vitamin A metabolism",2,47
0.277955482836257,0.347058843483947,"Arginine and proline metabolism",2,40
0.277955482836257,0.347058843483947,"Phosphatidylinositol phosphate metabolism",2,40
0.278784972634646,0.347058843483947,"Pentose phosphate pathway",2,41
0.284770739559848,0.347420302263014,"Triacylglycerol synthesis",1,9
0.301926180337973,0.354182634627237,"Beta-Alanine metabolism",1,10
0.301926180337973,0.354182634627237,"Oxidative phosphorylation",1,10
0.350381813911196,0.384506681263254,"Galactose metabolism",1,14
0.350381813911196,0.384506681263254,"Glyoxylate and dicarboxylate metabolism",1,14
0.350381813911196,0.384506681263254,"Histidine metabolism",1,14
0.373312209927573,0.384506681263254,"Tetrahydrobiopterin metabolism",1,18
0.375949930131861,0.384506681263254,"Heme synthesis",1,19
0.376991565239163,0.384506681263254,"Fructose and mannose metabolism",1,23
0.377550612465763,0.384506681263254,"Citric acid cycle",1,20
0.378203293045823,0.384506681263254,"Pyrimidine synthesis",1,21
1,1,"Transport, extracellular",122,2652
