fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
7.89360608226089e-27,3.94680304113045e-25,"Exchange/demand reaction",25,1787
4.19002182616282e-13,1.04750545654071e-11,"Starch and sucrose metabolism",17,42
0.000233733410206828,0.00389555683678047,"C5-branched dibasic acid metabolism",4,8
0.000963076810780994,0.0120384601347624,"Vitamin B6 metabolism",4,11
0.00354504972360958,0.0354504972360958,"Vitamin A metabolism",7,47
0.00651869058669765,0.0543224215558137,"Tetrahydrobiopterin metabolism",4,18
0.00981641489713238,0.0692756547146528,"Fatty acid oxidation",54,961
0.0110841047543444,0.0692756547146528,"Drug metabolism",17,573
0.0150574432879944,0.0836524627110802,"Fructose and mannose metabolism",4,23
0.0186656329016808,0.0931113895366682,"Peptide metabolism",5,242
0.020484505698067,0.0931113895366682,"Miscellaneous",2,152
0.0229814613907585,0.0957560891281604,"Transport, peroxisomal",12,154
0.0275514725943519,0.105967202285969,"Transport, mitochondrial",14,453
0.033960722975936,0.113472244030991,"ROS detoxification",2,7
0.034792204156785,0.113472244030991,"Glycerophospholipid metabolism",3,165
0.036311118089917,0.113472244030991,"Transport, lysosomal",1,105
0.0473483346256089,0.133215219550791,"Transport, golgi apparatus",1,98
0.0479574790382847,0.133215219550791,"Pyrimidine catabolism",4,34
0.0634579190723456,0.166994523874594,"Oxidative phosphorylation",2,10
0.0681839190374126,0.170459797593532,"Eicosanoid metabolism",7,93
0.0754893179253325,0.179736471250792,"Bile acid synthesis",5,185
0.0934985507119297,0.208476268824363,"Valine, leucine, and isoleucine metabolism",4,45
0.0958990836592068,0.208476268824363,"Alanine and aspartate metabolism",2,13
0.102500685049484,0.213543093853092,"Transport, endoplasmic reticular",7,211
0.123512432708364,0.245912394172106,"Transport, nuclear",1,71
0.127874444969495,0.245912394172106,"Tyrosine metabolism",2,93
0.137912567236703,0.255184386910329,"Steroid metabolism",2,90
0.142903256669784,0.255184386910329,"Nucleotide interconversion",6,164
0.168628158279694,0.290738203930507,"Sphingolipid metabolism",6,133
0.176011509642274,0.293352516070457,"Glycolysis/gluconeogenesis",3,42
0.189584769901032,0.305781886937148,"Tryptophan metabolism",3,45
0.208862883568955,0.322252963008874,"Glycosphingolipid metabolism",2,71
0.220158451495115,0.322252963008874,"Androgen and estrogen synthesis and metabolism",2,26
0.251791622003301,0.322252963008874,"Folate metabolism",2,59
0.252420662372937,0.322252963008874,"Blood group synthesis",1,47
0.252420662372937,0.322252963008874,"Glycine, serine, alanine, and threonine metabolism",1,47
0.254925720519345,0.322252963008874,"Aminosugar metabolism",2,32
0.258871059916829,0.322252963008874,"Methionine and cysteine metabolism",1,46
0.262369634216109,0.322252963008874,"Taurine and hypotaurine metabolism",1,8
0.262941446388163,0.322252963008874,"Purine catabolism",2,34
0.271863993612895,0.322252963008874,"Chondroitin sulfate degradation",1,44
0.277137548187631,0.322252963008874,"Phosphatidylinositol phosphate metabolism",2,40
0.277137548187631,0.322252963008874,"Urea cycle",2,40
0.29785867062269,0.338475762071239,"Arginine and proline metabolism",1,40
0.32298106308421,0.358867847871345,"Phenylalanine metabolism",1,36
0.34579785998341,0.37043078471359,"Pyruvate metabolism",1,32
0.348204937630774,0.37043078471359,"CoA synthesis",1,14
0.356247253557316,0.371090889122205,"Propanoate metabolism",1,15
0.375102111089799,0.382757256214081,"Heme synthesis",1,19
1,1,"Transport, extracellular",120,2652
