fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
6.69968737171635e-178,3.81882180187832e-176,"Exchange/demand reaction",28,1787
1.06482455434801e-30,3.03474997989184e-29,"Transport, mitochondrial",4,453
1.14242904586106e-26,2.17061518713602e-25,"Fatty acid oxidation",59,961
4.24923575314891e-25,6.05516094823719e-24,"Drug metabolism",19,573
2.8360249174058e-16,3.23306840584261e-15,"Cholesterol metabolism",2,242
4.63510166321265e-15,4.40334658005202e-14,"Peptide metabolism",3,242
9.34025764681854e-14,7.60563836955224e-13,"Fatty acid synthesis",4,239
9.24193828879786e-13,6.58488103076848e-12,"Transport, endoplasmic reticular",3,211
7.07743762259088e-11,4.48237716097422e-10,"Transport, peroxisomal",1,154
3.32289313707778e-08,1.89404908813433e-07,"Sphingolipid metabolism",2,133
2.86785296238385e-07,1.48606926232618e-06,"Transport, lysosomal",1,105
9.12537223311218e-07,4.33455181072829e-06,"Transport, golgi apparatus",1,98
2.07491838383434e-06,9.09771906758134e-06,"Eicosanoid metabolism",1,93
2.8692184133952e-06,1.16818178259662e-05,"Miscellaneous",6,152
9.07572979891407e-06,3.44877732358735e-05,"Nucleotide interconversion",8,164
0.000104980172553942,0.000373991864723419,"Tyrosine metabolism",3,93
0.000186956223976684,0.000626853221568882,"Inositol phosphate metabolism",1,65
0.00047860145912585,0.00151557128723186,"Glycosphingolipid metabolism",2,71
0.00130371139025187,0.00391113417075561,"Vitamin D metabolism",7,13
0.00298146726140406,0.00849718169500158,"Vitamin A metabolism",1,47
0.00479072181141143,0.013003387773831,"Glycerophospholipid metabolism",15,165
0.00725608727957831,0.0179824771711289,"Arachidonic acid metabolism",1,41
0.00725608727957831,0.0179824771711289,"Pentose phosphate pathway",1,41
0.0164959222120561,0.037610702643488,"Chondroitin synthesis",2,45
0.0164959222120561,0.037610702643488,"Tryptophan metabolism",2,45
0.0239275800372154,0.0524566177738952,"Glycolysis/gluconeogenesis",2,42
0.0301612593347005,0.0620376425054584,"Lysine metabolism",1,31
0.0304746314061901,0.0620376425054584,"Phosphatidylinositol phosphate metabolism",2,40
0.0338125884971405,0.0664592256667933,"Ubiquinone synthesis",6,18
0.0357514706980317,0.0679277943262603,"Glycine, serine, alanine, and threonine metabolism",3,47
0.0486083421131973,0.0893766290468467,"Phenylalanine metabolism",2,36
0.0754894548781514,0.134465591501707,"Pyruvate metabolism",2,32
0.0791478007469529,0.136709837653828,"Methionine and cysteine metabolism",4,46
0.0832256777069121,0.139525400861588,"Bile acid synthesis",29,185
0.129848482907918,0.21146752930718,"Valine, leucine, and isoleucine metabolism",5,45
0.141576883909051,0.224163399522665,"Heme synthesis",1,19
0.162864796432044,0.250899821530446,"Urea cycle",5,40
0.176832408228851,0.260146005034556,"Fructose and mannose metabolism",2,23
0.186569750340122,0.260146005034556,"Aminosugar metabolism",4,32
0.189498212833317,0.260146005034556,"Purine catabolism",5,34
0.189576368727488,0.260146005034556,"Citric acid cycle",4,20
0.191686530025462,0.260146005034556,"NAD metabolism",3,27
0.198020689739892,0.262492542213345,"Glutathione metabolism",1,16
0.204532729709213,0.264962854396026,"Keratan sulfate synthesis",4,22
0.217541523881564,0.272388508748671,"ROS detoxification",2,7
0.219822305305945,0.272388508748671,"Propanoate metabolism",1,15
0.239806422399706,0.285236961555013,"Pyrimidine synthesis",3,21
0.242922722308772,0.285236961555013,"Histidine metabolism",1,14
0.245203703792906,0.285236961555013,"Leukotriene metabolism",2,8
0.281568191007964,0.316477724900548,"Beta-Alanine metabolism",2,10
0.283164280174175,0.316477724900548,"Purine synthesis",2,15
0.316686831849615,0.347137488758231,"Vitamin B6 metabolism",1,11
0.33221851303927,0.357291608362989,"Butanoate metabolism",1,3
0.363016940894658,0.376217556927191,"Triacylglycerol synthesis",1,9
0.363016940894658,0.376217556927191,"Vitamin B2 metabolism",1,9
0.381902632736686,0.388722322606984,"Taurine and hypotaurine metabolism",1,8
1,1,"Transport, extracellular",411,2652
