fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.22419315637897e-19,6.12096578189485e-18,"Exchange/demand reaction",24,1787
3.51653912787746e-13,8.79134781969365e-12,"Starch and sucrose metabolism",16,42
4.97643248894956e-07,8.29405414824928e-06,"Bile acid synthesis",22,185
1.87559386541907e-05,0.000234449233177384,"Fatty acid oxidation",56,961
0.000115141974103653,0.00115141974103653,"C5-branched dibasic acid metabolism",4,8
0.000485785907302235,0.00404821589418529,"Vitamin B6 metabolism",4,11
0.000890075339677586,0.00635768099769704,"Chondroitin sulfate degradation",7,44
0.00130996441673541,0.00818727760459631,"Vitamin A metabolism",7,47
0.00288138199481198,0.0160076777489554,"Transport, peroxisomal",13,154
0.00347502246198675,0.0173751123099338,"Tetrahydrobiopterin metabolism",4,18
0.00835105900717701,0.0379593591235319,"Fructose and mannose metabolism",4,23
0.0105570102218706,0.0439875425911275,"Peptide metabolism",3,242
0.029026296932054,0.111639603584823,"Pyrimidine catabolism",4,34
0.0365145836287249,0.130409227245446,"Eicosanoid metabolism",7,93
0.041670127869186,0.13890042623062,"Keratan sulfate degradation",6,76
0.0697628726319718,0.207629547465427,"Transport, lysosomal",1,105
0.0725073840137874,0.207629547465427,"Alanine and aspartate metabolism",2,13
0.0747466370875538,0.207629547465427,"Glycerophospholipid metabolism",3,165
0.0858996033050711,0.226051587644924,"Transport, golgi apparatus",1,98
0.107683448438698,0.256673059527908,"Transport, mitochondrial",17,453
0.107802685001721,0.256673059527908,"Sphingolipid metabolism",7,133
0.125318716840637,0.284815265546902,"Transport, endoplasmic reticular",6,211
0.138057543640987,0.300125094871711,"Glycolysis/gluconeogenesis",3,42
0.152313119278609,0.304626238557217,"Tryptophan metabolism",3,45
0.152313119278609,0.304626238557217,"Valine, leucine, and isoleucine metabolism",3,45
0.167866275580597,0.307518788106995,"Miscellaneous",6,152
0.168265010891873,0.307518788106995,"Nucleotide interconversion",6,164
0.179897007423863,0.307518788106995,"Transport, nuclear",1,71
0.183769620433401,0.307518788106995,"Tyrosine metabolism",2,93
0.184511272864197,0.307518788106995,"Androgen and estrogen synthesis and metabolism",2,26
0.192965405562963,0.311234525101553,"Steroid metabolism",4,90
0.210017126263132,0.328151759786144,"ROS detoxification",1,7
0.224088207461912,0.335492862793028,"Aminosugar metabolism",2,32
0.23103585350945,0.335492862793028,"Taurine and hypotaurine metabolism",1,8
0.23484500395512,0.335492862793028,"Purine catabolism",2,34
0.251044353895967,0.341655140746954,"Glycosphingolipid metabolism",2,71
0.259657906967685,0.341655140746954,"Phosphatidylinositol phosphate metabolism",2,40
0.259657906967685,0.341655140746954,"Urea cycle",2,40
0.274721836708149,0.352207482959166,"Folate metabolism",2,59
0.297466190825794,0.358520431768158,"N-glycan degradation",1,12
0.303062576338357,0.358520431768158,"Blood group synthesis",1,47
0.303062576338357,0.358520431768158,"Glycine, serine, alanine, and threonine metabolism",1,47
0.308327571320616,0.358520431768158,"Methionine and cysteine metabolism",1,46
0.321498881530221,0.365339638102524,"CoA synthesis",1,14
0.331535928275709,0.367543876961792,"Propanoate metabolism",1,15
0.338140366804849,0.367543876961792,"Arginine and proline metabolism",1,40
0.355137750633133,0.375326371501266,"Phenylalanine metabolism",1,36
0.360313316641216,0.375326371501266,"Heme synthesis",1,19
0.368296161107163,0.375812409293024,"Pyruvate metabolism",1,32
1,1,"Transport, extracellular",100,2652
