fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
2.29567603552629e-171,1.33149210060525e-169,"Exchange/demand reaction",27,1787
7.13535672682723e-43,2.0692534507799e-41,"Drug metabolism",2,573
3.3207856026647e-28,6.42018549848509e-27,"Transport, mitochondrial",5,453
1.16036395608853e-24,1.68252773632837e-23,"Fatty acid oxidation",59,961
1.15394126274179e-15,1.11547655398373e-14,"Cholesterol metabolism",2,242
1.15394126274179e-15,1.11547655398373e-14,"Peptide metabolism",2,242
3.44905734836233e-13,2.85779037435736e-12,"Fatty acid synthesis",4,239
2.96445137839386e-12,2.14922724933555e-11,"Transport, endoplasmic reticular",3,211
1.71347636882673e-10,1.10424032657722e-09,"Transport, peroxisomal",1,154
6.80058241675445e-08,3.94433780171758e-07,"Sphingolipid metabolism",2,133
5.14077675613654e-07,2.71059138050836e-06,"Transport, lysosomal",1,105
1.23859260565306e-06,5.98653092732313e-06,"Miscellaneous",5,152
1.56790308583465e-06,6.99525992141615e-06,"Transport, golgi apparatus",1,98
3.45908397533582e-06,1.43304907549627e-05,"Eicosanoid metabolism",1,93
1.78354631196094e-05,6.89637907291564e-05,"Nucleotide interconversion",8,164
0.000162110442595236,0.000587650354407729,"Tyrosine metabolism",3,93
0.000263541728700472,0.000899142368507492,"Inositol phosphate metabolism",1,65
0.000673023793483398,0.00216863222344651,"Glycosphingolipid metabolism",2,71
0.0010760356694934,0.00328474046476933,"Vitamin D metabolism",7,13
0.00377744826098998,0.0109545999568709,"Vitamin A metabolism",1,47
0.00719761324511486,0.0198791222960315,"Glycerophospholipid metabolism",15,165
0.00887376914187568,0.0223773308795126,"Arachidonic acid metabolism",1,41
0.00887376914187568,0.0223773308795126,"Pentose phosphate pathway",1,41
0.0198822293121249,0.0461267720041298,"Chondroitin synthesis",2,45
0.0198822293121249,0.0461267720041298,"Tryptophan metabolism",2,45
0.0283342065629328,0.0632070761788501,"Glycolysis/gluconeogenesis",2,42
0.0298553483772034,0.0641337113288074,"Ubiquinone synthesis",6,18
0.0347810653284652,0.0713294803978261,"Lysine metabolism",1,31
0.035664740198913,0.0713294803978261,"Phosphatidylinositol phosphate metabolism",2,40
0.0419677148854913,0.0811375821119499,"Glycine, serine, alanine, and threonine metabolism",3,47
0.0463079771320378,0.0866407314083288,"Methionine and cysteine metabolism",3,46
0.0531399667316015,0.0963161897010277,"Bile acid synthesis",23,185
0.0555650776654845,0.0976598334726697,"Phenylalanine metabolism",2,36
0.0842919980795159,0.143792232017998,"Pyruvate metabolism",2,32
0.0956152848867102,0.158448186383691,"Valine, leucine, and isoleucine metabolism",4,45
0.152202748941262,0.245215539960921,"Heme synthesis",1,19
0.169933734639102,0.26638261105589,"Urea cycle",5,40
0.182838874681545,0.269880119250181,"Citric acid cycle",4,20
0.187326439305079,0.269880119250181,"Fructose and mannose metabolism",2,23
0.190884607004464,0.269880119250181,"Purine catabolism",5,34
0.19300184532559,0.269880119250181,"Aminosugar metabolism",4,32
0.199576049618835,0.269880119250181,"Keratan sulfate synthesis",4,22
0.200083536685479,0.269880119250181,"NAD metabolism",3,27
0.209194621424656,0.27575654642341,"Glutathione metabolism",1,16
0.230878717925565,0.297577014215173,"Propanoate metabolism",1,15
0.238047733238248,0.298263164015719,"Leukotriene metabolism",2,8
0.241696012219635,0.298263164015719,"Pyrimidine synthesis",3,21
0.253660949291298,0.306506980393652,"Histidine metabolism",1,14
0.276540853028851,0.327334070932109,"Beta-Alanine metabolism",2,10
0.286306094205777,0.332115069278701,"Purine synthesis",2,15
0.324969234034034,0.363006965707136,"Vitamin B6 metabolism",1,11
0.325454520978812,0.363006965707136,"Butanoate metabolism",1,3
0.347669048924041,0.380468015803667,"Oxidative phosphorylation",1,10
0.368210314637407,0.388294513617629,"Triacylglycerol synthesis",1,9
0.368210314637407,0.388294513617629,"Vitamin B2 metabolism",1,9
0.385125084073106,0.398879551361432,"Taurine and hypotaurine metabolism",1,8
0.39649638187353,0.403452458748504,"ROS detoxification",1,7
1,1,"Transport, extracellular",398,2652
