fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
0,0,"Transport, extracellular",106,2652
7.39537829092913e-69,2.40349794455197e-67,"Fatty acid oxidation",147,961
5.32580078529539e-30,1.15392350348067e-28,"Cholesterol metabolism",63,242
8.65400670548816e-30,1.40627608964183e-28,"Exchange/demand reaction",34,1787
3.41365895501244e-14,4.43775664151617e-13,"Keratan sulfate degradation",25,76
7.10361114572385e-10,7.69557874120083e-09,"Folate metabolism",18,59
4.6953545025912e-08,4.3599720381204e-07,"Chondroitin synthesis",14,45
1.16026512285797e-07,9.42715412322103e-07,"Transport, nuclear",17,71
8.01412822763153e-06,5.78798149773388e-05,"Peptide metabolism",1,242
6.16540184154703e-05,0.000400751119700557,"Sphingolipid metabolism",19,133
0.000417989906758242,0.00246994035811689,"Chondroitin sulfate degradation",9,44
0.000682474369284638,0.00369673616695846,"Blood group synthesis",9,47
0.00207474332893636,0.0103737166446818,"Drug metabolism",19,573
0.00288104563635324,0.01337628331164,"Biotin metabolism",4,12
0.0053448926501805,0.0231612014841155,"Transport, peroxisomal",2,154
0.00586696949068023,0.0238345635558884,"Transport, mitochondrial",15,453
0.0084765321014097,0.0302982020839003,"Glutamate metabolism",4,16
0.0084765321014097,0.0302982020839003,"Glutathione metabolism",4,16
0.00885639753221701,0.0302982020839003,"Methionine and cysteine metabolism",7,46
0.0100413117889387,0.0326342633140508,"Glycosphingolipid metabolism",9,71
0.0106352865466446,0.0329187440729474,"Transport, endoplasmic reticular",19,211
0.0127471336882187,0.0376619858970099,"O-glycan metabolism",4,18
0.0176130590870577,0.0497760365503804,"Vitamin B6 metabolism",3,11
0.0222036140554754,0.0601347880669126,"N-glycan degradation",3,12
0.0265650149321628,0.0690690388236233,"Glycerophospholipid metabolism",4,165
0.0328378100605002,0.079743922802577,"Galactose metabolism",3,14
0.0331243987026089,0.079743922802577,"Phenylalanine metabolism",5,36
0.0355840179778883,0.0826057560200979,"Miscellaneous",13,152
0.0534569974134737,0.119817407995717,"Starch and sucrose metabolism",5,42
0.0554298642533938,0.120098039215687,"Nucleotide sugar metabolism",1,1
0.071033448883815,0.148941102498322,"Eicosanoid metabolism",8,93
0.0740837382662257,0.150482593353271,"Vitamin B2 metabolism",2,9
0.110934354294137,0.218507061488452,"Arginine and proline metabolism",4,40
0.116578571371856,0.222870798210901,"Nucleotide interconversion",7,164
0.126980308473421,0.23582057287921,"Heparan sulfate degradation",3,27
0.132763670460035,0.239712182775064,"Bile acid synthesis",10,185
0.139491737770491,0.243847712256991,"Transport, lysosomal",7,105
0.142557124088702,0.243847712256991,"Inositol phosphate metabolism",5,65
0.153970682947844,0.256617804913073,"Propanoate metabolism",2,15
0.162361601703856,0.263837602768766,"Aminosugar metabolism",3,32
0.179755279083131,0.277669442411882,"Transport, golgi apparatus",5,98
0.183051731386691,0.277669442411882,"Tyrosine metabolism",5,93
0.183689015749399,0.277669442411882,"Steroid metabolism",5,90
0.205628318883051,0.303769107440872,"Urea cycle",3,40
0.250489476317288,0.361818132458305,"N-glycan metabolism",1,6
0.256622711798776,0.362619049280879,"Glycine, serine, alanine, and threonine metabolism",2,47
0.263524119462505,0.363771449850338,"Valine, leucine, and isoleucine metabolism",2,45
0.276310721054467,0.363771449850338,"Phosphatidylinositol phosphate metabolism",2,40
0.277246431599136,0.363771449850338,"Pyruvate metabolism",2,32
0.279824192192568,0.363771449850338,"Pyrimidine catabolism",2,34
0.29813912325099,0.372673904063738,"Leukotriene metabolism",1,8
0.29813912325099,0.372673904063738,"Taurine and hypotaurine metabolism",1,8
0.311071445728311,0.379732912554002,"Lysine metabolism",1,31
0.316885579090808,0.379732912554002,"Triacylglycerol synthesis",1,9
0.33264526463604,0.379732912554002,"Beta-Alanine metabolism",1,10
0.33264526463604,0.379732912554002,"Oxidative phosphorylation",1,10
0.340668406118937,0.379732912554002,"NAD metabolism",1,27
0.364612149925184,0.379732912554002,"Alanine and aspartate metabolism",1,13
0.370935764033252,0.379732912554002,"CoA synthesis",1,14
0.370935764033252,0.379732912554002,"Histidine metabolism",1,14
0.373335940550104,0.379732912554002,"Pyrimidine synthesis",1,21
0.375435363900221,0.379732912554002,"Cytochrome metabolism",1,15
0.375435363900221,0.379732912554002,"Purine synthesis",1,15
0.378611622421598,0.379732912554002,"Heme synthesis",1,19
0.379732912554002,0.379732912554002,"N-glycan synthesis",1,18
