fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
2.90475319959314e-18,1.4814241317925e-16,"Folate metabolism",17,59
5.04568772052046e-09,1.28665036873272e-07,"NAD metabolism",8,27
2.18341411795859e-08,3.7118040005296e-07,"Fatty acid oxidation",34,961
7.60520923108597e-08,9.69664176963462e-07,"Cholesterol metabolism",17,242
1.03948955869868e-07,1.06027934987265e-06,"Steroid metabolism",11,90
3.41898490623531e-07,2.90613717030002e-06,"Transport, mitochondrial",22,453
3.9330982658818e-06,2.86554302228531e-05,"Bile acid synthesis",13,185
4.78394666232216e-06,3.04976599723038e-05,"Chondroitin sulfate degradation",7,44
6.77942242156495e-05,0.000384167270555347,"Valine, leucine, and isoleucine metabolism",6,45
0.000100051442883254,0.000463874871549633,"Glutamate metabolism",4,16
0.000100051442883254,0.000463874871549633,"Glutathione metabolism",4,16
0.00017229292818897,0.000732244944803121,"Keratan sulfate degradation",7,76
0.000259222950963245,0.00101695157685581,"Fatty acid synthesis",12,239
0.000815270362097025,0.00296991346192488,"N-glycan degradation",3,12
0.000999490039447869,0.00339826613412275,"Sphingolipid metabolism",8,133
0.0106554075065184,0.0339641114270274,"Oxidative phosphorylation",2,10
0.0229468426720931,0.0667746447157787,"Propanoate metabolism",2,15
0.0235675216643925,0.0667746447157787,"Urea cycle",3,40
0.0350393464743642,0.0940529826417145,"Glycerophospholipid metabolism",6,165
0.0411242672926434,0.104866881596241,"Exchange/demand reaction",25,1787
0.0595072057440809,0.142022926334539,"Androgen and estrogen synthesis and metabolism",2,26
0.0632398892666114,0.142022926334539,"Heparan sulfate degradation",2,27
0.0643943429233763,0.142022926334539,"Peptide metabolism",1,242
0.066834318275077,0.142022926334539,"Miscellaneous",5,152
0.0777006009270674,0.158509225891217,"Squalene and cholesterol synthesis",1,5
0.0824354893354252,0.16170038292718,"Aminosugar metabolism",2,32
0.0902725991262117,0.170514909460622,"Pyrimidine catabolism",2,34
0.11389492142698,0.207451464027713,"Phosphatidylinositol phosphate metabolism",2,40
0.143173434196113,0.251787763586268,"Beta-Alanine metabolism",1,10
0.155520587467298,0.264384998694406,"Nucleotide interconversion",4,164
0.187701615407695,0.299149449556014,"Galactose metabolism",1,14
0.187701615407695,0.299149449556014,"Glyoxylate and dicarboxylate metabolism",1,14
0.202139651829285,0.312397643736167,"Inositol phosphate metabolism",2,65
0.224273573940233,0.336410360910349,"Transport, endoplasmic reticular",3,211
0.234627611401398,0.341885948042038,"Heme synthesis",1,19
0.24294301618311,0.344169272926072,"Citric acid cycle",1,20
0.250922660464656,0.345866369829661,"Pyrimidine synthesis",1,21
0.26590868910623,0.356877451168887,"Fructose and mannose metabolism",1,23
0.274316389299664,0.358721432161099,"Transport, lysosomal",2,105
0.314045665040915,0.376658242580729,"Lysine metabolism",1,31
0.318857751698014,0.376658242580729,"Pyruvate metabolism",1,32
0.335726328113289,0.376658242580729,"Phenylalanine metabolism",1,36
0.34908759459432,0.376658242580729,"Arginine and proline metabolism",1,40
0.35457065857471,0.376658242580729,"Glycolysis/gluconeogenesis",1,42
0.361421291988046,0.376658242580729,"Chondroitin synthesis",1,45
0.361421291988046,0.376658242580729,"Tryptophan metabolism",1,45
0.363359100389874,0.376658242580729,"Methionine and cysteine metabolism",1,46
0.365132308319136,0.376658242580729,"Blood group synthesis",1,47
0.365132308319136,0.376658242580729,"Glycine, serine, alanine, and threonine metabolism",1,47
0.369272786843852,0.376658242580729,"Glycosphingolipid metabolism",1,71
1,1,"Transport, extracellular",44,2652
