fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
3.03247619034645e-24,1.75883619040094e-22,"Exchange/demand reaction",33,1787
1.60858280577714e-17,4.66489013675372e-16,"Starch and sucrose metabolism",21,42
8.96421312566936e-13,1.73308120429608e-11,"Folate metabolism",20,59
3.58271960883774e-05,0.000519494343281472,"Cholesterol metabolism",1,242
0.000327620545922522,0.00380039833270125,"C5-branched dibasic acid metabolism",4,8
0.00120553198162022,0.0110397031980727,"Eicosanoid metabolism",12,93
0.00133237797218119,0.0110397031980727,"Vitamin B6 metabolism",4,11
0.00355209447292555,0.0240220155492361,"Drug metabolism",17,573
0.00372755413695043,0.0240220155492361,"Peptide metabolism",4,242
0.00874658035811127,0.046118332797314,"O-glycan metabolism",4,18
0.00874658035811127,0.046118332797314,"Tetrahydrobiopterin metabolism",4,18
0.0144055217021812,0.0688602519003243,"Chondroitin sulfate degradation",6,44
0.015434194391452,0.0688602519003243,"Fatty acid oxidation",57,961
0.0183411999204571,0.0716510623908183,"Pyrimidine catabolism",5,34
0.0189091048837062,0.0716510623908183,"Vitamin A metabolism",6,47
0.0197658103147085,0.0716510623908183,"Fructose and mannose metabolism",4,23
0.0218857024926514,0.0746688673278695,"Glycerophospholipid metabolism",3,165
0.0249665904904802,0.0804479026915474,"Transport, lysosomal",1,105
0.0336051471732415,0.102584133476211,"Transport, golgi apparatus",1,98
0.0366056568766612,0.106156404942317,"Transport, peroxisomal",12,154
0.0467593560280144,0.129144888077373,"Valine, leucine, and isoleucine metabolism",5,45
0.0614676063584476,0.162050962217726,"Vitamin B2 metabolism",2,9
0.0689730441452043,0.173932024366167,"Phenylalanine metabolism",4,36
0.0770702417946582,0.185586374625813,"Transport, nuclear",6,71
0.0799941269938848,0.185586374625813,"Steroid metabolism",7,90
0.0917677151993144,0.203739664315408,"Keratan sulfate degradation",6,76
0.0948443264916555,0.203739664315408,"Transport, mitochondrial",22,453
0.103920209206089,0.209899828030698,"Transport, endoplasmic reticular",8,211
0.104949914015349,0.209899828030698,"Bile acid synthesis",11,185
0.109008461070188,0.210749691402363,"Alanine and aspartate metabolism",2,13
0.120959875015991,0.226312024223467,"CoA synthesis",2,14
0.132993543824955,0.241050798182731,"Nucleotide interconversion",9,164
0.14013481723799,0.246297557569801,"Miscellaneous",6,152
0.145722716214315,0.248585810012655,"Sphingolipid metabolism",5,133
0.163978635803073,0.271736025045092,"Tyrosine metabolism",3,93
0.193388911202258,0.311571023603638,"Glycolysis/gluconeogenesis",3,42
0.205555984130258,0.322222894042026,"Tryptophan metabolism",3,45
0.2123865783408,0.324168987993853,"Glycine, serine, alanine, and threonine metabolism",3,47
0.22218283205653,0.326452169962924,"Glycosphingolipid metabolism",3,71
0.225139427560638,0.326452169962924,"Blood group synthesis",1,47
0.255651076675442,0.338052890486444,"ROS detoxification",1,7
0.266591507396704,0.338052890486444,"Aminosugar metabolism",2,32
0.272561041430361,0.338052890486444,"Purine catabolism",2,34
0.273864138127722,0.338052890486444,"Methionine and cysteine metabolism",2,46
0.274029080457977,0.338052890486444,"Urea cycle",1,40
0.277812566173907,0.338052890486444,"Taurine and hypotaurine metabolism",1,8
0.279767909368091,0.338052890486444,"Arginine and proline metabolism",2,40
0.279767909368091,0.338052890486444,"Phosphatidylinositol phosphate metabolism",2,40
0.297172235356033,0.35175489082959,"Triacylglycerol synthesis",1,9
0.313950404611642,0.357041636617161,"Beta-Alanine metabolism",1,10
0.313950404611642,0.357041636617161,"Oxidative phosphorylation",1,10
0.32956796274203,0.36759503536611,"Pyruvate metabolism",1,32
0.340570813284373,0.372700135292333,"N-glycan degradation",1,12
0.359157782739788,0.385160955443745,"Histidine metabolism",1,14
0.365848472508145,0.385160955443745,"Propanoate metabolism",1,15
0.378064781048959,0.385160955443745,"Pyrimidine synthesis",1,21
0.378520249315404,0.385160955443745,"Heme synthesis",1,19
1,1,"Transport, extracellular",131,2652
