fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
3.16397249394546e-130,1.83510404648836e-128,"Exchange/demand reaction",36,1787
2.44661667755765e-19,7.09518836491717e-18,"Drug metabolism",19,573
2.31633708567131e-17,4.47825169896454e-16,"Transport, mitochondrial",12,453
1.85856080267019e-12,2.15593053109742e-11,"Cholesterol metabolism",3,242
1.85856080267019e-12,2.15593053109742e-11,"Peptide metabolism",3,242
2.86637261127763e-11,2.77082685756837e-10,"Fatty acid synthesis",4,239
3.47696661977829e-09,2.88091519924487e-08,"Transport, peroxisomal",1,154
3.73766375580201e-06,2.70980622295646e-05,"Transport, lysosomal",1,105
1.3654756952302e-05,8.7997322581502e-05,"Miscellaneous",5,152
1.96291544441388e-05,0.000113849095776005,"Eicosanoid metabolism",1,93
4.58747598362527e-05,0.000241885097318423,"Fatty acid oxidation",97,961
0.000419502583676586,0.0020275958211035,"Glycerophospholipid metabolism",9,165
0.000519612587935608,0.00231827154617425,"Vitamin D metabolism",7,13
0.000609864118254778,0.00252657991848408,"Transport, endoplasmic reticular",14,211
0.000693800416790162,0.00268269494492196,"Tyrosine metabolism",3,93
0.000976113022265927,0.00352689446961524,"Steroid metabolism",3,90
0.0010337449307493,0.00352689446961524,"Bile acid synthesis",12,185
0.00114409933536757,0.00368654230285106,"Nucleotide interconversion",10,164
0.004247694466198,0.012966646265236,"Inositol phosphate metabolism",2,65
0.01074208928739,0.0311520589334309,"Tryptophan metabolism",1,45
0.0154864942643527,0.0427722222539265,"Glycolysis/gluconeogenesis",1,42
0.0174734363866568,0.0440634482793953,"Arachidonic acid metabolism",1,41
0.0174734363866568,0.0440634482793953,"Pentose phosphate pathway",1,41
0.0183457377351373,0.0443355328599152,"Ubiquinone synthesis",6,18
0.0197024026945597,0.0457095742513784,"Arginine and proline metabolism",1,40
0.0333593996435402,0.0744171222817435,"Methionine and cysteine metabolism",2,46
0.0368735547169983,0.0783111331965687,"Chondroitin synthesis",2,45
0.0378053746466193,0.0783111331965687,"Transport, nuclear",14,71
0.0398642553849909,0.0797285107699818,"Pyrimidine catabolism",1,34
0.0494690317005618,0.0956401279544195,"Starch and sucrose metabolism",2,42
0.0859952558606296,0.160894349674726,"Phenylalanine metabolism",2,36
0.104052047889574,0.188594336799852,"Beta-Alanine metabolism",3,10
0.117563568903614,0.199071513317961,"Phosphatidylinositol phosphate metabolism",3,40
0.117563568903614,0.199071513317961,"Urea cycle",3,40
0.120129361484976,0.199071513317961,"Glycine, serine, alanine, and threonine metabolism",4,47
0.130331454799489,0.209978454954732,"Lysine metabolism",2,31
0.155099642338669,0.243129169071427,"Citric acid cycle",4,20
0.166188587355686,0.25365626491131,"Pyrimidine synthesis",4,21
0.173969760309498,0.255454858047786,"Valine, leucine, and isoleucine metabolism",6,45
0.176175764170887,0.255454858047786,"Keratan sulfate synthesis",4,22
0.185924920711673,0.257096855731351,"Purine catabolism",5,34
0.186173585184772,0.257096855731351,"Pyruvate metabolism",3,32
0.192941300839628,0.260246405783684,"Heme synthesis",1,19
0.208020903745644,0.271700438909565,"Aminosugar metabolism",4,32
0.210802064671214,0.271700438909565,"Leukotriene metabolism",2,8
0.223524896682328,0.277259713858504,"Fructose and mannose metabolism",2,23
0.22467597502327,0.277259713858504,"NAD metabolism",3,27
0.249813399249818,0.301857857426863,"Glutathione metabolism",1,16
0.270278145714621,0.319921070437715,"Propanoate metabolism",1,15
0.288624671343334,0.324937667073557,"Glutamate metabolism",2,16
0.291230011931643,0.324937667073557,"Histidine metabolism",2,14
0.291323425652155,0.324937667073557,"Purine synthesis",2,15
0.300300347204387,0.328630568638763,"Butanoate metabolism",1,3
0.351361896735945,0.377388703901571,"Vitamin B6 metabolism",1,11
0.368518511781011,0.388619521514521,"Oxidative phosphorylation",1,10
0.382625484056522,0.396290679915683,"Vitamin B2 metabolism",1,9
0.39600245813591,0.402949869682154,"ROS detoxification",1,7
1,1,"Transport, extracellular",353,2652
