fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
0,0,"Transport, extracellular",119,2652
9.70153505931663e-75,3.20150656957449e-73,"Fatty acid oxidation",159,961
1.15316046819739e-37,2.53695303003425e-36,"Exchange/demand reaction",31,1787
1.24486057507266e-27,2.0540199488699e-26,"Cholesterol metabolism",63,242
2.60427393151755e-09,3.43764158960317e-08,"Folate metabolism",18,59
3.43124308306174e-08,3.77436739136791e-07,"Keratan sulfate degradation",19,76
1.27443087329025e-07,1.20160625195938e-06,"Chondroitin synthesis",14,45
3.65417320712975e-07,3.01469289588205e-06,"Transport, nuclear",17,71
2.16980820450214e-05,0.000159119268330157,"Peptide metabolism",2,242
4.35638217475198e-05,0.000287521223533631,"Steroid metabolism",16,90
5.55314553264852e-05,0.000333188731958911,"Blood group synthesis",11,47
6.71155059255496e-05,0.000369135282590523,"Transport, mitochondrial",11,453
0.000479666671804812,0.00243523079531674,"Sphingolipid metabolism",18,133
0.00199271190226466,0.00939421325353338,"Glycosphingolipid metabolism",11,71
0.00364856338722192,0.0157016336704161,"Phenylalanine metabolism",7,36
0.00380645664737361,0.0157016336704161,"Biotin metabolism",4,12
0.0100089139700309,0.0381597617663135,"Transport, peroxisomal",3,154
0.0109853859630296,0.0381597617663135,"Glutamate metabolism",4,16
0.0109853859630296,0.0381597617663135,"Glutathione metabolism",4,16
0.0116288642715047,0.0383752520959655,"Transport, endoplasmic reticular",20,211
0.012843335137658,0.0403647675754966,"Methionine and cysteine metabolism",7,46
0.0163612988823218,0.0490838966469654,"O-glycan metabolism",4,18
0.0214804530036617,0.0616395607931162,"Vitamin B6 metabolism",3,11
0.0276003837216926,0.0728650130252685,"Eicosanoid metabolism",10,93
0.0276003837216926,0.0728650130252685,"Tyrosine metabolism",10,93
0.0318972714571748,0.0776992963145137,"Miscellaneous",14,152
0.0329633378303998,0.0776992963145137,"Alanine and aspartate metabolism",3,13
0.0329633378303998,0.0776992963145137,"Vitamin D metabolism",3,13
0.036913739125167,0.084010578698656,"Drug metabolism",28,573
0.0394733387185352,0.0868413451807773,"Galactose metabolism",3,14
0.0464238185649185,0.0988378072672459,"Propanoate metabolism",3,15
0.0581057502416864,0.116245853342918,"Arginine and proline metabolism",5,40
0.0585269884644936,0.116245853342918,"Bile acid synthesis",7,185
0.0599547511312219,0.116245853342918,"Nucleotide sugar metabolism",1,1
0.0617531853020644,0.116245853342918,"Glycerophospholipid metabolism",6,165
0.0634068290961372,0.116245853342918,"Nucleotide interconversion",6,164
0.0665204266295456,0.118658058312162,"Starch and sucrose metabolism",5,42
0.0838477073650775,0.14563022858145,"Vitamin B2 metabolism",2,9
0.127912609317377,0.216467492690945,"N-glycan degradation",2,12
0.143340668905658,0.236512103694335,"Heparan sulfate degradation",3,27
0.151174869330491,0.243354667702742,"Transport, lysosomal",7,105
0.158501834144316,0.24907431079821,"Inositol phosphate metabolism",5,65
0.168735964398439,0.251203429253605,"Transport, golgi apparatus",6,98
0.169295679362415,0.251203429253605,"Cytochrome metabolism",2,15
0.176544446739116,0.251203429253605,"Tryptophan metabolism",1,45
0.178887290529082,0.251203429253605,"Aminosugar metabolism",3,32
0.178887290529082,0.251203429253605,"Pyruvate metabolism",3,32
0.215653383377286,0.293510388909213,"Heme synthesis",2,19
0.217909228129567,0.293510388909213,"Urea cycle",3,40
0.228294361108884,0.301348556663727,"Chondroitin sulfate degradation",3,44
0.241544788079974,0.312587372809378,"Glycine, serine, alanine, and threonine metabolism",2,47
0.250476937495987,0.317913036052598,"Valine, leucine, and isoleucine metabolism",2,45
0.26450486275034,0.324603618216828,"N-glycan metabolism",1,6
0.269117531488209,0.324603618216828,"Phosphatidylinositol phosphate metabolism",2,40
0.27050301518069,0.324603618216828,"NAD metabolism",2,27
0.280619206805353,0.330729779449166,"Pyrimidine catabolism",2,34
0.291078741535982,0.337038542831137,"Lysine metabolism",1,31
0.311804976474353,0.348798787242496,"Leukotriene metabolism",1,8
0.311804976474353,0.348798787242496,"Taurine and hypotaurine metabolism",1,8
0.329818671692377,0.362800538861615,"Triacylglycerol synthesis",1,9
0.344557699228805,0.372800133591822,"Beta-Alanine metabolism",1,10
0.366700218227467,0.379614181572142,"Pyrimidine synthesis",1,21
0.376879326715655,0.379614181572142,"CoA synthesis",1,14
0.376879326715655,0.379614181572142,"Histidine metabolism",1,14
0.378435051176396,0.379614181572142,"N-glycan synthesis",1,18
0.379614181572142,0.379614181572142,"Purine synthesis",1,15
