fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.77198277632279e-26,1.04546983803045e-24,"Exchange/demand reaction",29,1787
9.7223631573481e-18,2.86809713141769e-16,"Starch and sucrose metabolism",21,42
5.69045451430447e-13,1.11912272114655e-11,"Folate metabolism",20,59
1.93984754307588e-05,0.000286127512603692,"Eicosanoid metabolism",15,93
4.73103696318654e-05,0.000558262361656012,"Cholesterol metabolism",1,242
0.000299721777664385,0.00294726414703312,"C5-branched dibasic acid metabolism",4,8
0.00122328374945394,0.0103105344596832,"Vitamin B6 metabolism",4,11
0.00529283520267747,0.0390346596197464,"Phenylalanine metabolism",6,36
0.00809781740374743,0.0460793658544555,"O-glycan metabolism",4,18
0.00809781740374743,0.0460793658544555,"Tetrahydrobiopterin metabolism",4,18
0.00859106821015273,0.0460793658544555,"Glycerophospholipid metabolism",2,165
0.0103413678506212,0.0508450585988877,"Fatty acid oxidation",57,961
0.0117912407569973,0.0535140926663723,"Peptide metabolism",5,242
0.0168806060814383,0.0677970187589186,"Pyrimidine catabolism",5,34
0.0172365301929454,0.0677970187589186,"Vitamin A metabolism",6,47
0.018409556369801,0.0678852391136411,"Fructose and mannose metabolism",4,23
0.0276784690226592,0.0960605689609937,"Transport, lysosomal",1,105
0.0325710868387653,0.106760784638175,"Transport, peroxisomal",12,154
0.0369337872547249,0.114689128843619,"Transport, golgi apparatus",1,98
0.0438087564731126,0.129235831595682,"Tyrosine metabolism",8,93
0.0591650431542128,0.166225597433265,"Vitamin B2 metabolism",2,9
0.0704305777616126,0.182701394273668,"Oxidative phosphorylation",2,10
0.0723311370717663,0.182701394273668,"Transport, nuclear",6,71
0.0749070423168963,0.182701394273668,"Steroid metabolism",7,90
0.0789167661573763,0.182701394273668,"Transport, mitochondrial",19,453
0.0830966212624552,0.182701394273668,"Transport, endoplasmic reticular",7,211
0.0836091126337125,0.182701394273668,"Drug metabolism",26,573
0.105427060587635,0.216749482495063,"Alanine and aspartate metabolism",2,13
0.106537881226387,0.216749482495063,"Tryptophan metabolism",4,45
0.114758106099444,0.222916545337367,"Miscellaneous",5,152
0.117125642465396,0.222916545337367,"CoA synthesis",2,14
0.121461412654708,0.223944479582117,"Bile acid synthesis",7,185
0.129705775318819,0.228117770912328,"Nucleotide interconversion",9,164
0.13145769849185,0.228117770912328,"Glycosphingolipid metabolism",5,71
0.16578916537703,0.279473164492708,"Sphingolipid metabolism",6,133
0.172285310457692,0.282356481027884,"Heme synthesis",2,19
0.179360421695231,0.286007158919423,"Arginine and proline metabolism",3,40
0.188933262897812,0.293343750288709,"Glycolysis/gluconeogenesis",3,42
0.208751266679918,0.307908118352879,"Blood group synthesis",3,47
0.208751266679918,0.307908118352879,"Glycine, serine, alanine, and threonine metabolism",3,47
0.232212418704937,0.324574309695587,"Androgen and estrogen synthesis and metabolism",2,26
0.251587120975404,0.324574309695587,"ROS detoxification",1,7
0.252805688596756,0.324574309695587,"Chondroitin sulfate degradation",1,44
0.263772958616382,0.324574309695587,"Aminosugar metabolism",2,32
0.263772958616382,0.324574309695587,"Pyruvate metabolism",2,32
0.270329470227267,0.324574309695587,"Purine catabolism",2,34
0.273722439369622,0.324574309695587,"Taurine and hypotaurine metabolism",1,8
0.275585512141776,0.324574309695587,"Methionine and cysteine metabolism",2,46
0.276990895385442,0.324574309695587,"Valine, leucine, and isoleucine metabolism",2,45
0.279492085686742,0.324574309695587,"Phosphatidylinositol phosphate metabolism",2,40
0.28056423380466,0.324574309695587,"Urea cycle",1,40
0.293146483502271,0.332608510127577,"Triacylglycerol synthesis",1,9
0.310067075499943,0.345169008575408,"Beta-Alanine metabolism",1,10
0.356413826617898,0.376241627568839,"Histidine metabolism",1,14
0.361387949865328,0.376241627568839,"NAD metabolism",1,27
0.363487674091929,0.376241627568839,"Cytochrome metabolism",1,15
0.363487674091929,0.376241627568839,"Propanoate metabolism",1,15
0.378332891815511,0.384855872708882,"Pyrimidine synthesis",1,21
1,1,"Transport, extracellular",128,2652
