fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
2.02063515931501e-21,1.27300015036845e-19,"Fatty acid oxidation",87,961
4.8193312016353e-16,1.51808932851512e-14,"Exchange/demand reaction",33,1787
2.36874069530748e-13,4.97435546014571e-12,"Bile acid synthesis",32,185
1.02382720706953e-09,1.6125278511345e-08,"Sphingolipid metabolism",23,133
4.09318544007083e-08,5.15741365448925e-07,"Purine catabolism",11,34
5.17853102655374e-08,5.43745757788143e-07,"Steroid metabolism",17,90
2.44899268152481e-06,2.20409341337233e-05,"Phosphatidylinositol phosphate metabolism",10,40
1.74393329637473e-05,0.00013733474708951,"Transport, nuclear",12,71
5.2922181691442e-05,0.000370455271840094,"Valine, leucine, and isoleucine metabolism",9,45
5.89211229168708e-05,0.000371203074376286,"Transport, endoplasmic reticular",21,211
7.64966482725831e-05,0.00043811716737934,"Miscellaneous",17,152
0.000195955410594215,0.00102876590561963,"Inositol phosphate metabolism",10,65
0.000215614006816052,0.00104489864841625,"Cytochrome metabolism",5,15
0.000545200162897864,0.00245340073304039,"N-glycan synthesis",5,18
0.000672355504826481,0.00282389312027122,"Vitamin B6 metabolism",4,11
0.000968436327285092,0.00381321803868505,"Biotin metabolism",4,12
0.0016006627703566,0.00593186791367446,"Glycosphingolipid metabolism",9,71
0.00211473753494112,0.00740158137229392,"Blood group synthesis",7,47
0.00524321942873575,0.0173854117900185,"Starch and sucrose metabolism",6,42
0.00570590541612088,0.0179736020607808,"Heme synthesis",4,19
0.00728000719229453,0.0218400215768836,"Aminosugar metabolism",5,32
0.00927642147186688,0.0265642978512552,"Pyrimidine catabolism",5,34
0.012844189023225,0.0345326106893382,"Alanine and aspartate metabolism",3,13
0.013155280262605,0.0345326106893382,"Drug metabolism",32,573
0.0155205352456622,0.0366112556178446,"Cholesterol metabolism",4,242
0.0156905381219334,0.0366112556178446,"Galactose metabolism",3,14
0.0156905381219334,0.0366112556178446,"Histidine metabolism",3,14
0.0222379836834191,0.0483589882943658,"Glutamate metabolism",3,16
0.0222604866751842,0.0483589882943658,"Eicosanoid metabolism",8,93
0.0260552325109941,0.0547159882730876,"Chondroitin synthesis",5,45
0.0570484103027668,0.115937091905623,"Arginine and proline metabolism",4,40
0.0594506189120213,0.117043405983042,"Transport, golgi apparatus",7,98
0.0624428145761228,0.119209009645325,"Nucleotide interconversion",10,164
0.0731315435398575,0.135508448323854,"N-glycan degradation",2,12
0.0796173038660638,0.142205035400414,"Methionine and cysteine metabolism",4,46
0.0820127303417426,0.142205035400414,"Transport, mitochondrial",21,453
0.0835172430129415,0.142205035400414,"Glycine, serine, alanine, and threonine metabolism",4,47
0.0928234638428396,0.151641071983846,"CoA synthesis",2,14
0.0957755416281031,0.151641071983846,"Tyrosine metabolism",6,93
0.0962800457040295,0.151641071983846,"Lysine metabolism",3,31
0.112674430011449,0.173133880261495,"Glutathione metabolism",2,16
0.120282917287073,0.18042437593061,"Transport, lysosomal",2,105
0.132368338184437,0.193935007107431,"Glycerophospholipid metabolism",8,165
0.145111549996787,0.20258731479089,"CoA catabolism",1,4
0.15099356431817,0.20258731479089,"Arachidonic acid metabolism",3,41
0.15099356431817,0.20258731479089,"Pentose phosphate pathway",3,41
0.151136568177331,0.20258731479089,"Citric acid cycle",2,20
0.154802851041704,0.203178741992237,"Transport, peroxisomal",5,154
0.160254689801691,0.206041744030746,"Pyrimidine synthesis",2,21
0.169111030317528,0.213079898200085,"Keratan sulfate synthesis",2,22
0.200270847424237,0.247393399759352,"N-glycan metabolism",1,6
0.231185547464799,0.280090182505429,"Keratan sulfate degradation",3,76
0.239519420520496,0.28471176401493,"Pyruvate metabolism",2,32
0.265090010112697,0.306862775415203,"Linoleate metabolism",1,9
0.273814087900484,0.306862775415203,"Glycolysis/gluconeogenesis",2,42
0.277669069832475,0.306862775415203,"Tryptophan metabolism",2,45
0.282508586890187,0.306862775415203,"Beta-Alanine metabolism",1,10
0.282508586890187,0.306862775415203,"Oxidative phosphorylation",1,10
0.320800172663615,0.342549336911995,"Urea cycle",1,40
0.363997154604305,0.382197012334521,"Ubiquinone synthesis",1,18
0.374363144697802,0.383282932248742,"NAD metabolism",1,27
0.377199076181302,0.383282932248742,"Fructose and mannose metabolism",1,23
1,1,"Transport, extracellular",109,2652
