fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.45745466259959e-65,9.32770984063737e-64,"Fatty acid oxidation",154,961
2.95853352064001e-36,9.46730726604804e-35,"Exchange/demand reaction",32,1787
6.83420626403084e-27,1.45796400299325e-25,"Cholesterol metabolism",62,242
3.09188489529046e-08,4.94701583246474e-07,"Keratan sulfate degradation",19,76
1.17684481702264e-07,1.50636136578898e-06,"Chondroitin synthesis",14,45
1.32710493021355e-06,1.41557859222779e-05,"Sphingolipid metabolism",23,133
1.03091372579579e-05,9.4254969215615e-05,"Steroid metabolism",17,90
0.000156047776848375,0.001248382214787,"Transport, nuclear",13,71
0.000528871398893058,0.00361344045502802,"Purine catabolism",8,34
0.000564600071098127,0.00361344045502802,"Alanine and aspartate metabolism",5,13
0.000683903908188877,0.00397907728400801,"Transport, endoplasmic reticular",24,211
0.000811019213578736,0.00432543580575326,"Miscellaneous",19,152
0.00112373687588346,0.00534420351131404,"Blood group synthesis",9,47
0.00116904451809995,0.00534420351131404,"Cytochrome metabolism",5,15
0.00372263783141621,0.0158832547473758,"Biotin metabolism",4,12
0.00417708148928468,0.0167083259571387,"Transport, mitochondrial",16,453
0.00621250282020232,0.0233882459113499,"Arginine and proline metabolism",7,40
0.0107608001554041,0.0362469057866245,"Glutamate metabolism",4,16
0.0107608001554041,0.0362469057866245,"Glutathione metabolism",4,16
0.0124729514420948,0.0399134446147035,"Methionine and cysteine metabolism",7,46
0.0211429817478929,0.0644357538983404,"Vitamin B6 metabolism",3,11
0.0260933378672558,0.0744484466669018,"Transport, peroxisomal",4,154
0.0267549105209178,0.0744484466669018,"Eicosanoid metabolism",10,93
0.0282880308253361,0.0754347488675629,"Aminosugar metabolism",5,32
0.0324715868847331,0.0831272624249168,"Vitamin D metabolism",3,13
0.0343831064896708,0.0846353390514973,"Glycosphingolipid metabolism",8,71
0.0389001310931647,0.0889145853558051,"Galactose metabolism",3,14
0.0389001310931647,0.0889145853558051,"Histidine metabolism",3,14
0.0595776772247363,0.131481770427004,"Nucleotide sugar metabolism",1,1
0.0634692307487437,0.13540102559732,"Glycerophospholipid metabolism",6,165
0.0684361918868102,0.141287621959866,"N-glycan synthesis",3,18
0.0781830376619283,0.156366075323857,"Drug metabolism",33,573
0.087365801272032,0.169436705497274,"Bile acid synthesis",8,185
0.0956308189285438,0.180010953277259,"Nucleotide interconversion",7,164
0.0988385189702077,0.180733291831237,"Inositol phosphate metabolism",6,65
0.126812114461088,0.225443759041934,"N-glycan degradation",2,12
0.142002632870193,0.245626175775469,"Heparan sulfate degradation",3,27
0.15043043139183,0.253356516028346,"Transport, lysosomal",7,105
0.165854628740323,0.263160999896252,"Tyrosine metabolism",6,93
0.168042095066628,0.263160999896252,"Propanoate metabolism",2,15
0.168587515558536,0.263160999896252,"Transport, golgi apparatus",6,98
0.177576906380923,0.265800569464008,"Pyruvate metabolism",3,32
0.178584757608631,0.265800569464008,"Tryptophan metabolism",1,45
0.217017316543932,0.303640918228625,"Urea cycle",3,40
0.220255434600287,0.303640918228625,"Arachidonic acid metabolism",3,41
0.223117074604374,0.303640918228625,"Starch and sucrose metabolism",3,42
0.224110335035492,0.303640918228625,"Citric acid cycle",2,20
0.227730688671469,0.303640918228625,"Chondroitin sulfate degradation",3,44
0.242889009070622,0.317242787357547,"Glycine, serine, alanine, and threonine metabolism",2,47
0.251665341811591,0.322131637518837,"Valine, leucine, and isoleucine metabolism",2,45
0.263369316000457,0.325849237948784,"N-glycan metabolism",1,6
0.266767410624185,0.325849237948784,"Pyrimidine catabolism",1,34
0.269843900176336,0.325849237948784,"Phosphatidylinositol phosphate metabolism",2,40
0.278761188198738,0.330383630457764,"Phenylalanine metabolism",2,36
0.292769746640266,0.340677523363218,"Lysine metabolism",1,31
0.310716036824624,0.348874146610105,"Leukotriene metabolism",1,8
0.310716036824624,0.348874146610105,"Taurine and hypotaurine metabolism",1,8
0.326383415510711,0.356663353021645,"NAD metabolism",1,27
0.328799028566829,0.356663353021645,"Linoleate metabolism",1,9
0.343630716364879,0.360530587661512,"Beta-Alanine metabolism",1,10
0.343630716364879,0.360530587661512,"Oxidative phosphorylation",1,10
0.375848733852516,0.385377703006478,"Heme synthesis",1,19
0.379356176397002,0.385377703006478,"Purine synthesis",1,15
1,1,"Transport, extracellular",158,2652
