fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
9.43143419268266e-172,6.22474656717055e-170,"Exchange/demand reaction",38,1787
2.13092654179951e-29,7.03205758793839e-28,"Drug metabolism",16,573
2.94092362577409e-24,6.47003197670299e-23,"Transport, mitochondrial",11,453
1.92028838824593e-18,3.16847584060578e-17,"Peptide metabolism",1,242
4.96595283797625e-17,6.55505774612865e-16,"Cholesterol metabolism",2,242
1.83835514387073e-14,2.0221906582578e-13,"Fatty acid synthesis",4,239
5.52859473853372e-11,5.21267503918894e-10,"Fatty acid oxidation",98,961
3.85604686219008e-09,3.18123866130682e-08,"Transport, peroxisomal",3,154
1.38933972879336e-07,1.01884913444846e-06,"Transport, lysosomal",1,105
4.52149431724843e-06,2.98418624938397e-05,"Transport, golgi apparatus",2,98
6.09795096161521e-05,0.000354981132833429,"Tyrosine metabolism",3,93
6.45420241515325e-05,0.000354981132833429,"Sphingolipid metabolism",7,133
0.000306833763354885,0.00147416769070007,"Nucleotide interconversion",12,164
0.000312702237421228,0.00147416769070007,"Glycosphingolipid metabolism",2,71
0.000649593184075121,0.00285821000993053,"Glycerophospholipid metabolism",13,165
0.00106306176987825,0.00438512980074776,"Purine catabolism",13,34
0.00163467730704835,0.0063463942508936,"Vitamin D metabolism",7,13
0.00222028715894268,0.00787768245602078,"Vitamin A metabolism",1,47
0.00226781767673326,0.00787768245602078,"Miscellaneous",13,152
0.00317365599874571,0.0104730647958608,"Inositol phosphate metabolism",3,65
0.00388897345325393,0.0122224879959409,"Steroid metabolism",6,90
0.00447555960860927,0.0134266788258278,"Transport, endoplasmic reticular",22,211
0.00564566256589732,0.0162005969282271,"Pentose phosphate pathway",1,41
0.0130468184788608,0.0344436007841924,"Chondroitin synthesis",2,45
0.0130468184788608,0.0344436007841924,"Tryptophan metabolism",2,45
0.0193435838048707,0.0472843159674617,"Glycolysis/gluconeogenesis",2,42
0.0193435838048707,0.0472843159674617,"Starch and sucrose metabolism",2,42
0.0264992358423616,0.0624624844855667,"Eicosanoid metabolism",9,93
0.0390624535010829,0.0889007562438439,"Ubiquinone synthesis",6,18
0.0410516195459499,0.0903135630010897,"Phenylalanine metabolism",2,36
0.061505428521311,0.130947041367952,"Phosphatidylinositol phosphate metabolism",3,40
0.0734407679032025,0.148429263518359,"Lysine metabolism",2,31
0.0742146317591797,0.148429263518359,"Valine, leucine, and isoleucine metabolism",4,45
0.0787901994239627,0.152945681234751,"Bile acid synthesis",31,185
0.102336367669838,0.187480468000016,"Arachidonic acid metabolism",4,41
0.103897115560184,0.187480468000016,"Glycine, serine, alanine, and threonine metabolism",5,47
0.110198396829868,0.187480468000016,"Arginine and proline metabolism",4,40
0.110198396829868,0.187480468000016,"Urea cycle",4,40
0.1107839129091,0.187480468000016,"Methionine and cysteine metabolism",5,46
0.116259597880942,0.191828336503555,"Histidine metabolism",4,14
0.129226303617425,0.204315732827599,"Heme synthesis",1,19
0.130230483072017,0.204315732827599,"Transport, nuclear",11,71
0.133114795630102,0.204315732827599,"Cytochrome metabolism",4,15
0.164108295879742,0.242601516674418,"Fructose and mannose metabolism",2,23
0.165410125005285,0.242601516674418,"Aminosugar metabolism",6,32
0.177730371301555,0.253965509076686,"Pyruvate metabolism",4,32
0.180882884696081,0.253965509076686,"NAD metabolism",3,27
0.184702188419408,0.253965509076686,"Glutathione metabolism",1,16
0.196974426239523,0.265312492485888,"Citric acid cycle",4,20
0.206521230860744,0.271076709044605,"Propanoate metabolism",1,15
0.209468366079922,0.271076709044605,"Keratan sulfate synthesis",4,22
0.236325587974389,0.298117453302791,"Pyrimidine synthesis",3,21
0.239397348864363,0.298117453302791,"N-glycan synthesis",2,18
0.253540204338535,0.305453910135066,"Leukotriene metabolism",2,8
0.254544925112555,0.305453910135066,"Alanine and aspartate metabolism",1,13
0.266903433740393,0.314564761194034,"Glutamate metabolism",2,16
0.278411532742648,0.322371248438856,"Purine synthesis",2,15
0.286986553376238,0.326570905566064,"Beta-Alanine metabolism",2,10
0.33189837706579,0.371276150615969,"Oxidative phosphorylation",1,10
0.340239558821034,0.373063271464671,"Butanoate metabolism",1,3
0.356105850034459,0.373063271464671,"Linoleate metabolism",1,9
0.356105850034459,0.373063271464671,"Triacylglycerol synthesis",1,9
0.356105850034459,0.373063271464671,"Vitamin B2 metabolism",1,9
0.377334482513219,0.389126185091757,"Taurine and hypotaurine metabolism",1,8
0.3935527232837,0.399607380564988,"ROS detoxification",1,7
1,1,"Transport, extracellular",427,2652
