fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
2.00232873362445e-22,1.46169997554585e-20,"Exchange/demand reaction",142,1787
8.77567236987729e-13,3.20312041500521e-11,"Fatty acid oxidation",64,961
2.07021886776867e-09,5.0375325782371e-08,"Fatty acid synthesis",5,239
4.57400775657261e-08,8.34756415574502e-07,"Cholesterol metabolism",7,242
3.7397955400587e-07,5.4601014884857e-06,"Transport, endoplasmic reticular",51,211
5.41297228099498e-06,6.58578294187723e-05,"Transport, mitochondrial",85,453
4.40875850265013e-05,0.000459770529562085,"Arachidonic acid metabolism",15,41
7.42944139429293e-05,0.00067793652722923,"Peptide metabolism",13,242
0.000296815001880337,0.00240749945969607,"Drug metabolism",49,573
0.000504109074758139,0.00367999624573442,"Phosphatidylinositol phosphate metabolism",13,40
0.00152797231299697,0.00937904611760224,"Transport, lysosomal",4,105
0.00154176100563324,0.00937904611760224,"Inositol phosphate metabolism",1,65
0.00640230839065643,0.03595142403984,"Vitamin A metabolism",12,47
0.00821262189365676,0.0428229570169246,"Transport, golgi apparatus",5,98
0.0132354245581559,0.0622496407216938,"Folate metabolism",2,59
0.0145646435075745,0.0622496407216938,"Squalene and cholesterol synthesis",3,5
0.0145807614935558,0.0622496407216938,"Transport, peroxisomal",27,154
0.0153492264793218,0.0622496407216938,"Protein formation",2,2
0.0222938968813398,0.085655498544095,"Vitamin C metabolism",4,10
0.026297881969614,0.0959872691890911,"Eicosanoid metabolism",6,93
0.0276249908579496,0.0960297301252532,"Arginine and proline metabolism",1,40
0.0301657310393225,0.100095380266843,"Nucleotide interconversion",14,164
0.0524666057615821,0.166524444373717,"Pyrimidine catabolism",1,34
0.0551700909223132,0.167809026555369,"Aminosugar metabolism",7,32
0.0596274643445603,0.174112195886116,"Keratan sulfate degradation",13,76
0.0639953619570047,0.179679285494667,"Bile acid synthesis",19,185
0.0731561343535662,0.197792511400383,"Glycolysis/gluconeogenesis",8,42
0.0773257949791883,0.198952650097542,"Urea cycle",2,40
0.0813955661528967,0.198952650097542,"Sphingolipid metabolism",19,133
0.0818420151007425,0.198952650097542,"Miscellaneous",16,152
0.0844867418222439,0.198952650097542,"Chondroitin sulfate degradation",8,44
0.0874878141406202,0.19958157600829,"Tyrosine metabolism",14,93
0.0951169175634307,0.21041015097365,"Glycerophospholipid metabolism",21,165
0.10326700383733,0.215616535030046,"Valine, leucine, and isoleucine metabolism",3,45
0.10337779076783,0.215616535030046,"Hyaluronan metabolism",2,5
0.112990634011926,0.223927846976047,"Pentose phosphate pathway",7,41
0.113497675864572,0.223927846976047,"Ubiquinone synthesis",4,18
0.124057315233786,0.232209846463241,"Alkaloid synthesis",1,1
0.124057315233786,0.232209846463241,"Nucleotide sugar metabolism",1,1
0.129402669635586,0.236159872084944,"Steroid metabolism",11,90
0.135910355826237,0.241986731105251,"N-glycan metabolism",2,6
0.142584074393869,0.243569505914153,"Glycosphingolipid metabolism",9,71
0.143472448689158,0.243569505914153,"Transport, nuclear",8,71
0.14850325945,0.246380407723863,"Methionine and cysteine metabolism",4,46
0.162128930132826,0.263009153326585,"Histidine metabolism",3,14
0.17100223599962,0.268735599552285,"Tryptophan metabolism",6,45
0.173021550396676,0.268735599552285,"Glycine, serine, alanine, and threonine metabolism",6,47
0.191579931853284,0.290298482702793,"Glutamate metabolism",3,16
0.19485788564982,0.290298482702793,"C5-branched dibasic acid metabolism",2,8
0.20248691086207,0.290727614712465,"Phenylalanine metabolism",4,36
0.203942126770067,0.290727614712465,"Pyruvate metabolism",3,32
0.207822602330356,0.290727614712465,"Purine catabolism",4,34
0.211076213421379,0.290727614712465,"Lysine metabolism",3,31
0.216935591691554,0.291398430880273,"Heme synthesis",1,19
0.219546762991987,0.291398430880273,"Vitamin B2 metabolism",2,9
0.233527328323338,0.295461602553993,"NAD metabolism",3,27
0.234750314357967,0.295461602553993,"N-glycan synthesis",1,18
0.234750314357967,0.295461602553993,"O-glycan metabolism",1,18
0.270242590485491,0.327313006490152,"Citric acid cycle",2,20
0.272205117987332,0.327313006490152,"Glutathione metabolism",1,16
0.283694788222806,0.327313006490152,"Tetrahydrobiopterin metabolism",2,18
0.286576518705729,0.327313006490152,"Galactose metabolism",2,14
0.286576518705729,0.327313006490152,"Glyoxylate and dicarboxylate metabolism",2,14
0.291443087970684,0.327313006490152,"Cytochrome metabolism",1,15
0.291443087970684,0.327313006490152,"Purine synthesis",1,15
0.310637117602692,0.343583478560554,"CoA synthesis",1,14
0.32938825473189,0.358885710379522,"Alanine and aspartate metabolism",1,13
0.377175158075961,0.392936273347828,"Beta-Alanine metabolism",1,10
0.377175158075961,0.392936273347828,"Oxidative phosphorylation",1,10
0.384361116050053,0.392936273347828,"R group synthesis",1,6
0.384361116050053,0.392936273347828,"Thiamine metabolism",1,6
0.38755358467183,0.392936273347828,"Triacylglycerol synthesis",1,9
1,1,"Transport, extracellular",329,2652
