fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.96815036387779e-28,1.25961623288178e-26,"Fatty acid oxidation",14,961
2.32399820822281e-17,7.43679426631301e-16,"Exchange/demand reaction",94,1787
2.52621031808716e-11,5.38924867858594e-10,"Drug metabolism",14,573
4.11199863027514e-08,6.57919780844022e-07,"Peptide metabolism",2,242
5.37998405116762e-08,6.88637958549456e-07,"Fatty acid synthesis",2,239
0.00188463978039795,0.0201028243242448,"Eicosanoid metabolism",1,93
0.00397383128569738,0.0363321717549474,"Phosphatidylinositol phosphate metabolism",9,40
0.00480116029550783,0.0384092823640626,"NAD metabolism",7,27
0.00544333989819516,0.03870819483161,"Glycolysis/gluconeogenesis",9,42
0.00646569863425538,0.0413804712592344,"Folate metabolism",11,59
0.0106380288240026,0.0618939858851063,"Steroid metabolism",14,90
0.011743334746276,0.0626311186468056,"Aminosugar metabolism",7,32
0.0144005225353084,0.0708948801738261,"Transport, mitochondrial",29,453
0.0331018182005451,0.141234424322326,"Glutamate metabolism",4,16
0.0331018182005451,0.141234424322326,"Glutathione metabolism",4,16
0.038770442192374,0.14232013027169,"Bile acid synthesis",21,185
0.040027536638913,0.14232013027169,"Oxidative phosphorylation",3,10
0.040027536638913,0.14232013027169,"Vitamin C metabolism",3,10
0.0423119541665287,0.142524477192518,"Nucleotide interconversion",9,164
0.0529379649137974,0.169401487724152,"Tyrosine metabolism",4,93
0.0586591108516582,0.178770623547911,"Vitamin A metabolism",7,47
0.0714389554449292,0.190998473308052,"Glycosphingolipid metabolism",9,71
0.0729976175565059,0.190998473308052,"Transport, endoplasmic reticular",21,211
0.0738486963390636,0.190998473308052,"Chondroitin synthesis",1,45
0.0746087786359577,0.190998473308052,"Transport, golgi apparatus",5,98
0.0792599714208318,0.195101468112817,"Cholesterol metabolism",23,242
0.0978792306283074,0.227339522122921,"Valine, leucine, and isoleucine metabolism",6,45
0.105242199734719,0.227339522122921,"Miscellaneous",11,152
0.107728227821308,0.227339522122921,"Glycerophospholipid metabolism",15,165
0.108080107677788,0.227339522122921,"Glycine, serine, alanine, and threonine metabolism",6,47
0.11011758102829,0.227339522122921,"Transport, nuclear",8,71
0.114914826085549,0.229829652171098,"Transport, peroxisomal",12,154
0.126819422819736,0.245952820014034,"Sphingolipid metabolism",11,133
0.132548825597245,0.249503671712462,"Urea cycle",5,40
0.138728187543555,0.253674400079643,"Transport, lysosomal",8,105
0.155324411614093,0.276132287313942,"Inositol phosphate metabolism",4,65
0.180376955798722,0.300514996836858,"Lysine metabolism",1,31
0.18312632619746,0.300514996836858,"Arachidonic acid metabolism",2,41
0.18312632619746,0.300514996836858,"Pentose phosphate pathway",2,41
0.19061289910882,0.304980638574112,"Arginine and proline metabolism",2,40
0.205811168714861,0.314103939676751,"Tryptophan metabolism",4,45
0.206130710412868,0.314103939676751,"Methionine and cysteine metabolism",4,46
0.220660556988544,0.314912985657984,"Phenylalanine metabolism",2,36
0.228442149544823,0.314912985657984,"Galactose metabolism",2,14
0.228442149544823,0.314912985657984,"Glyoxylate and dicarboxylate metabolism",2,14
0.235188733168215,0.314912985657984,"Purine catabolism",2,34
0.235188733168215,0.314912985657984,"Pyrimidine catabolism",2,34
0.237337317361995,0.314912985657984,"Androgen and estrogen synthesis and metabolism",1,26
0.241105254644394,0.314912985657984,"Propanoate metabolism",2,15
0.248852755501021,0.318531527041307,"Pyruvate metabolism",2,32
0.284344128015113,0.356824003783671,"Fructose and mannose metabolism",2,23
0.300466538906316,0.36980497096162,"Pyrimidine synthesis",1,21
0.313038012271474,0.37800816576178,"Citric acid cycle",1,20
0.325308530118509,0.385550850510825,"Heme synthesis",1,19
0.366720561869675,0.390798716304666,"C5-branched dibasic acid metabolism",1,8
0.367601690393349,0.390798716304666,"Cytochrome metabolism",1,15
0.367601690393349,0.390798716304666,"Purine synthesis",1,15
0.375242278319712,0.390798716304666,"CoA synthesis",1,14
0.377296372324502,0.390798716304666,"Triacylglycerol synthesis",1,9
0.377296372324502,0.390798716304666,"Vitamin B2 metabolism",1,9
0.38107385123185,0.390798716304666,"Vitamin D metabolism",1,13
0.383371308659487,0.390798716304666,"Beta-Alanine metabolism",1,10
0.384692486362406,0.390798716304666,"N-glycan degradation",1,12
1,1,"Transport, extracellular",227,2652
