fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
8.02851656919187e-14,4.73682477582321e-12,"Starch and sucrose metabolism",17,42
1.52282311534189e-08,4.49232819025856e-07,"Glycerophospholipid metabolism",24,165
1.09004381363961e-07,2.14375283349124e-06,"C5-branched dibasic acid metabolism",6,8
1.59638468985061e-06,2.35466741752964e-05,"Vitamin B6 metabolism",6,11
2.41197193160634e-06,2.84612687929548e-05,"Folate metabolism",12,59
7.06238529595862e-06,6.94467887435931e-05,"Transport, peroxisomal",19,154
1.74393329637473e-05,0.000146988663551585,"Transport, nuclear",12,71
3.95074336731086e-05,0.000291367323339176,"Transport, mitochondrial",35,453
5.2922181691442e-05,0.000346934302199453,"Tryptophan metabolism",9,45
7.52537361657208e-05,0.000443997043377753,"Vitamin A metabolism",9,47
0.00020287947675974,0.00108817173898406,"Transport, lysosomal",13,105
0.000269045476672068,0.00122105254797323,"Cholesterol metabolism",1,242
0.000269045476672068,0.00122105254797323,"Peptide metabolism",1,242
0.000960366828854394,0.00404726020731495,"Arachidonic acid metabolism",7,41
0.00158588648118421,0.00607445988707636,"Drug metabolism",36,573
0.0016744300366463,0.00607445988707636,"Protein formation",2,2
0.0017502681030559,0.00607445988707636,"Fructose and mannose metabolism",5,23
0.00469168847663808,0.0153783122289804,"Ubiquinone synthesis",4,18
0.00728000719229453,0.0226063381234409,"Aminosugar metabolism",5,32
0.0114471681842399,0.0337691461435076,"Bile acid synthesis",2,185
0.012844189023225,0.036086054874775,"Alanine and aspartate metabolism",3,13
0.0370173390163069,0.0992737728164593,"Pyrimidine catabolism",4,34
0.0411010558069383,0.105433143156929,"Lipoate metabolism",1,1
0.0489805102660586,0.118614573555016,"Sphingolipid metabolism",9,133
0.0541614095576452,0.118614573555016,"Oxidative phosphorylation",2,10
0.0541614095576452,0.118614573555016,"Vitamin C metabolism",2,10
0.0542812455251769,0.118614573555016,"Exchange/demand reaction",78,1787
0.0660256191507043,0.139125411781841,"Transport, golgi apparatus",1,98
0.0737577906621424,0.150058953416083,"Miscellaneous",3,152
0.0807709473740649,0.158849529835661,"Fatty acid oxidation",39,961
0.0835172430129415,0.158952172185921,"Glycine, serine, alanine, and threonine metabolism",4,47
0.0928234638428396,0.166198734001708,"Glyoxylate and dicarboxylate metabolism",2,14
0.0957755416281031,0.166198734001708,"Eicosanoid metabolism",6,93
0.0957755416281031,0.166198734001708,"Tyrosine metabolism",6,93
0.102759748200659,0.173223575538254,"Purine synthesis",2,15
0.139594033588385,0.228779110603187,"Transport, endoplasmic reticular",9,211
0.145864726801669,0.232595104899958,"Urea cycle",3,40
0.15099356431817,0.234437376178211,"Pentose phosphate pathway",3,41
0.156545419086336,0.236825121181893,"Nucleotide interconversion",7,164
0.170272609662698,0.251152099252479,"Valine, leucine, and isoleucine metabolism",3,45
0.214202166976536,0.308242142722333,"Steroid metabolism",3,90
0.233162837480904,0.327538271699365,"Glycosphingolipid metabolism",2,71
0.245670517608823,0.334192413019084,"Taurine and hypotaurine metabolism",1,8
0.249228240217622,0.334192413019084,"Purine catabolism",2,34
0.265090010112697,0.347562457703314,"Vitamin B2 metabolism",1,9
0.273814087900484,0.349450601084668,"Glycolysis/gluconeogenesis",2,42
0.278375902558973,0.349450601084668,"Methionine and cysteine metabolism",2,46
0.298008614865472,0.366302255772142,"Chondroitin sulfate degradation",1,44
0.320800172663615,0.382346723380793,"Arginine and proline metabolism",1,40
0.324022646932875,0.382346723380793,"Vitamin D metabolism",1,13
0.341791191167326,0.382442091519817,"Phenylalanine metabolism",1,36
0.343891749930777,0.382442091519817,"Propanoate metabolism",1,15
0.351794609257969,0.382442091519817,"Glutamate metabolism",1,16
0.363997154604305,0.382442091519817,"N-glycan synthesis",1,18
0.363997154604305,0.382442091519817,"Tetrahydrobiopterin metabolism",1,18
0.371949156576765,0.382442091519817,"Citric acid cycle",1,20
0.374363144697802,0.382442091519817,"NAD metabolism",1,27
0.375960022172023,0.382442091519817,"Androgen and estrogen synthesis and metabolism",1,26
1,1,"Transport, extracellular",109,2652
