fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.68093274933636e-119,1.04217830458854e-117,"Exchange/demand reaction",97,1787
1.05301385776542e-40,3.26434295907281e-39,"Fatty acid oxidation",53,961
1.4535627723475e-20,3.00402972951816e-19,"Peptide metabolism",1,242
4.23003981966183e-19,6.55656172047583e-18,"Cholesterol metabolism",2,242
3.52966439911103e-16,4.37678385489767e-15,"Drug metabolism",41,573
2.38208878920203e-15,2.4614917488421e-14,"Fatty acid synthesis",5,239
2.10400465004673e-11,1.86354697575568e-10,"Transport, mitochondrial",35,453
7.85311856910561e-11,5.52816533999663e-10,"Sphingolipid metabolism",1,133
8.02475613870479e-11,5.52816533999663e-10,"Ubiquinone synthesis",16,18
7.4032951625022e-08,4.49631055308356e-07,"Transport, golgi apparatus",1,98
7.97732517482567e-08,4.49631055308356e-07,"Nucleotide interconversion",7,164
1.93501025920951e-07,9.99755300591579e-07,"Eicosanoid metabolism",1,93
2.31725278675399e-07,1.10515132906729e-06,"Transport, endoplasmic reticular",13,211
3.43547316590603e-07,1.52142383061553e-06,"Steroid metabolism",1,90
8.13472731020697e-06,3.36235395488555e-05,"Miscellaneous",9,152
4.48581555433304e-05,0.000173825352730405,"Transport, lysosomal",5,105
0.000267819385550457,0.0009279889830983,"Inositol phosphate metabolism",2,65
0.000269416156383378,0.0009279889830983,"Tyrosine metabolism",5,93
0.00140474601082229,0.00458390803531483,"Chondroitin synthesis",1,45
0.00282707613200632,0.00844030478467112,"Pentose phosphate pathway",1,41
0.00285881291093699,0.00844030478467112,"Vitamin D metabolism",7,13
0.00439573151820944,0.0119001627279132,"Bile acid synthesis",21,185
0.00441457649583877,0.0119001627279132,"Glycerophospholipid metabolism",18,165
0.00498053605848849,0.0128663848177619,"Vitamin A metabolism",2,47
0.00544320127800455,0.0134991391694513,"Glycosphingolipid metabolism",5,71
0.00667187246222038,0.0155600314972242,"Phenylalanine metabolism",1,36
0.00677614274879119,0.0155600314972242,"Valine, leucine, and isoleucine metabolism",2,45
0.00935248078201371,0.0207090645887446,"Pyrimidine catabolism",1,34
0.0106640646588013,0.0227990347877821,"Glycolysis/gluconeogenesis",2,42
0.0143399393082593,0.0296358745704025,"Phosphatidylinositol phosphate metabolism",2,40
0.0267538640175562,0.0535077280351123,"Transport, nuclear",7,71
0.0345928912867433,0.0670237268680652,"Androgen and estrogen synthesis and metabolism",1,26
0.0441182298594607,0.0828887954935322,"Pyruvate metabolism",2,32
0.0467301256668821,0.0852137585690202,"Transport, peroxisomal",22,154
0.048646470886175,0.0861737484269385,"Tryptophan metabolism",4,45
0.0551898909601098,0.0950492566535225,"Fructose and mannose metabolism",1,23
0.115226185036044,0.193081715465803,"O-glycan metabolism",1,18
0.141551870710287,0.223244055372335,"Aminosugar metabolism",7,32
0.143107254035706,0.223244055372335,"Glycine, serine, alanine, and threonine metabolism",9,47
0.150734240896422,0.223244055372335,"NAD metabolism",3,27
0.151567931158439,0.223244055372335,"Glutamate metabolism",1,16
0.151654695951582,0.223244055372335,"Arachidonic acid metabolism",6,41
0.157426900848136,0.223244055372335,"Urea cycle",6,40
0.161820469948475,0.223244055372335,"Pyrimidine synthesis",2,21
0.170627399209648,0.223244055372335,"Purine catabolism",5,34
0.17066324497292,0.223244055372335,"Oxidative phosphorylation",3,10
0.172834107385033,0.223244055372335,"Cytochrome metabolism",1,15
0.172834107385033,0.223244055372335,"Purine synthesis",1,15
0.196192077883635,0.24824303732215,"CoA synthesis",1,14
0.2116327883117,0.262424657506508,"Citric acid cycle",4,20
0.221552390255229,0.269338199918121,"Alanine and aspartate metabolism",1,13
0.244483187176105,0.291499184709972,"Propanoate metabolism",3,15
0.275618225542977,0.318255843205563,"Glyoxylate and dicarboxylate metabolism",2,14
0.277190573114523,0.318255843205563,"Vitamin B6 metabolism",1,11
0.289142920809889,0.323520279248176,"Vitamin B2 metabolism",2,9
0.297429934147517,0.323520279248176,"Beta-Alanine metabolism",2,10
0.297429934147517,0.323520279248176,"Vitamin C metabolism",2,10
0.335227000405922,0.358346103882192,"Triacylglycerol synthesis",1,9
0.360164084675347,0.374307989595858,"Butanoate metabolism",1,3
0.362233538318572,0.374307989595858,"Leukotriene metabolism",1,8
0.385268495057926,0.391584372026088,"ROS detoxification",1,7
1,1,"Transport, extracellular",470,2652
