fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.34937918436718e-37,6.88183384027264e-36,"Heparan sulfate degradation",27,27
2.49271634902121e-27,6.35642669000408e-26,"Cholesterol metabolism",56,242
2.64355173621367e-09,4.49403795156324e-08,"Bile acid synthesis",29,185
2.02011975129861e-06,2.57565268290573e-05,"Sphingolipid metabolism",20,133
0.000191739970664144,0.00195574770077427,"Transport, endoplasmic reticular",22,211
0.000697531050176059,0.0059290139264965,"Drug metabolism",14,573
0.00169950780046338,0.0123821282605189,"N-glycan degradation",4,12
0.00225108365066707,0.0142162173336786,"Steroid metabolism",11,90
0.00250874423535505,0.0142162173336786,"Transport, lysosomal",12,105
0.00334264323317698,0.0170474804892026,"Chondroitin sulfate degradation",7,44
0.0039322017160105,0.0182311170469578,"Exchange/demand reaction",98,1787
0.00718746639497242,0.0305467321786328,"Miscellaneous",14,152
0.00940328385841832,0.0368898059061026,"Nucleotide interconversion",2,164
0.0120655916694187,0.0439532267957397,"Vitamin B6 metabolism",3,11
0.0152771911822054,0.0519424500194983,"Methionine and cysteine metabolism",6,46
0.0164798855580972,0.0525296352164347,"Transport, peroxisomal",13,154
0.0189955659231059,0.0554443156720327,"Vitamin D metabolism",3,13
0.0195685820018939,0.0554443156720327,"Eicosanoid metabolism",9,93
0.0230401969117971,0.0618447390790344,"Galactose metabolism",3,14
0.0262745376866891,0.0670000711010572,"Androgen and estrogen synthesis and metabolism",4,26
0.0291349614767777,0.0707563350150315,"Arginine and proline metabolism",5,40
0.0473792585425651,0.10983373571231,"Pyruvate metabolism",4,32
0.0635770358446034,0.136050342522208,"Fatty acid oxidation",49,961
0.0640236905986862,0.136050342522208,"Phenylalanine metabolism",4,36
0.079532082288772,0.162245447869095,"Transport, mitochondrial",24,453
0.0849456664854909,0.166624191952309,"Keratan sulfate degradation",6,76
0.0923150512857241,0.168373248840318,"Transport, golgi apparatus",7,98
0.0924402150495866,0.168373248840318,"Glycerophospholipid metabolism",5,165
0.114018775896524,0.200515778300784,"Vitamin A metabolism",4,47
0.127334785069793,0.214495198039208,"Propanoate metabolism",2,15
0.130379434102264,0.214495198039208,"Tyrosine metabolism",6,93
0.138627219283957,0.220937130733806,"Glutathione metabolism",2,16
0.144090503920207,0.22268532424032,"Pyrimidine catabolism",3,34
0.170742908698773,0.256114363048159,"Heme synthesis",2,19
0.180677491832355,0.263272916670003,"Inositol phosphate metabolism",4,65
0.192846259002167,0.273198866919737,"Glycosphingolipid metabolism",2,71
0.225654454469365,0.311037221025341,"Transport, nuclear",3,71
0.234932214736753,0.315303761883536,"Glycine, serine, alanine, and threonine metabolism",1,47
0.268919990996612,0.323767451552269,"Starch and sucrose metabolism",1,42
0.272338981969983,0.323767451552269,"Leukotriene metabolism",1,8
0.275827861992702,0.323767451552269,"Arachidonic acid metabolism",1,41
0.277386726200135,0.323767451552269,"Valine, leucine, and isoleucine metabolism",2,45
0.279328781731369,0.323767451552269,"Phosphatidylinositol phosphate metabolism",2,40
0.279328781731369,0.323767451552269,"Urea cycle",2,40
0.308745154250125,0.342304410146877,"Oxidative phosphorylation",1,10
0.308745154250125,0.342304410146877,"Vitamin C metabolism",1,10
0.335698951868127,0.364269075431372,"Aminosugar metabolism",1,32
0.346618916645544,0.36828259893589,"Alanine and aspartate metabolism",1,13
0.368352325525943,0.38338711432292,"Glutamate metabolism",1,16
0.378374189380424,0.385941673168032,"Pyrimidine synthesis",1,21
1,1,"Transport, extracellular",127,2652
