fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.84329409786959e-28,1.21657410459393e-26,"Heparan sulfate degradation",27,27
2.24808950973554e-15,7.4186953821273e-14,"Transport, endoplasmic reticular",59,211
3.66124348896531e-15,8.05473567572368e-14,"Exchange/demand reaction",118,1787
1.12756765435058e-08,1.86048662967846e-07,"Transport, mitochondrial",79,453
1.40923400027318e-07,1.86018888036059e-06,"Fatty acid synthesis",4,239
4.99816496892953e-07,5.49798146582249e-06,"Fatty acid oxidation",60,961
2.81632982730301e-06,2.65539669431426e-05,"Cholesterol metabolism",6,242
1.4191216239991e-05,0.000117077533979926,"Arachidonic acid metabolism",14,41
1.74473539247845e-05,0.000127947262115086,"Vitamin A metabolism",15,47
8.92724515128761e-05,0.000589198179984982,"Sphingolipid metabolism",27,133
0.000189036658219808,0.00113421994931885,"Transport, peroxisomal",29,154
0.000206650766852001,0.00113657921768601,"Steroid metabolism",20,90
0.000723673481893321,0.00367403460038148,"Drug metabolism",38,573
0.000879884557474355,0.00414802719952196,"Phosphatidylinositol phosphate metabolism",11,40
0.00358142601193859,0.0157582744525298,"Peptide metabolism",13,242
0.00459603797316898,0.018958656639322,"Transport, nuclear",1,71
0.0076853214280292,0.02896518853584,"Squalene and cholesterol synthesis",3,5
0.00794914952924948,0.02896518853584,"Inositol phosphate metabolism",1,65
0.00833846336637819,0.02896518853584,"Keratan sulfate degradation",14,76
0.00965229547118741,0.0318525750549184,"Protein formation",2,2
0.0225803043894364,0.0709666709382287,"Bile acid synthesis",25,185
0.0301337409633808,0.0904012228901423,"Glycolysis/gluconeogenesis",8,42
0.0368997921450369,0.105886360068367,"Chondroitin sulfate degradation",8,44
0.0439680176255618,0.120912048470295,"Folate metabolism",2,59
0.0526139065877147,0.138900713391567,"Tyrosine metabolism",13,93
0.0590020229886668,0.148201555225992,"Pentose phosphate pathway",7,41
0.0606279089560877,0.148201555225992,"Glycerophospholipid metabolism",20,165
0.0670804593958516,0.158118225718793,"Ubiquinone synthesis",4,18
0.0708889300832501,0.161333427086017,"Hyaluronan metabolism",2,5
0.0784922740858606,0.172683002988893,"Transport, lysosomal",7,105
0.095730444186661,0.185585003232063,"Nucleotide interconversion",14,164
0.0966559560205499,0.185585003232063,"Vitamin D metabolism",3,13
0.0978786021872835,0.185585003232063,"Glycine, serine, alanine, and threonine metabolism",2,47
0.0984162895927605,0.185585003232063,"Alkaloid synthesis",1,1
0.0984162895927605,0.185585003232063,"Nucleotide sugar metabolism",1,1
0.10379789842005,0.18832271608875,"Miscellaneous",16,152
0.105574855989148,0.18832271608875,"Glycosphingolipid metabolism",9,71
0.1085583191853,0.188548659637626,"Pyrimidine catabolism",1,34
0.114864918061079,0.194386784411056,"Eicosanoid metabolism",7,93
0.124829304700215,0.205968352755355,"Transport, golgi apparatus",8,98
0.143986883847249,0.22535950121836,"Androgen and estrogen synthesis and metabolism",4,26
0.146825129581659,0.22535950121836,"Arginine and proline metabolism",2,40
0.146825129581659,0.22535950121836,"Urea cycle",2,40
0.174648744395466,0.256151491780017,"Tryptophan metabolism",3,45
0.174648744395466,0.256151491780017,"Valine, leucine, and isoleucine metabolism",3,45
0.182594011506266,0.256540913347561,"Methionine and cysteine metabolism",5,46
0.186575209707317,0.256540913347561,"Aminosugar metabolism",4,32
0.186575209707317,0.256540913347561,"Pyruvate metabolism",4,32
0.190552512384601,0.256662567701707,"Vitamin C metabolism",2,10
0.197420597416251,0.260595188589452,"Purine catabolism",2,34
0.224069194242237,0.28997189843113,"Phenylalanine metabolism",3,36
0.233259822954794,0.295038935447107,"NAD metabolism",3,27
0.236925205737828,0.295038935447107,"Lysine metabolism",3,31
0.2601842079682,0.318002920850023,"Pyrimidine synthesis",1,21
0.27344022527468,0.325670177954736,"Glutamate metabolism",2,16
0.283479841005836,0.325670177954736,"Tetrahydrobiopterin metabolism",2,18
0.285676623015507,0.325670177954736,"Heme synthesis",2,19
0.286195004869314,0.325670177954736,"Citric acid cycle",2,20
0.333316623322008,0.372862663377162,"Glutathione metabolism",1,16
0.352280921926958,0.381156407330807,"R group synthesis",1,6
0.352280921926958,0.381156407330807,"Thiamine metabolism",1,6
0.358929302964002,0.382086032187486,"CoA synthesis",1,14
0.387407915563462,0.394079132713021,"Triacylglycerol synthesis",1,9
0.387407915563462,0.394079132713021,"Vitamin B2 metabolism",1,9
0.388108236762824,0.394079132713021,"Beta-Alanine metabolism",1,10
1,1,"Transport, extracellular",261,2652
