fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
5.07686690965373e-19,2.84304546940609e-17,"Fatty acid oxidation",13,961
4.78672933473537e-15,1.3402842137259e-13,"Drug metabolism",3,573
1.46516814836877e-08,2.73498054362171e-07,"Steroid metabolism",22,90
8.95094709505461e-07,1.25313259330765e-05,"Peptide metabolism",1,242
3.42064962792522e-05,0.000383112758327625,"Exchange/demand reaction",91,1787
4.75354302063954e-05,0.00044366401525969,"Bile acid synthesis",26,185
0.000164068309278995,0.00131254647423196,"Transport, endoplasmic reticular",27,211
0.000761526402544707,0.00514033247956442,"Folate metabolism",11,59
0.000826124862787139,0.00514033247956442,"Glycolysis/gluconeogenesis",9,42
0.000979748975529409,0.00548659426296469,"NAD metabolism",7,27
0.00183582852419785,0.00934603612318904,"Vitamin A metabolism",9,47
0.0112651474683556,0.0525706881856593,"Sphingolipid metabolism",15,133
0.0136458661511569,0.0587821926511375,"Glutathione metabolism",4,16
0.0215499012506472,0.0840871090396028,"Glycosphingolipid metabolism",9,71
0.022523332778465,0.0840871090396028,"Cholesterol metabolism",22,242
0.0288056828746435,0.100819890061252,"Transport, mitochondrial",22,453
0.0359488214089296,0.118419646994121,"Pyruvate metabolism",5,32
0.0405187905664038,0.124007215668609,"Tyrosine metabolism",2,93
0.0420738767447066,0.124007215668609,"Valine, leucine, and isoleucine metabolism",6,45
0.0647011480302386,0.173397182284194,"Glycerophospholipid metabolism",14,165
0.06975851114479,0.173397182284194,"Phosphatidylinositol phosphate metabolism",5,40
0.06975851114479,0.173397182284194,"Urea cycle",5,40
0.0712166998667226,0.173397182284194,"Transport, peroxisomal",13,154
0.0882932650073683,0.206017618350526,"Heme synthesis",3,19
0.094937991134813,0.211512770848554,"Aminosugar metabolism",4,32
0.0982023578939717,0.211512770848554,"Methionine and cysteine metabolism",5,46
0.122373459181038,0.253811619042153,"Nucleotide interconversion",9,164
0.130441085944348,0.256638699612995,"Inositol phosphate metabolism",2,65
0.132902183728158,0.256638699612995,"Miscellaneous",10,152
0.149671002666601,0.260237859968776,"Androgen and estrogen synthesis and metabolism",3,26
0.151072271769118,0.260237859968776,"Transport, golgi apparatus",7,98
0.155118929583515,0.260237859968776,"Chondroitin synthesis",1,45
0.160917119146231,0.260237859968776,"Transport, lysosomal",6,105
0.163117404255888,0.260237859968776,"Chondroitin sulfate degradation",4,44
0.166662852927773,0.260237859968776,"Transport, nuclear",3,71
0.167295767122784,0.260237859968776,"Eicosanoid metabolism",5,93
0.182768079494069,0.272241639903185,"Propanoate metabolism",2,15
0.184735398505733,0.272241639903185,"Arachidonic acid metabolism",1,41
0.195570459188843,0.280819120886544,"Glutamate metabolism",2,16
0.226145961513748,0.311450131672031,"Arginine and proline metabolism",3,40
0.233361410195853,0.311450131672031,"Tryptophan metabolism",3,45
0.233587598754024,0.311450131672031,"Glycine, serine, alanine, and threonine metabolism",3,47
0.259899149626921,0.338473311142036,"Fructose and mannose metabolism",2,23
0.272338297852819,0.338833820372646,"Lysine metabolism",1,31
0.273725810267813,0.338833820372646,"Phenylalanine metabolism",2,36
0.278327781020388,0.338833820372646,"Pyrimidine catabolism",2,34
0.340362232242575,0.38730446975076,"Triacylglycerol synthesis",1,9
0.353998470832022,0.38730446975076,"Beta-Alanine metabolism",1,10
0.353998470832022,0.38730446975076,"Oxidative phosphorylation",1,10
0.358761206156269,0.38730446975076,"Pyrimidine synthesis",1,21
0.365121703924096,0.38730446975076,"Citric acid cycle",1,20
0.372180830238245,0.38730446975076,"N-glycan degradation",1,12
0.377385252832802,0.38730446975076,"Alanine and aspartate metabolism",1,13
0.377385252832802,0.38730446975076,"Vitamin D metabolism",1,13
0.380388318505211,0.38730446975076,"CoA synthesis",1,14
1,1,"Transport, extracellular",170,2652
