fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
6.98052402792048e-15,3.76948297507706e-13,"Starch and sucrose metabolism",16,42
8.41705124580278e-11,2.27260383636675e-09,"Glycerophospholipid metabolism",23,165
8.8765640358695e-10,1.37413771406945e-08,"Bile acid synthesis",23,185
1.01787978819959e-09,1.37413771406945e-08,"Transport, peroxisomal",21,154
5.46101490945522e-08,5.89789610221164e-07,"Vitamin A metabolism",11,47
6.87461527308033e-08,6.1871537457723e-07,"Folate metabolism",12,59
2.32370546615626e-07,1.79257278817768e-06,"Vitamin B6 metabolism",6,11
6.87040064562316e-06,4.63752043579563e-05,"Transport, lysosomal",13,105
3.34709479529518e-05,0.000200825687717711,"Transport, mitochondrial",28,453
4.5590198580484e-05,0.000246187072334614,"C5-branched dibasic acid metabolism",4,8
0.000417301916977832,0.00204857304698209,"Fructose and mannose metabolism",5,23
0.000876472807153799,0.00394412763219209,"Protein formation",2,2
0.000970850800032297,0.00403276486167262,"Arachidonic acid metabolism",6,41
0.00149384345416676,0.00565191671905624,"Ubiquinone synthesis",4,18
0.00156997686640451,0.00565191671905624,"Tryptophan metabolism",6,45
0.00348830394619955,0.0112802030146836,"Steroid metabolism",8,90
0.00355117502314112,0.0112802030146836,"Transport, nuclear",7,71
0.00379326300963411,0.0113797890289023,"Peptide metabolism",1,242
0.00501488916878912,0.0133804774444668,"Arginine and proline metabolism",5,40
0.00518821790105291,0.0133804774444668,"Transport, endoplasmic reticular",13,211
0.00520351900618154,0.0133804774444668,"Exchange/demand reaction",63,1787
0.00579062457802145,0.0142133512369617,"Androgen and estrogen synthesis and metabolism",4,26
0.00737747687852788,0.0173210326713263,"Chondroitin sulfate degradation",5,44
0.00830126104732651,0.0186778373564847,"Fatty acid oxidation",38,961
0.0104957085220591,0.0226707304076477,"Sphingolipid metabolism",9,133
0.0142418691512911,0.0295792666988354,"Pyrimidine catabolism",4,34
0.0297888386123681,0.0595776772247362,"Lipoate metabolism",1,1
0.0311433029642038,0.0600620842881073,"Oxidative phosphorylation",2,10
0.0371159527577038,0.0675103453634859,"Eicosanoid metabolism",6,93
0.0375057474241588,0.0675103453634859,"Glycine, serine, alanine, and threonine metabolism",4,47
0.0493964359289879,0.0860454045214628,"Alanine and aspartate metabolism",2,13
0.0540581863369882,0.0912231894436675,"Pyruvate metabolism",3,32
0.0891047131042484,0.145807712352406,"Pentose phosphate pathway",3,41
0.097335224816703,0.154591239414764,"Drug metabolism",15,573
0.105385360869304,0.162594556769783,"Valine, leucine, and isoleucine metabolism",3,45
0.109451262919774,0.164176894379661,"Methionine and cysteine metabolism",3,46
0.149276848888565,0.217863509188716,"Nucleotide interconversion",6,164
0.178602631222465,0.253803739105608,"Aminosugar metabolism",2,32
0.190306733166575,0.260965605009568,"Purine catabolism",2,34
0.193307855562643,0.260965605009568,"Taurine and hypotaurine metabolism",1,8
0.221167099108296,0.284365773553993,"Urea cycle",2,40
0.229878949885647,0.284365773553993,"Tyrosine metabolism",3,93
0.229950098636201,0.284365773553993,"Glycolysis/gluconeogenesis",2,42
0.231705445118068,0.284365773553993,"Transport, golgi apparatus",3,98
0.254217451704548,0.305060942045458,"Glycosphingolipid metabolism",1,71
0.270413822329203,0.317442313169064,"Vitamin D metabolism",1,13
0.293840839491944,0.330570944428436,"Propanoate metabolism",1,15
0.293840839491944,0.330570944428436,"Purine synthesis",1,15
0.322224679907852,0.34800265430048,"N-glycan synthesis",1,18
0.322224679907852,0.34800265430048,"Tetrahydrobiopterin metabolism",1,18
0.330053981166054,0.349468921234645,"Heme synthesis",1,19
0.337133116868597,0.349980311215748,"Citric acid cycle",1,20
0.343499194341383,0.349980311215748,"Pyrimidine synthesis",1,21
1,1,"Transport, extracellular",79,2652
