fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
7.31384106844188e-118,4.16888940901187e-116,"Exchange/demand reaction",76,1787
2.81766418249192e-48,8.03034292010197e-47,"Fatty acid oxidation",33,961
6.17314760013254e-40,1.17289804402518e-38,"Drug metabolism",6,573
3.00743034696824e-18,3.42847059554379e-17,"Cholesterol metabolism",1,242
3.00743034696824e-18,3.42847059554379e-17,"Peptide metabolism",1,242
2.76502424435227e-14,2.62677303213466e-13,"Fatty acid synthesis",4,239
3.46497888134618e-14,2.82148280338189e-13,"Transport, mitochondrial",24,453
1.50734555967064e-11,1.07398371126533e-10,"Ubiquinone synthesis",16,18
1.28464427197066e-09,8.13608038914751e-09,"Sphingolipid metabolism",1,133
2.68608941656914e-07,1.53107096744441e-06,"Nucleotide interconversion",6,164
5.51522865498698e-07,2.85789121212962e-06,"Transport, golgi apparatus",1,98
6.33451252011889e-06,3.00889344705647e-05,"Miscellaneous",7,152
1.17097430333669e-05,4.76753823501367e-05,"Eicosanoid metabolism",2,93
1.17097430333669e-05,4.76753823501367e-05,"Tyrosine metabolism",2,93
0.000135787569752564,0.000515992765059744,"Inositol phosphate metabolism",1,65
0.000348023833088794,0.00123983490537883,"Transport, nuclear",2,71
0.000886285176314663,0.00297166206176093,"Transport, endoplasmic reticular",19,211
0.00154632580969618,0.00465635324594914,"Vitamin D metabolism",7,13
0.00155211774864971,0.00465635324594914,"Steroid metabolism",5,90
0.00211694041826241,0.00603328019204788,"Transport, lysosomal",7,105
0.0027922440971066,0.00757894826357506,"Methionine and cysteine metabolism",1,46
0.00322943788077699,0.00807689938979359,"Glycerophospholipid metabolism",15,165
0.00325909975377636,0.00807689938979359,"Chondroitin synthesis",1,45
0.00514999340747944,0.0122312343427637,"Glycosphingolipid metabolism",4,71
0.0138414831262853,0.0315585815279305,"Valine, leucine, and isoleucine metabolism",2,45
0.0170935744540774,0.0374743747647082,"Pyrimidine catabolism",1,34
0.0204094309360635,0.0430865764205785,"Glycolysis/gluconeogenesis",2,42
0.0262794274475154,0.0534974058752993,"Arginine and proline metabolism",2,40
0.030710097618417,0.0603612263534403,"Vitamin A metabolism",3,47
0.0381911856477889,0.072563252730799,"Tryptophan metabolism",3,45
0.0428416256729515,0.0787733117212334,"Phenylalanine metabolism",2,36
0.0639322202410814,0.113879267304426,"Phosphatidylinositol phosphate metabolism",3,40
0.0795600304686407,0.134702898842803,"Fructose and mannose metabolism",1,23
0.0803490975553562,0.134702898842803,"Bile acid synthesis",28,185
0.0867174176826212,0.141225508797412,"Transport, peroxisomal",23,154
0.130125175652234,0.203718925446755,"Pyruvate metabolism",3,32
0.132238600728595,0.203718925446755,"Heme synthesis",1,19
0.143009112076941,0.214513668115412,"Glycine, serine, alanine, and threonine metabolism",6,47
0.148979626486655,0.217739454095881,"Arachidonic acid metabolism",5,41
0.172997818085773,0.243840259812809,"Urea cycle",6,40
0.18002324391688,0.243840259812809,"Aminosugar metabolism",4,32
0.183621961233141,0.243840259812809,"NAD metabolism",3,27
0.187219341610023,0.243840259812809,"Purine catabolism",5,34
0.19429486056139,0.243840259812809,"Androgen and estrogen synthesis and metabolism",3,26
0.195220251125782,0.243840259812809,"Citric acid cycle",4,20
0.196783367568232,0.243840259812809,"Pyrimidine synthesis",2,21
0.230149046887307,0.276825042677905,"Propanoate metabolism",3,15
0.233115825412972,0.276825042677905,"CoA synthesis",1,14
0.285711122684417,0.332357836592077,"Beta-Alanine metabolism",2,10
0.308861365997097,0.352101957236691,"Vitamin B6 metabolism",1,11
0.334157137168031,0.370791071286494,"Oxidative phosphorylation",1,10
0.338265538717503,0.370791071286494,"Butanoate metabolism",1,3
0.357883647988111,0.37776607287634,"Triacylglycerol synthesis",1,9
0.357883647988111,0.37776607287634,"Vitamin B2 metabolism",1,9
0.378535599672194,0.392300530569364,"Leukotriene metabolism",1,8
0.394095064548508,0.401132476415446,"ROS detoxification",1,7
1,1,"Transport, extracellular",423,2652
