fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
3.90082276355534e-18,1.56039114376215e-16,"Transport, golgi apparatus",37,98
4.80120351926817e-18,1.56039114376215e-16,"Cholesterol metabolism",59,242
3.34765217241449e-16,7.25324637356473e-15,"Chondroitin synthesis",24,45
4.31322237750661e-12,7.00898636344823e-11,"Biotin metabolism",11,12
2.68464675188818e-10,3.49004077745463e-09,"Drug metabolism",81,573
1.17431996157259e-07,1.27217995837031e-06,"Folate metabolism",18,59
1.41054981616893e-06,1.2088573387793e-05,"Transport, lysosomal",23,105
1.48782441695913e-06,1.2088573387793e-05,"Fatty acid oxidation",104,961
3.91765182525147e-06,2.82941520712606e-05,"Fatty acid synthesis",3,239
0.000693559355910362,0.00450813581341735,"Exchange/demand reaction",155,1787
0.000877949014411281,0.00493583880579044,"Phenylalanine metabolism",9,36
0.000911231779530543,0.00493583880579044,"Eicosanoid metabolism",16,93
0.00112771483716477,0.00563857418582386,"N-glycan degradation",5,12
0.00149861483116923,0.0069578545732857,"Transport, nuclear",13,71
0.0045598991412206,0.0197595629452893,"Glutathione metabolism",5,16
0.00662697323952739,0.0266833883758766,"Glycerophospholipid metabolism",5,165
0.00697873234446004,0.0266833883758766,"Nucleotide interconversion",5,164
0.0112114631844026,0.0404858392770095,"Sphingolipid metabolism",17,133
0.0247008463815302,0.0811662740935783,"Bile acid synthesis",8,185
0.0249742381826395,0.0811662740935783,"Tyrosine metabolism",12,93
0.0292850372558084,0.0880592617808958,"Transport, endoplasmic reticular",22,211
0.0298046732181494,0.0880592617808958,"Chondroitin sulfate degradation",7,44
0.0336592045723439,0.095123839008798,"O-glycan metabolism",4,18
0.0384708390645257,0.104191855799757,"Vitamin B6 metabolism",3,11
0.0454528085590667,0.118177302253573,"Transport, mitochondrial",29,453
0.050221262167657,0.125553155419142,"Arginine and proline metabolism",6,40
0.0654420436465138,0.155738493864964,"Miscellaneous",15,152
0.0670873512033692,0.155738493864964,"Galactose metabolism",3,14
0.0714277199321868,0.160096613641108,"Pyrimidine catabolism",5,34
0.0767134829764709,0.16621254644902,"Methionine and cysteine metabolism",6,46
0.0820212478083155,0.171980035727113,"Glycosphingolipid metabolism",8,71
0.109975699813895,0.223388140246975,"Transport, peroxisomal",13,154
0.119957312921433,0.236279555754337,"Vitamin B2 metabolism",2,9
0.15231217192857,0.291185034569324,"Inositol phosphate metabolism",6,65
0.172706018397403,0.320739748452319,"Keratan sulfate degradation",5,76
0.196552207070671,0.321675852967279,"Valine, leucine, and isoleucine metabolism",4,45
0.200906370777827,0.321675852967279,"Blood group synthesis",4,47
0.200906370777827,0.321675852967279,"Glycine, serine, alanine, and threonine metabolism",4,47
0.200906370777827,0.321675852967279,"Vitamin A metabolism",4,47
0.208485018767657,0.321675852967279,"Aminosugar metabolism",1,32
0.218106834771537,0.321675852967279,"Propanoate metabolism",2,15
0.218745044678343,0.321675852967279,"Lysine metabolism",1,31
0.221728974766466,0.321675852967279,"Pyruvate metabolism",3,32
0.223423279582284,0.321675852967279,"Phosphatidylinositol phosphate metabolism",2,40
0.223423279582284,0.321675852967279,"Urea cycle",2,40
0.230359762213874,0.321675852967279,"Glutamate metabolism",2,16
0.232596385991725,0.321675852967279,"Starch and sucrose metabolism",3,42
0.240473134339807,0.325640702751821,"CoA catabolism",1,4
0.258989926301226,0.343558065501627,"Purine catabolism",2,34
0.282382071093312,0.367096692421305,"NAD metabolism",2,27
0.328516762664314,0.389619902934629,"Pyrimidine synthesis",1,21
0.348401531404014,0.389619902934629,"Heme synthesis",1,19
0.35065465490798,0.389619902934629,"Leukotriene metabolism",1,8
0.35065465490798,0.389619902934629,"Taurine and hypotaurine metabolism",1,8
0.357332585002858,0.389619902934629,"N-glycan synthesis",1,18
0.357332585002858,0.389619902934629,"Tetrahydrobiopterin metabolism",1,18
0.357332585002858,0.389619902934629,"Ubiquinone synthesis",1,18
0.364497158541119,0.389619902934629,"Triacylglycerol synthesis",1,9
0.374196855911806,0.389619902934629,"Beta-Alanine metabolism",1,10
0.374196855911806,0.389619902934629,"Oxidative phosphorylation",1,10
0.377772819003722,0.389619902934629,"Cytochrome metabolism",1,15
0.381668875706346,0.389619902934629,"CoA synthesis",1,14
0.383299075233578,0.389619902934629,"Dietary fiber binding",1,12
0.383625750581788,0.389619902934629,"Alanine and aspartate metabolism",1,13
1,1,"Transport, extracellular",202,2652
