fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
2.98095110803834e-23,1.96742773130531e-21,"Folate metabolism",30,59
8.85584930676422e-14,2.92243027123219e-12,"Starch and sucrose metabolism",19,42
1.28259120670917e-09,2.82170065476017e-08,"Transport, golgi apparatus",23,98
1.22408329152509e-08,2.0197374310164e-07,"Vitamin B6 metabolism",8,11
6.03643994031259e-06,7.96810072121262e-05,"Peptide metabolism",1,242
2.16348476026942e-05,0.000237983323629637,"Transport, nuclear",14,71
4.04531708542579e-05,0.000381415610911574,"Transport, lysosomal",17,105
0.000119127166033031,0.00098279911977251,"Eicosanoid metabolism",15,93
0.000167750200423573,0.00123016813643954,"Bile acid synthesis",1,185
0.00029156514298387,0.00192432994369354,"Fatty acid synthesis",3,239
0.000549621055132675,0.00329772633079605,"C5-branched dibasic acid metabolism",4,8
0.000785850404647842,0.00432217722556313,"Vitamin A metabolism",9,47
0.00114124763963822,0.00579402647816328,"Glycerophospholipid metabolism",19,165
0.00241279526616262,0.0113746062547666,"Chondroitin synthesis",8,45
0.0034310368358398,0.0150965620776951,"Drug metabolism",45,573
0.00507668240708365,0.0209413149292201,"Miscellaneous",2,152
0.00660832903955764,0.0247080395493002,"Fructose and mannose metabolism",5,23
0.00673855624071823,0.0247080395493002,"Transport, mitochondrial",36,453
0.0101524207249726,0.0352663035709574,"Exchange/demand reaction",90,1787
0.0131928159791801,0.0435362927312943,"Transport, peroxisomal",15,154
0.0142799332130907,0.0448797900982849,"Oxidative phosphorylation",3,10
0.0168310142079425,0.0504930426238275,"Arginine and proline metabolism",6,40
0.0242835790421297,0.0696833137730678,"Fatty acid oxidation",46,961
0.026891770301021,0.0739523683278078,"Tryptophan metabolism",6,45
0.0292417442010255,0.0771982046907074,"Pyrimidine catabolism",5,34
0.0565610859728509,0.143578141315698,"Lipoate metabolism",1,1
0.0630311569979111,0.154076161550449,"Taurine and hypotaurine metabolism",2,8
0.0732731808545611,0.163341321783409,"Transport, endoplasmic reticular",15,211
0.0742284186611771,0.163341321783409,"Steroid metabolism",2,90
0.0765037773287809,0.163341321783409,"Vitamin B2 metabolism",2,9
0.076720923867965,0.163341321783409,"Glycine, serine, alanine, and threonine metabolism",5,47
0.110904907223607,0.22874137114869,"Nucleotide interconversion",7,164
0.118823797199395,0.23764759439879,"Tyrosine metabolism",7,93
0.131616395161605,0.255490649431351,"Alanine and aspartate metabolism",2,13
0.135993854586435,0.256445554362992,"Chondroitin sulfate degradation",4,44
0.153584372513073,0.2815713496073,"Sphingolipid metabolism",7,133
0.16932566894125,0.302040382435743,"Inositol phosphate metabolism",2,65
0.190187152614242,0.311344138938743,"CoA catabolism",1,4
0.193410752977098,0.311344138938743,"N-glycan synthesis",2,18
0.193410752977098,0.311344138938743,"O-glycan metabolism",2,18
0.193410752977098,0.311344138938743,"Tetrahydrobiopterin metabolism",2,18
0.209020290892101,0.319244716173484,"Urea cycle",3,40
0.212829810782323,0.319244716173484,"Arachidonic acid metabolism",3,41
0.212829810782323,0.319244716173484,"Pentose phosphate pathway",3,41
0.224663945704514,0.325389052948546,"Valine, leucine, and isoleucine metabolism",3,45
0.226786309630805,0.325389052948546,"Methionine and cysteine metabolism",3,46
0.263457355423704,0.3558570804576,"NAD metabolism",2,27
0.269969643970136,0.3558570804576,"Glycolysis/gluconeogenesis",2,42
0.278464227842833,0.3558570804576,"Aminosugar metabolism",2,32
0.278464227842833,0.3558570804576,"Pyruvate metabolism",2,32
0.280257591876266,0.3558570804576,"Phenylalanine metabolism",2,36
0.280372245209018,0.3558570804576,"Purine catabolism",2,34
0.306147122976538,0.381239813517953,"Lysine metabolism",1,31
0.320263296032397,0.384949463091908,"Triacylglycerol synthesis",1,9
0.335787051879092,0.384949463091908,"Beta-Alanine metabolism",1,10
0.343941842079367,0.384949463091908,"Androgen and estrogen synthesis and metabolism",1,26
0.358768490683156,0.384949463091908,"Dietary fiber binding",1,12
0.366729799046485,0.384949463091908,"Vitamin D metabolism",1,13
0.371899440484691,0.384949463091908,"Pyrimidine synthesis",1,21
0.372641175117628,0.384949463091908,"CoA synthesis",1,14
0.375444192837277,0.384949463091908,"Citric acid cycle",1,20
0.376707415602097,0.384949463091908,"Propanoate metabolism",1,15
0.376707415602097,0.384949463091908,"Purine synthesis",1,15
0.379116895469303,0.384949463091908,"Glutamate metabolism",1,16
0.379116895469303,0.384949463091908,"Glutathione metabolism",1,16
1,1,"Transport, extracellular",150,2652
