fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
2.59179849338463e-98,1.50324312616309e-96,"Exchange/demand reaction",83,1787
3.48599892236173e-17,6.73959791656602e-16,"Cholesterol metabolism",1,242
3.48599892236173e-17,6.73959791656602e-16,"Peptide metabolism",1,242
2.3629647488982e-12,3.4262988859024e-11,"Fatty acid synthesis",5,239
1.12691423993462e-10,1.30722051832416e-09,"Fatty acid oxidation",91,961
1.69149001106283e-10,1.63510701069407e-09,"Drug metabolism",42,573
2.88848154835659e-09,2.39331328292403e-08,"Transport, mitochondrial",31,453
4.63192352114814e-09,3.3581445528324e-08,"Sphingolipid metabolism",1,133
5.28112360393526e-08,3.4033907669805e-07,"Bile acid synthesis",6,185
7.06517007353829e-08,4.09779864265221e-07,"Ubiquinone synthesis",13,18
1.38434138356047e-06,7.29925456786431e-06,"Transport, golgi apparatus",1,98
4.13995974941943e-06,2.00098054555272e-05,"Nucleotide interconversion",7,164
1.35218440167684e-05,6.03282271517359e-05,"Glycerophospholipid metabolism",8,165
2.61979431782613e-05,0.000108534336024226,"Eicosanoid metabolism",2,93
6.41979512079579e-05,0.000248232078004104,"Miscellaneous",8,152
9.69978784165536e-05,0.000351617309260007,"Glycosphingolipid metabolism",1,71
0.00112552392215437,0.00384002279323254,"Vitamin D metabolism",7,13
0.0011928280911386,0.0038435571825577,"Transport, endoplasmic reticular",18,211
0.00198549753604989,0.00606099247846809,"Tyrosine metabolism",5,93
0.00388575454267436,0.0112686881737556,"Transport, lysosomal",7,105
0.00477975353400172,0.0132012240462905,"Tryptophan metabolism",1,45
0.00545347687898829,0.0143773481355146,"Inositol phosphate metabolism",3,65
0.00734983169948872,0.0185343581987107,"Glycolysis/gluconeogenesis",1,42
0.00847286116239116,0.0204760811424453,"Pentose phosphate pathway",1,41
0.0149198880719134,0.034614140326839,"Vitamin A metabolism",2,47
0.0190497423456591,0.0424955790787779,"Valine, leucine, and isoleucine metabolism",2,45
0.0306432591768215,0.065826260453913,"Arachidonic acid metabolism",2,41
0.0331704231356292,0.0665141740042463,"Transport, peroxisomal",17,154
0.0336619283507971,0.0665141740042463,"Lysine metabolism",1,31
0.0344038831056446,0.0665141740042463,"Phosphatidylinositol phosphate metabolism",2,40
0.0645499645381179,0.120770901393898,"Androgen and estrogen synthesis and metabolism",1,26
0.0668032931869016,0.121080968901259,"Pyrimidine catabolism",2,34
0.0785353320758481,0.138031795769673,"Arginine and proline metabolism",3,40
0.0821962386284248,0.140217112954372,"Pyruvate metabolism",2,32
0.0937089439901337,0.153063440349443,"Fructose and mannose metabolism",1,23
0.0950048940099993,0.153063440349443,"Transport, nuclear",8,71
0.100484830222535,0.15751676088938,"Chondroitin synthesis",9,45
0.12399304258094,0.189252538676172,"Glycine, serine, alanine, and threonine metabolism",5,47
0.131696525981994,0.195856371973222,"Beta-Alanine metabolism",3,10
0.16258099394334,0.230920777923661,"Phenylalanine metabolism",4,36
0.167218494358513,0.230920777923661,"N-glycan synthesis",1,18
0.167218494358513,0.230920777923661,"Tetrahydrobiopterin metabolism",1,18
0.175434778391693,0.236632956900424,"Urea cycle",6,40
0.184449459478678,0.241564195142679,"Citric acid cycle",4,20
0.190669152298754,0.241564195142679,"Purine catabolism",5,34
0.191585396147642,0.241564195142679,"Aminosugar metabolism",4,32
0.198183036698387,0.24456630060652,"NAD metabolism",3,27
0.206589614408568,0.249629117410353,"Glutamate metabolism",1,16
0.213260521483055,0.25243082134729,"Pyrimidine synthesis",2,21
0.220578285122444,0.255870810742036,"Propanoate metabolism",3,15
0.277750943894355,0.31587362246809,"Oxidative phosphorylation",2,10
0.299067904918598,0.333575740101513,"Dietary fiber binding",1,12
0.323078302312591,0.351260045128315,"Vitamin B6 metabolism",1,11
0.327035214429811,0.351260045128315,"Butanoate metabolism",1,3
0.36704787235639,0.387068665394012,"Vitamin B2 metabolism",1,9
0.384422489407921,0.398151864029632,"Leukotriene metabolism",1,8
0.396301914887954,0.403254580061427,"ROS detoxification",1,7
1,1,"Transport, extracellular",401,2652
