fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
0,0,"Transport, extracellular",154,2652
4.58171795562433e-31,1.58069269469039e-29,"Drug metabolism",100,573
3.21083268670492e-29,7.38491517942132e-28,"Exchange/demand reaction",160,1787
5.94825940230732e-23,1.02607474689801e-21,"Transport, golgi apparatus",38,98
1.20196217430209e-18,1.65870780053689e-17,"Chondroitin synthesis",24,45
1.56236323526038e-15,1.79671772054944e-14,"Biotin metabolism",12,12
1.69868961378122e-14,1.67442261929863e-13,"Fatty acid oxidation",104,961
2.88613398872608e-09,2.48929056527624e-08,"Folate metabolism",18,59
2.4425277492326e-07,1.872604607745e-06,"N-glycan synthesis",9,18
2.0932448773041e-06,1.44433896533983e-05,"Transport, nuclear",16,71
2.3340350358856e-06,1.46407652251006e-05,"Peptide metabolism",1,242
4.25514860005375e-06,2.44671044503091e-05,"N-glycan metabolism",5,6
1.00517000315076e-05,5.33513309364633e-05,"Glycosphingolipid metabolism",15,71
2.61575573898406e-05,0.000128919389992786,"Transport, lysosomal",18,105
4.23665203156127e-05,0.000194885993451818,"O-glycan metabolism",7,18
0.00019843312452074,0.000855742849495691,"Valine, leucine, and isoleucine metabolism",10,45
0.00023928714092805,0.000917267373557525,"Eicosanoid metabolism",15,93
0.00023928714092805,0.000917267373557525,"Tyrosine metabolism",15,93
0.00035769172141434,0.00129898572513629,"Transport, endoplasmic reticular",25,211
0.000538891060664591,0.00185917415929284,"Fatty acid synthesis",4,239
0.00152678432784729,0.00501657707721253,"Cholesterol metabolism",5,242
0.00220022617269148,0.00690070935980508,"Bile acid synthesis",3,185
0.00275721819541586,0.00827165458624758,"Vitamin B6 metabolism",4,11
0.00338863414033658,0.00974232315346767,"Inositol phosphate metabolism",10,65
0.00375543141707939,0.0103649907111391,"Heme synthesis",5,19
0.00661723686053567,0.0175611285914216,"Phosphatidylinositol phosphate metabolism",7,40
0.00708025672177622,0.0180939894000948,"Sphingolipid metabolism",15,133
0.0084863947396858,0.0209129013227971,"Starch and sucrose metabolism",7,42
0.00889938690204731,0.0211744033186643,"C5-branched dibasic acid metabolism",3,8
0.0109699918743913,0.0252309813111001,"Pyrimidine catabolism",6,34
0.0191990192113477,0.0427333008252577,"CoA catabolism",2,4
0.0297066229800784,0.064054905800794,"Transport, mitochondrial",34,453
0.0334584603852857,0.0699585989874155,"Alanine and aspartate metabolism",3,13
0.0400501078737783,0.0812781600967853,"Histidine metabolism",3,14
0.0414146646641711,0.0816460531950801,"Keratan sulfate degradation",1,76
0.043264855328799,0.0829243060468647,"Phenylalanine metabolism",5,36
0.0617020940459699,0.115066067274917,"Nucleotide interconversion",6,164
0.0846706577950748,0.153744089154215,"Vitamin B2 metabolism",2,9
0.116500502409988,0.206116273494594,"Glycerophospholipid metabolism",8,165
0.128246663458264,0.218207435588986,"Miscellaneous",10,152
0.129659490712296,0.218207435588986,"Transport, peroxisomal",10,154
0.144673360171515,0.237677663138917,"NAD metabolism",3,27
0.154973802750488,0.240736210235301,"Tryptophan metabolism",4,45
0.15722202157412,0.240736210235301,"CoA synthesis",2,14
0.161432371304225,0.240736210235301,"Steroid metabolism",4,90
0.163979737406654,0.240736210235301,"Blood group synthesis",4,47
0.163979737406654,0.240736210235301,"Glycine, serine, alanine, and threonine metabolism",4,47
0.170544678443963,0.245157975263196,"Cytochrome metabolism",2,15
0.183229972528342,0.258017716417461,"Glutathione metabolism",2,16
0.192107278893356,0.265108044872831,"Purine catabolism",3,34
0.204467914743993,0.276633061124226,"Arachidonic acid metabolism",1,41
0.212410962509345,0.281853007945093,"Arginine and proline metabolism",1,40
0.231647212728955,0.295253649070579,"Methionine and cysteine metabolism",3,46
0.232534092014415,0.295253649070579,"Vitamin A metabolism",3,47
0.235347111577997,0.295253649070579,"Pyrimidine synthesis",2,21
0.261477735476902,0.319267860066292,"Glycolysis/gluconeogenesis",2,42
0.265066436561719,0.319267860066292,"Pentose phosphate pathway",2,41
0.268370085273115,0.319267860066292,"Urea cycle",2,40
0.280220208458226,0.323015532777821,"Lysine metabolism",2,31
0.280883071980714,0.323015532777821,"Aminosugar metabolism",2,32
0.312885002390186,0.353919101064308,"Taurine and hypotaurine metabolism",1,8
0.33082796324019,0.368179507476986,"Triacylglycerol synthesis",1,9
0.345473014961379,0.372463094255237,"Beta-Alanine metabolism",1,10
0.345473014961379,0.372463094255237,"Oxidative phosphorylation",1,10
0.353906892768153,0.375685778476962,"Fructose and mannose metabolism",1,23
0.377272001455072,0.380749578134367,"Galactose metabolism",1,14
0.378218331766786,0.380749578134367,"Tetrahydrobiopterin metabolism",1,18
0.379856476067012,0.380749578134367,"Propanoate metabolism",1,15
0.380749578134367,0.380749578134367,"Glutamate metabolism",1,16
