fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
8.92736973856601e-32,6.15988511961054e-30,"Heparan sulfate degradation",27,27
2.9908563274578e-19,1.03184543297294e-17,"Transport, golgi apparatus",38,98
2.80422787309886e-18,6.44972410812738e-17,"Cholesterol metabolism",59,242
2.64276601973333e-16,4.55877138404e-15,"Chondroitin synthesis",24,45
2.29972245410507e-12,3.173616986665e-11,"Drug metabolism",85,573
3.85829804177196e-12,4.43704274803775e-11,"Biotin metabolism",11,12
1.64857485455416e-08,1.62502378520339e-07,"Transport, lysosomal",26,105
1.00729679768325e-07,8.68793488001802e-07,"Folate metabolism",18,59
2.99737529476856e-07,2.29798772598923e-06,"Exchange/demand reaction",165,1787
1.64116347156964e-06,1.13240279538305e-05,"Fatty acid oxidation",103,961
2.4404477348849e-05,0.00015308263064278,"Fatty acid synthesis",4,239
0.000445036090663522,0.00255895752131525,"Glycosphingolipid metabolism",14,71
0.0012743877087542,0.00676405783877232,"O-glycan metabolism",6,18
0.00181984489784006,0.00896923556792602,"Transport, endoplasmic reticular",27,211
0.00216771816694463,0.00934828459494873,"Eicosanoid metabolism",15,93
0.00216771816694463,0.00934828459494873,"Tyrosine metabolism",15,93
0.00386026236515076,0.0156681237173766,"Transport, nuclear",12,71
0.00721297060191423,0.0275608121893052,"Glycerophospholipid metabolism",5,165
0.0075892091535768,0.0275608121893052,"Nucleotide interconversion",5,164
0.00840931627396707,0.028438481270401,"N-glycan degradation",4,12
0.00865518995186118,0.028438481270401,"Pyrimidine catabolism",7,34
0.010356391830418,0.0324814107408565,"Sphingolipid metabolism",17,133
0.0115229084935318,0.0345687254805953,"Phenylalanine metabolism",7,36
0.016181838398784,0.0465227853965041,"Miscellaneous",18,152
0.0227057967051627,0.0626679989062492,"Glutathione metabolism",4,16
0.037578687444242,0.0997280551404885,"Vitamin B6 metabolism",3,11
0.0439010684880886,0.11219161946956,"Bile acid synthesis",9,185
0.0557796822909113,0.137457074216889,"Vitamin D metabolism",3,13
0.0622314579863117,0.148067951760535,"N-glycan metabolism",2,6
0.0656927823266966,0.151093399351402,"Galactose metabolism",3,14
0.0727376725978322,0.15887508952063,"Transport, mitochondrial",32,453
0.0746284154093464,0.15887508952063,"Methionine and cysteine metabolism",6,46
0.0759837384663884,0.15887508952063,"Propanoate metabolism",3,15
0.0882603542597931,0.179116601291933,"Transport, peroxisomal",14,154
0.0963657962442612,0.189978284024401,"Steroid metabolism",4,90
0.0994275217868067,0.190569416758046,"C5-branched dibasic acid metabolism",2,8
0.103339558192801,0.192714311224412,"Arginine and proline metabolism",5,40
0.1063699163999,0.193145374515608,"Tryptophan metabolism",1,45
0.118262236039267,0.209233186838704,"Vitamin B2 metabolism",2,9
0.133103921174532,0.229604264026068,"Arachidonic acid metabolism",1,41
0.16873676546501,0.283971629685017,"Keratan sulfate degradation",6,76
0.180229598218309,0.294226299356811,"Glycine, serine, alanine, and threonine metabolism",2,47
0.184795389044321,0.294226299356811,"Inositol phosphate metabolism",4,65
0.187622567705792,0.294226299356811,"Alanine and aspartate metabolism",2,13
0.195304135104764,0.299429903261405,"Valine, leucine, and isoleucine metabolism",4,45
0.199962331842016,0.299429903261405,"Blood group synthesis",4,47
0.211742043925724,0.299429903261405,"Pyruvate metabolism",1,32
0.216084291209776,0.299429903261405,"Cytochrome metabolism",2,15
0.222293150626403,0.299429903261405,"Vitamin A metabolism",3,47
0.22596087982043,0.299429903261405,"Phosphatidylinositol phosphate metabolism",2,40
0.228410893877521,0.299429903261405,"Glutamate metabolism",2,16
0.22982659192475,0.299429903261405,"Chondroitin sulfate degradation",3,44
0.233078896909787,0.299429903261405,"Starch and sucrose metabolism",3,42
0.234662478919105,0.299429903261405,"Urea cycle",3,40
0.238676009846047,0.299429903261405,"CoA catabolism",1,4
0.260633994437557,0.321138314574847,"Purine catabolism",2,34
0.269660749169651,0.326431433205368,"Aminosugar metabolism",2,32
0.282537415803811,0.330898906195581,"NAD metabolism",2,27
0.28294254297883,0.330898906195581,"Androgen and estrogen synthesis and metabolism",2,26
0.330636966936023,0.380232511976426,"Pyrimidine synthesis",1,21
0.349174039182382,0.384368420360837,"Leukotriene metabolism",1,8
0.349174039182382,0.384368420360837,"Taurine and hypotaurine metabolism",1,8
0.358752953365953,0.384368420360837,"Tetrahydrobiopterin metabolism",1,18
0.363255235070363,0.384368420360837,"Triacylglycerol synthesis",1,9
0.37322730672719,0.384368420360837,"Beta-Alanine metabolism",1,10
0.37322730672719,0.384368420360837,"Oxidative phosphorylation",1,10
0.37322730672719,0.384368420360837,"Vitamin C metabolism",1,10
0.381929889588871,0.387546505612236,"CoA synthesis",1,14
1,1,"Transport, extracellular",200,2652
