fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
5.76429130296332e-32,3.97736099904469e-30,"Heparan sulfate degradation",27,27
7.27587718869276e-16,1.73209296282166e-14,"Transport, mitochondrial",79,453
7.53083896878984e-16,1.73209296282166e-14,"Transport, endoplasmic reticular",51,211
5.03196361932953e-07,8.68013724334344e-06,"Arachidonic acid metabolism",14,41
8.85172591768135e-06,0.000122153817664003,"Transport, peroxisomal",27,154
8.02489532583662e-05,0.000922862962471212,"Phosphatidylinositol phosphate metabolism",11,40
0.00012684462078403,0.00125032554772829,"Fatty acid synthesis",5,239
0.000359961054176769,0.00292549615900584,"Cholesterol metabolism",6,242
0.000381586455522501,0.00292549615900584,"N-glycan metabolism",4,6
0.000758150629288384,0.00523123934208985,"Keratan sulfate degradation",14,76
0.000946672940982707,0.00593822117525516,"Bile acid synthesis",4,185
0.00111947727205893,0.00643699431433885,"Drug metabolism",59,573
0.00188790252434983,0.0100204057061645,"Tyrosine metabolism",15,93
0.00347099432222701,0.0171070434452617,"Squalene and cholesterol synthesis",3,5
0.00514128725962694,0.0236499213942839,"Fatty acid oxidation",57,961
0.00549210776206142,0.0236847147238899,"Protein formation",2,2
0.00977573665323258,0.0396779899454734,"Chondroitin sulfate degradation",8,44
0.0138392818759725,0.0530505805245613,"Vitamin A metabolism",8,47
0.0154679869875235,0.0561732159020589,"C5-branched dibasic acid metabolism",3,8
0.0172014925746036,0.0593451493823823,"Sphingolipid metabolism",16,133
0.0198060241932581,0.065076936634991,"Pentose phosphate pathway",7,41
0.0313083897851402,0.0981944952352123,"Ubiquinone synthesis",4,18
0.0436633285765275,0.130989985729583,"Hyaluronan metabolism",2,5
0.0479783194562883,0.137937668436829,"Peptide metabolism",13,242
0.0539516528154615,0.143179386317955,"Alanine and aspartate metabolism",3,13
0.0539516528154615,0.143179386317955,"Vitamin D metabolism",3,13
0.057938909666575,0.148066102481247,"Nucleotide interconversion",8,164
0.0623181336939835,0.151366814202746,"Exchange/demand reaction",132,1787
0.0636179364040527,0.151366814202746,"Histidine metabolism",3,14
0.0742835595776774,0.164238619769673,"Alkaloid synthesis",1,1
0.0742835595776774,0.164238619769673,"Nucleotide sugar metabolism",1,1
0.0761686352555005,0.164238619769673,"Glycosphingolipid metabolism",8,71
0.0988124694680531,0.201345581638845,"Glycine, serine, alanine, and threonine metabolism",1,47
0.103144797207095,0.201345581638845,"Miscellaneous",13,152
0.105049868681137,0.201345581638845,"O-glycan metabolism",3,18
0.105049868681137,0.201345581638845,"Tetrahydrobiopterin metabolism",3,18
0.110618457572717,0.206288474932905,"Valine, leucine, and isoleucine metabolism",1,45
0.114768227293982,0.207025393600201,"Folate metabolism",2,59
0.117014352904461,0.207025393600201,"Transport, golgi apparatus",5,98
0.122176841388899,0.210755051395851,"Glycerophospholipid metabolism",12,165
0.127648838724513,0.214823655414424,"Transport, lysosomal",9,105
0.133977337365804,0.218019889146353,"Vitamin C metabolism",2,10
0.135867467149177,0.218019889146353,"Eicosanoid metabolism",8,93
0.145275151768954,0.227817851637677,"Urea cycle",1,40
0.152483840478871,0.233808555400935,"Phenylalanine metabolism",4,36
0.156682444794735,0.235023667192103,"Steroid metabolism",7,90
0.168920626430289,0.24798985582319,"Transport, nuclear",4,71
0.184832619237338,0.263966954084457,"Blood group synthesis",2,47
0.188940357509607,0.263966954084457,"NAD metabolism",3,27
0.191280401510476,0.263966954084457,"Methionine and cysteine metabolism",2,46
0.21353637787273,0.287369014610367,"Lysine metabolism",3,31
0.218185862872919,0.287369014610367,"Aminosugar metabolism",3,32
0.225429234265795,0.287369014610367,"Glutamate metabolism",2,16
0.225684776880932,0.287369014610367,"Pyrimidine catabolism",3,34
0.229062258022757,0.287369014610367,"Tryptophan metabolism",3,45
0.262417650545774,0.318380002041137,"Citric acid cycle",2,20
0.263009566903548,0.318380002041137,"Purine catabolism",2,34
0.271445591451129,0.322926651898757,"Pyruvate metabolism",2,32
0.282710757162523,0.330627834647697,"Androgen and estrogen synthesis and metabolism",2,26
0.303474255690656,0.343274158076315,"R group synthesis",1,6
0.303474255690656,0.343274158076315,"Thiamine metabolism",1,6
0.333771763624207,0.371455672420489,"Pyrimidine synthesis",1,21
0.352523303003583,0.383564287023383,"Heme synthesis",1,19
0.360818506152712,0.383564287023383,"N-glycan synthesis",1,18
0.361328676181448,0.383564287023383,"Vitamin B2 metabolism",1,9
0.371703565231431,0.384693178481057,"Beta-Alanine metabolism",1,10
0.37911791502481,0.384693178481057,"Cytochrome metabolism",1,15
0.37911791502481,0.384693178481057,"Propanoate metabolism",1,15
1,1,"Transport, extracellular",197,2652
