fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
3.5182288825334e-21,2.25166648482138e-19,"Folate metabolism",28,59
4.09140326087092e-14,1.30924904347869e-12,"Starch and sucrose metabolism",19,42
5.56511901819536e-10,1.18722539054834e-08,"Transport, golgi apparatus",23,98
4.32286534760475e-09,6.9165845561676e-08,"Drug metabolism",61,573
8.8227791432953e-09,9.78758696050166e-08,"Vitamin B6 metabolism",8,11
9.17586277547031e-09,9.78758696050166e-08,"C5-branched dibasic acid metabolism",7,8
1.06312601372081e-05,9.72000926830459e-05,"Peptide metabolism",1,242
1.95750366414274e-05,0.000156600293131419,"Eicosanoid metabolism",16,93
3.40520709725839e-05,0.000237444937291878,"Glycerophospholipid metabolism",22,165
3.71007714518559e-05,0.000237444937291878,"Transport, peroxisomal",21,154
6.16578854183313e-05,0.000358736787888473,"Transport, nuclear",13,71
0.000289448008847089,0.00154372271385114,"Transport, lysosomal",15,105
0.00122015055392793,0.00600689503472214,"Transport, mitochondrial",38,453
0.00144008989361218,0.00614676340656637,"Bile acid synthesis",2,185
0.00147955011303643,0.00614676340656637,"Miscellaneous",1,152
0.00153669085164159,0.00614676340656637,"Pyrimidine catabolism",7,34
0.00170781323288319,0.00635897368055734,"Fatty acid synthesis",4,239
0.00188782031141546,0.00635897368055734,"Chondroitin synthesis",8,45
0.00188782031141546,0.00635897368055734,"Tryptophan metabolism",8,45
0.00247412932312219,0.00784040203890993,"Vitamin A metabolism",8,47
0.00257263191901732,0.00784040203890993,"Tyrosine metabolism",12,93
0.00292897241884308,0.0085206470366344,"Protein formation",2,2
0.0119265273780804,0.0318040730082143,"O-glycan metabolism",4,18
0.0119265273780804,0.0318040730082143,"Ubiquinone synthesis",4,18
0.0157988974103106,0.0404451773703952,"Arachidonic acid metabolism",6,41
0.0259515757465476,0.0622455182738833,"Alanine and aspartate metabolism",3,13
0.0262598280217945,0.0622455182738833,"Fructose and mannose metabolism",4,23
0.042880052927252,0.0958814340914065,"Transport, endoplasmic reticular",16,211
0.0434462748226686,0.0958814340914065,"Arginine and proline metabolism",5,40
0.0471399217922679,0.100565166490171,"Fatty acid oxidation",47,961
0.049230857624046,0.101637899610934,"Exchange/demand reaction",102,1787
0.0542986425339368,0.108597285067874,"Lipoate metabolism",1,1
0.0589147284182283,0.114258867235352,"Taurine and hypotaurine metabolism",2,8
0.0690382026609748,0.129954263832423,"Glycine, serine, alanine, and threonine metabolism",5,47
0.0716793740286182,0.131070855366616,"Vitamin B2 metabolism",2,9
0.0753913926375354,0.13402914246673,"Glycosphingolipid metabolism",1,71
0.084785336003393,0.146655716330193,"Oxidative phosphorylation",2,10
0.112166845479191,0.18891258185969,"Sphingolipid metabolism",9,133
0.139622303331563,0.229123779826155,"Nucleotide interconversion",8,164
0.150051392575908,0.240082228121453,"Propanoate metabolism",2,15
0.182243464126366,0.269353474404935,"Phenylalanine metabolism",3,36
0.183493665985507,0.269353474404935,"Steroid metabolism",5,90
0.183896869605032,0.269353474404935,"CoA catabolism",1,4
0.185180513653393,0.269353474404935,"Tetrahydrobiopterin metabolism",2,18
0.202024364970843,0.286896814064445,"Urea cycle",3,40
0.20620708510882,0.286896814064445,"Pentose phosphate pathway",3,41
0.215863212106761,0.293941395209206,"Chondroitin sulfate degradation",1,44
0.222419824581348,0.296559766108464,"Methionine and cysteine metabolism",3,46
0.257787821651691,0.336702460932821,"NAD metabolism",2,27
0.266311305580331,0.336941958552358,"Valine, leucine, and isoleucine metabolism",2,45
0.273950663714643,0.336941958552358,"Glycolysis/gluconeogenesis",2,42
0.275790490945098,0.336941958552358,"Aminosugar metabolism",2,32
0.279030059426172,0.336941958552358,"Purine catabolism",2,34
0.313409290988766,0.371448048579278,"Triacylglycerol synthesis",1,9
0.329391359764541,0.383291764089648,"Beta-Alanine metabolism",1,10
0.350660875243378,0.385680590802039,"Androgen and estrogen synthesis and metabolism",1,26
0.369077457916314,0.385680590802039,"CoA synthesis",1,14
0.374004220256635,0.385680590802039,"Cytochrome metabolism",1,15
0.374004220256635,0.385680590802039,"Purine synthesis",1,15
0.37461106870732,0.385680590802039,"Pyrimidine synthesis",1,21
0.377270019643638,0.385680590802039,"Citric acid cycle",1,20
0.377304118445728,0.385680590802039,"Glutamate metabolism",1,16
0.379654331570757,0.385680590802039,"N-glycan synthesis",1,18
1,1,"Transport, extracellular",144,2652
