fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
4.38930103826059e-86,2.37022256066072e-84,"Exchange/demand reaction",88,1787
1.63300687824863e-16,2.93941238084754e-15,"Cholesterol metabolism",1,242
1.63300687824863e-16,2.93941238084754e-15,"Peptide metabolism",1,242
3.65005349073065e-12,4.92757221248638e-11,"Ubiquinone synthesis",16,18
9.13966259178054e-12,9.87083559912299e-11,"Fatty acid synthesis",5,239
8.01011824674405e-10,7.20910642206965e-09,"Transport, mitochondrial",28,453
5.214686001479e-09,4.02275777256951e-08,"Fatty acid oxidation",92,961
1.0387119354841e-08,7.01130556451768e-08,"Sphingolipid metabolism",1,133
3.93473491311272e-07,2.36084094786763e-06,"Glycerophospholipid metabolism",5,165
6.3204544770355e-07,3.41304541759917e-06,"Bile acid synthesis",7,185
3.50849978708359e-06,1.72235444093194e-05,"Drug metabolism",52,573
8.83490011327616e-06,3.97570505097427e-05,"Nucleotide interconversion",7,164
2.13200463594894e-05,8.85601925701867e-05,"Transport, golgi apparatus",2,98
3.73247455504479e-05,0.000143966875694585,"Miscellaneous",7,152
4.33926101299407e-05,0.000156213396467786,"Eicosanoid metabolism",2,93
6.62261643254124e-05,0.000223513304598267,"Steroid metabolism",2,90
0.000145465187945314,0.000462065891120409,"Glycosphingolipid metabolism",1,71
0.000909207754797989,0.00272762326439397,"Vitamin D metabolism",7,13
0.0028970272406634,0.00823365636820126,"Tyrosine metabolism",5,93
0.00460538203545033,0.0124345314957159,"Blood group synthesis",1,47
0.00607567071074811,0.0149130099263817,"Tryptophan metabolism",1,45
0.00607567071074811,0.0149130099263817,"Valine, leucine, and isoleucine metabolism",1,45
0.00667221299177336,0.0156651957198157,"Transport, endoplasmic reticular",20,211
0.0204982623910831,0.0461210903799371,"Phenylalanine metabolism",1,36
0.0250018068014597,0.0540039026911529,"Transport, nuclear",5,71
0.0406323692832154,0.0843903054343704,"Arginine and proline metabolism",2,40
0.0570712064920591,0.114142412984118,"Transport, lysosomal",11,105
0.0902858870339081,0.166158670396552,"Transport, peroxisomal",21,154
0.0910889347966692,0.166158670396552,"Chondroitin synthesis",9,45
0.0923103724425291,0.166158670396552,"Pyruvate metabolism",2,32
0.109152722960236,0.190137001285572,"Propanoate metabolism",4,15
0.123603318013712,0.20858059914814,"Beta-Alanine metabolism",3,10
0.134886621247468,0.217697196303944,"Glycine, serine, alanine, and threonine metabolism",5,47
0.139656733149366,0.217697196303944,"Pyrimidine catabolism",3,34
0.141723843068784,0.217697196303944,"Phosphatidylinositol phosphate metabolism",4,40
0.14513146420263,0.217697196303944,"Urea cycle",7,40
0.170405015904221,0.248381431144123,"Arachidonic acid metabolism",5,41
0.176658452584521,0.248381431144123,"Citric acid cycle",4,20
0.179386589159645,0.248381431144123,"O-glycan metabolism",1,18
0.191115320619891,0.258005682836853,"Purine catabolism",5,34
0.197807466392587,0.26052690695609,"Aminosugar metabolism",4,32
0.206825808182171,0.265918896234219,"NAD metabolism",3,27
0.218872652832112,0.274354453659476,"Glutamate metabolism",1,16
0.223548073352165,0.274354453659476,"Pyrimidine synthesis",2,21
0.231733364933553,0.278080037920264,"C5-branched dibasic acid metabolism",2,8
0.240379491969519,0.282184621007697,"Cytochrome metabolism",1,15
0.285847310110741,0.328420313744256,"Alanine and aspartate metabolism",1,13
0.319556552519466,0.359501121584399,"Butanoate metabolism",1,3
0.331783903778567,0.365639404164135,"Vitamin B6 metabolism",1,11
0.35322899491577,0.381487314509032,"Oxidative phosphorylation",1,10
0.372275502971264,0.394174061969573,"Vitamin B2 metabolism",1,9
0.387480141661656,0.402383224033258,"Leukotriene metabolism",1,8
0.396978465187337,0.404468624907853,"ROS detoxification",1,7
1,1,"Transport, extracellular",387,2652
