fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.44768847304995e-31,1.07128947005696e-29,"Exchange/demand reaction",205,1787
1.16909286309858e-17,4.32564359346473e-16,"Drug metabolism",98,573
4.26544745221826e-14,1.05214370488051e-12,"Biotin metabolism",12,12
1.83538559214915e-09,3.18289872520198e-08,"Transport, golgi apparatus",27,98
2.15060724675809e-09,3.18289872520198e-08,"Sphingolipid metabolism",32,133
7.78854263119989e-08,9.57021127259253e-07,"Bile acid synthesis",36,185
9.0529025551551e-08,9.57021127259253e-07,"Chondroitin synthesis",16,45
1.76504010113924e-07,1.6326620935538e-06,"N-glycan synthesis",10,18
2.88082223804408e-07,2.3686760623918e-06,"Fatty acid synthesis",2,239
1.69557345941478e-06,1.25472435996694e-05,"Peptide metabolism",3,242
4.71641595209181e-06,3.17286164049813e-05,"Phosphatidylinositol phosphate metabolism",13,40
1.6102479819386e-05,9.929862555288e-05,"N-glycan metabolism",5,6
3.19179740857397e-05,0.000181686929411134,"Blood group synthesis",13,47
0.000149934136323772,0.000750279575898478,"Purine catabolism",10,34
0.000152859833339069,0.000750279575898478,"Cholesterol metabolism",6,242
0.000162222611005076,0.000750279575898478,"Eicosanoid metabolism",18,93
0.000211254492239339,0.000919578377983006,"Glycosphingolipid metabolism",15,71
0.000355050338592373,0.00145965139199087,"Histidine metabolism",6,14
0.000546214034920666,0.00212735992548049,"Cytochrome metabolism",6,15
0.000651316763981513,0.0024098720267316,"Fatty acid oxidation",96,961
0.000702215276661854,0.00247447287966558,"Transport, lysosomal",18,105
0.000907094390327225,0.00305113567655521,"Inositol phosphate metabolism",13,65
0.00152614787758185,0.00491021491048075,"Valine, leucine, and isoleucine metabolism",10,45
0.00211331975191386,0.00651606923506772,"Glycine, serine, alanine, and threonine metabolism",10,47
0.0053341849755884,0.0157891875277417,"Transport, nuclear",12,71
0.0109698121064556,0.0312217729183737,"Heme synthesis",5,19
0.0119244354715747,0.0326817861072788,"Keratan sulfate degradation",1,76
0.0245586678822182,0.0649050508315768,"Nucleotide interconversion",7,164
0.0357980545726069,0.0913467599438935,"Transport, mitochondrial",42,453
0.0385311424422624,0.0950434846909139,"Folate metabolism",1,59
0.0411244172284131,0.0981679637065345,"Glycerophospholipid metabolism",8,165
0.0510649160515675,0.11808761836925,"Transport, endoplasmic reticular",21,211
0.0534463297540935,0.119849345509179,"Miscellaneous",16,152
0.0613915096284308,0.133616815073644,"Alanine and aspartate metabolism",3,13
0.0651022805853967,0.137644821809125,"Starch and sucrose metabolism",6,42
0.0720354680134904,0.148072906472175,"Galactose metabolism",3,14
0.0775720734208654,0.149533975325831,"Transport, peroxisomal",15,154
0.0780420037595902,0.149533975325831,"Pyrimidine catabolism",5,34
0.0788084464555055,0.149533975325831,"Vitamin B12 metabolism",1,1
0.0840689868637083,0.15552762569786,"Methionine and cysteine metabolism",6,46
0.0898953506798271,0.162250145129444,"Phenylalanine metabolism",5,36
0.108536660413604,0.191231258823969,"Steroid metabolism",9,90
0.113373146755467,0.195107275811734,"Arginine and proline metabolism",5,40
0.116628993738938,0.196148762197305,"O-glycan metabolism",3,18
0.127123995208253,0.209048347675794,"Urea cycle",1,40
0.139787825915634,0.223594199238415,"Aminosugar metabolism",4,32
0.143923619778418,0.223594199238415,"Tyrosine metabolism",8,93
0.145034075181674,0.223594199238415,"Oxidative phosphorylation",2,10
0.149476861274544,0.225740566006454,"Vitamin A metabolism",5,47
0.163375292444325,0.2417954328176,"Vitamin B6 metabolism",2,11
0.188871042029081,0.268778021349076,"Arachidonic acid metabolism",4,41
0.188871042029081,0.268778021349076,"Pentose phosphate pathway",4,41
0.197292450787016,0.269962063935045,"Pyruvate metabolism",1,32
0.200626569507837,0.269962063935045,"Glycolysis/gluconeogenesis",2,42
0.200647479951722,0.269962063935045,"NAD metabolism",3,27
0.222455238439243,0.293958707937571,"Tryptophan metabolism",3,45
0.236933124214928,0.30759738933166,"Glutathione metabolism",2,16
0.246678957142223,0.314728324629732,"CoA catabolism",1,4
0.263134684134862,0.328053092096023,"Androgen and estrogen synthesis and metabolism",1,26
0.268317630782781,0.328053092096023,"Lysine metabolism",2,31
0.270422143484559,0.328053092096023,"Citric acid cycle",2,20
0.275380892196272,0.328680419718132,"Pyrimidine synthesis",2,21
0.29810041513946,0.350149693973334,"Fructose and mannose metabolism",1,23
0.337709842636348,0.389533435178094,"ROS detoxification",1,7
0.352106184539298,0.389533435178094,"Ubiquinone synthesis",1,18
0.368581789139582,0.389533435178094,"Linoleate metabolism",1,9
0.368581789139582,0.389533435178094,"Vitamin B2 metabolism",1,9
0.368917024819269,0.389533435178094,"Glutamate metabolism",1,16
0.377305526781386,0.389533435178094,"Beta-Alanine metabolism",1,10
0.377305526781386,0.389533435178094,"Vitamin C metabolism",1,10
0.380441498107664,0.389533435178094,"CoA synthesis",1,14
0.38426946983785,0.389533435178094,"Dietary fiber binding",1,12
0.38426946983785,0.389533435178094,"N-glycan degradation",1,12
1,1,"Transport, extracellular",209,2652
