fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
5.59030299372807e-39,3.91321209560965e-37,"Exchange/demand reaction",222,1787
2.05604700405122e-30,7.19616451417927e-29,"Heparan sulfate degradation",27,27
1.90226433377005e-16,4.43861677879679e-15,"Cholesterol metabolism",60,242
7.02496015913864e-13,1.22936802784926e-11,"Drug metabolism",93,573
1.43164061944449e-12,2.00429686722228e-11,"Sphingolipid metabolism",38,133
1.30337424982323e-11,1.52060329146044e-10,"Biotin metabolism",11,12
4.92410145983439e-09,4.92410145983439e-08,"Peptide metabolism",1,242
7.83649559264495e-09,6.85693364356433e-08,"Transport, golgi apparatus",27,98
2.24372867340995e-07,1.74512230154107e-06,"Chondroitin synthesis",16,45
2.21130314734167e-06,1.54791220313917e-05,"Transport, lysosomal",24,105
3.26332518304224e-06,2.07666148011779e-05,"Eicosanoid metabolism",22,93
6.24080595123005e-05,0.000364047013821753,"Blood group synthesis",13,47
0.000157861435558198,0.000850023114544143,"Miscellaneous",26,152
0.000417016372186721,0.00208508186093361,"Glycosphingolipid metabolism",15,71
0.00174911467959408,0.00816253517143906,"N-glycan degradation",5,12
0.0026139439187838,0.0108199911865522,"Bile acid synthesis",26,185
0.00262771214530554,0.0108199911865522,"Glycerophospholipid metabolism",5,165
0.00512052653689509,0.019913158754592,"Cytochrome metabolism",5,15
0.00618409438193882,0.0227835056176693,"Phenylalanine metabolism",8,36
0.00691042194793077,0.0232838243115529,"Transport, endoplasmic reticular",27,211
0.00698514729346588,0.0232838243115529,"Fatty acid oxidation",95,961
0.00857083069361865,0.0272708249342412,"Methionine and cysteine metabolism",9,46
0.0145177794031529,0.0441845460095959,"Purine catabolism",7,34
0.0153156006148057,0.0446705017931833,"Nucleotide interconversion",7,164
0.016014745130735,0.044841286366058,"Alanine and aspartate metabolism",4,13
0.0293416419139985,0.078996728229996,"Folate metabolism",1,59
0.0314317525823349,0.0814897289171646,"Glutathione metabolism",4,16
0.0353845871711515,0.0884614679278788,"Steroid metabolism",12,90
0.0368387409990519,0.0889210989632287,"Transport, peroxisomal",18,154
0.0401747766432873,0.0937411455010036,"Pyrimidine catabolism",6,34
0.0681898977081096,0.149470954553526,"Arginine and proline metabolism",6,40
0.0683457059355607,0.149470954553526,"Transport, mitochondrial",40,453
0.0704648785752337,0.149470954553526,"Vitamin D metabolism",3,13
0.0745423130602908,0.153469468065305,"N-glycan metabolism",2,6
0.0822061930424357,0.159084423790307,"Galactose metabolism",3,14
0.0822061930424357,0.159084423790307,"Histidine metabolism",3,14
0.0840874811463049,0.159084423790307,"Vitamin B12 metabolism",1,1
0.128443371191135,0.236606210088933,"Tyrosine metabolism",9,93
0.144962815799462,0.26018966938365,"Transport, nuclear",7,71
0.15438960284713,0.270181804982478,"Aminosugar metabolism",4,32
0.159773000413167,0.270904514996845,"Tryptophan metabolism",2,45
0.162542708998107,0.270904514996845,"Glycine, serine, alanine, and threonine metabolism",5,47
0.16735648820469,0.27244079475182,"Keratan sulfate degradation",6,76
0.180549998797535,0.287238634450623,"Inositol phosphate metabolism",5,65
0.1949843719497,0.300423671357803,"Phosphatidylinositol phosphate metabolism",4,40
0.197948156999926,0.300423671357803,"Arachidonic acid metabolism",4,41
0.20510115401285,0.300423671357803,"Valine, leucine, and isoleucine metabolism",4,45
0.206004803216779,0.300423671357803,"Vitamin A metabolism",4,47
0.212381349474223,0.302571851932008,"NAD metabolism",3,27
0.216122751380006,0.302571851932008,"Chondroitin sulfate degradation",3,44
0.223420870436717,0.306656096677847,"Starch and sucrose metabolism",3,42
0.229286290946256,0.308654622427653,"Urea cycle",3,40
0.237715956293225,0.313964470575958,"Propanoate metabolism",2,15
0.252387877117776,0.327169470337858,"Pyruvate metabolism",2,32
0.266364069430469,0.339008815638778,"O-glycan metabolism",2,18
0.277591272078846,0.344349533489912,"Citric acid cycle",2,20
0.280398905841785,0.344349533489912,"Androgen and estrogen synthesis and metabolism",2,26
0.329233251974595,0.390728769029367,"Heme synthesis",1,19
0.340612877337425,0.390728769029367,"N-glycan synthesis",1,18
0.340612877337425,0.390728769029367,"Ubiquinone synthesis",1,18
0.348105744340373,0.390728769029367,"ROS detoxification",1,7
0.361027245929942,0.390728769029367,"Glutamate metabolism",1,16
0.364444058779033,0.390728769029367,"Leukotriene metabolism",1,8
0.375574489091592,0.390728769029367,"Linoleate metabolism",1,9
0.375574489091592,0.390728769029367,"Vitamin B2 metabolism",1,9
0.382253263585465,0.390728769029367,"Beta-Alanine metabolism",1,10
0.382253263585465,0.390728769029367,"Vitamin C metabolism",1,10
0.384842004361555,0.390728769029367,"Dietary fiber binding",1,12
0.385146929471805,0.390728769029367,"Vitamin B6 metabolism",1,11
1,1,"Transport, extracellular",223,2652
