fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
2.16003079370624e-23,1.66322371115381e-21,"Heparan sulfate degradation",27,27
5.61654748910698e-22,2.16237078330619e-20,"Fatty acid oxidation",63,961
4.22769442219586e-12,1.08510823503027e-10,"Fatty acid synthesis",5,239
1.31131896400431e-10,2.5242890057083e-09,"Cholesterol metabolism",7,242
7.66463913301072e-08,1.18035442648365e-06,"Exchange/demand reaction",221,1787
1.37488381440595e-07,1.76443422848763e-06,"Transport, endoplasmic reticular",59,211
2.45325634235811e-06,2.69858197659392e-05,"Peptide metabolism",14,242
1.11706437752375e-05,0.000107517446336661,"Transport, mitochondrial",97,453
1.42133745799065e-05,0.000121603315850311,"Sphingolipid metabolism",38,133
0.00025255512332338,0.00194467444959002,"Phosphatidylinositol phosphate metabolism",15,40
0.000340320185616226,0.00238224129931358,"Arachidonic acid metabolism",15,41
0.00163858370763751,0.0105142454573407,"Inositol phosphate metabolism",2,65
0.00416185122518966,0.0246509649492003,"Vitamin A metabolism",14,47
0.00529359664667371,0.0277112048883587,"N-glycan metabolism",4,6
0.00539828666656338,0.0277112048883587,"Steroid metabolism",22,90
0.00859825714456005,0.039111531090363,"Drug metabolism",71,573
0.00887821527274146,0.039111531090363,"Histidine metabolism",6,14
0.00914295531982513,0.039111531090363,"Transport, nuclear",4,71
0.0122718464801173,0.0496680927828339,"Folate metabolism",3,59
0.0133208923577444,0.0496680927828339,"Glycerophospholipid metabolism",16,165
0.0136503744509998,0.0496680927828339,"Eicosanoid metabolism",21,93
0.0141908836522383,0.0496680927828339,"Nucleotide interconversion",16,164
0.0168441262740389,0.0563912053522173,"Bile acid synthesis",36,185
0.0238301876254172,0.0764551852982134,"Squalene and cholesterol synthesis",3,5
0.0294468480396164,0.0906962919620184,"Starch and sucrose metabolism",2,42
0.033141618723945,0.0946954629631278,"Purine catabolism",9,34
0.0332049025974604,0.0946954629631278,"Transport, lysosomal",10,105
0.0436286761742512,0.118006007121152,"Cytochrome metabolism",5,15
0.0444438208638106,0.118006007121152,"Transport, peroxisomal",28,154
0.0527623202027458,0.135423288520381,"Valine, leucine, and isoleucine metabolism",3,45
0.0647350129866033,0.157867909889969,"Glycosphingolipid metabolism",14,71
0.0656074430711558,0.157867909889969,"Miscellaneous",26,152
0.0828883290223047,0.188209614954292,"Urea cycle",3,40
0.0831055442655317,0.188209614954292,"Keratan sulfate degradation",14,76
0.0858057285621973,0.188772602836834,"Transport, golgi apparatus",17,98
0.0971868386407939,0.207871849315031,"Aminosugar metabolism",7,32
0.106456141528422,0.218214021974497,"Tyrosine metabolism",12,93
0.107690036818583,0.218214021974497,"Blood group synthesis",9,47
0.119406004360435,0.229118914012165,"Glycolysis/gluconeogenesis",8,42
0.128228973940695,0.229118914012165,"Vitamin C metabolism",3,10
0.130060579211216,0.229118914012165,"Chondroitin sulfate degradation",8,44
0.132994530757335,0.229118914012165,"Pyrimidine catabolism",3,34
0.136735554949913,0.229118914012165,"Hyaluronan metabolism",2,5
0.138862066278687,0.229118914012165,"Methionine and cysteine metabolism",8,46
0.141727593158569,0.229118914012165,"Tryptophan metabolism",5,45
0.142495045736694,0.229118914012165,"Glycine, serine, alanine, and threonine metabolism",8,47
0.148944193061841,0.229118914012165,"Alkaloid synthesis",1,1
0.148944193061841,0.229118914012165,"Nucleotide sugar metabolism",1,1
0.148944193061841,0.229118914012165,"Vitamin B12 metabolism",1,1
0.149941840493746,0.229118914012165,"Androgen and estrogen synthesis and metabolism",2,26
0.153053057135541,0.229118914012165,"Pentose phosphate pathway",7,41
0.154729656216008,0.229118914012165,"Heme synthesis",1,19
0.162453933495455,0.236017978851887,"Lysine metabolism",3,31
0.166737090565837,0.237007950733221,"Phenylalanine metabolism",4,36
0.171109603793339,0.237007950733221,"NAD metabolism",5,27
0.17236941871507,0.237007950733221,"O-glycan metabolism",1,18
0.17546066190145,0.237025806428275,"Arginine and proline metabolism",6,40
0.181195682966585,0.240552889455639,"Citric acid cycle",4,20
0.188727024726731,0.242199681732638,"Alanine and aspartate metabolism",3,13
0.188727024726731,0.242199681732638,"Vitamin D metabolism",3,13
0.194374488913295,0.245357961415143,"Pyruvate metabolism",4,32
0.211814777206867,0.263060287821431,"Glutathione metabolism",1,16
0.256151617801867,0.301827512325291,"CoA synthesis",1,14
0.257592674376068,0.301827512325291,"N-glycan synthesis",2,18
0.257592674376068,0.301827512325291,"Tetrahydrobiopterin metabolism",2,18
0.258709296278821,0.301827512325291,"Vitamin B2 metabolism",2,9
0.275300755120766,0.315984863574024,"Beta-Alanine metabolism",2,10
0.279051567831605,0.315984863574024,"Glutamate metabolism",2,16
0.292206812111618,0.326085862791226,"Galactose metabolism",2,14
0.303366438726021,0.333703082598623,"Dietary fiber binding",1,12
0.349211166535027,0.378721969340804,"Oxidative phosphorylation",1,10
0.369350200905677,0.389588568078591,"Linoleate metabolism",1,9
0.369350200905677,0.389588568078591,"Triacylglycerol synthesis",1,9
0.396664180113491,0.404738745432712,"ROS detoxification",1,7
0.39948239808943,0.404738745432712,"R group synthesis",1,6
0.39948239808943,0.404738745432712,"Thiamine metabolism",1,6
1,1,"Transport, extracellular",395,2652
