fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
2.16242161497487e-39,1.51369513048241e-37,"Fatty acid oxidation",15,961
1.36267543392718e-10,4.76936401874512e-09,"Fatty acid synthesis",2,239
1.03279046487587e-09,2.40984441804369e-08,"Peptide metabolism",3,242
4.54598582805415e-06,7.95547519909476e-05,"Sphingolipid metabolism",32,133
1.17722089539691e-05,0.000164810925355567,"Steroid metabolism",24,90
2.79260826385246e-05,0.000325804297449453,"Bile acid synthesis",38,185
0.00120134329042375,0.0120134329042375,"NAD metabolism",9,27
0.00179860013317629,0.0152044612424478,"Exchange/demand reaction",175,1787
0.00195485930260043,0.0152044612424478,"Phosphatidylinositol phosphate metabolism",11,40
0.00542737167826016,0.0379916017478211,"Eicosanoid metabolism",18,93
0.00741370979834124,0.0471781532621715,"Drug metabolism",49,573
0.0133597756698164,0.0759758835934913,"Tyrosine metabolism",4,93
0.0143521704353695,0.0759758835934913,"Cytochrome metabolism",5,15
0.0151951767186983,0.0759758835934913,"Transport, mitochondrial",39,453
0.0165959430273932,0.077447734127835,"Glycine, serine, alanine, and threonine metabolism",10,47
0.0209478088316351,0.0916466636384037,"Glycolysis/gluconeogenesis",9,42
0.028303101573877,0.115778417968063,"Transport, golgi apparatus",16,98
0.0297715931917876,0.115778417968063,"Chondroitin synthesis",1,45
0.0338036156098762,0.124539636457439,"Nucleotide interconversion",12,164
0.0362802288361998,0.126980800926699,"Blood group synthesis",9,47
0.0431287286794437,0.143762428931479,"Purine catabolism",7,34
0.0477675689911387,0.151987719517259,"Glycerophospholipid metabolism",13,165
0.0515572600200804,0.156913400061114,"Folate metabolism",10,59
0.0589884530810918,0.16567973363552,"Transport, nuclear",4,71
0.0640527667308105,0.16567973363552,"Glutathione metabolism",4,16
0.0644292032349686,0.16567973363552,"Methionine and cysteine metabolism",8,46
0.0689765284684372,0.16567973363552,"Cholesterol metabolism",23,242
0.0691917151848149,0.16567973363552,"Transport, endoplasmic reticular",26,211
0.0692730895517365,0.16567973363552,"Vitamin A metabolism",8,47
0.0753749861880094,0.16567973363552,"Aminosugar metabolism",6,32
0.0753811168033587,0.16567973363552,"Arginine and proline metabolism",7,40
0.0757393068048093,0.16567973363552,"Transport, lysosomal",8,105
0.097640537190585,0.200742240215925,"Transport, peroxisomal",18,154
0.100307365564795,0.200742240215925,"Starch and sucrose metabolism",2,42
0.104580712471554,0.200742240215925,"Miscellaneous",17,152
0.105087583685316,0.200742240215925,"Lysine metabolism",1,31
0.107328305667437,0.200742240215925,"Pentose phosphate pathway",2,41
0.108974358974359,0.200742240215925,"Vitamin B12 metabolism",1,1
0.125097267292157,0.218168796591812,"Inositol phosphate metabolism",5,65
0.127776555296485,0.218168796591812,"Urea cycle",6,40
0.127784580860918,0.218168796591812,"Glycosphingolipid metabolism",9,71
0.132479737763074,0.220799562938456,"Histidine metabolism",3,14
0.157622461111418,0.253588884827883,"Androgen and estrogen synthesis and metabolism",1,26
0.162009741349258,0.253588884827883,"Glutamate metabolism",3,16
0.163021425960782,0.253588884827883,"Phenylalanine metabolism",5,36
0.186370140944361,0.279245393952135,"Tryptophan metabolism",4,45
0.187493335939291,0.279245393952135,"Valine, leucine, and isoleucine metabolism",5,45
0.197515471209688,0.280883415865816,"Fructose and mannose metabolism",1,23
0.201185415036313,0.280883415865816,"Arachidonic acid metabolism",4,41
0.206642480661239,0.280883415865816,"Pyrimidine catabolism",4,34
0.208270307868532,0.280883415865816,"Citric acid cycle",3,20
0.212668872012689,0.280883415865816,"Beta-Alanine metabolism",2,10
0.212668872012689,0.280883415865816,"Oxidative phosphorylation",2,10
0.227184083132997,0.289431200296071,"Pyruvate metabolism",3,32
0.227410228804056,0.289431200296071,"Pyrimidine synthesis",1,21
0.247817233736493,0.309771542170616,"N-glycan degradation",2,12
0.261035859599366,0.320286651292978,"Alanine and aspartate metabolism",2,13
0.271421901758492,0.320286651292978,"Galactose metabolism",2,14
0.275922590032131,0.320286651292978,"N-glycan synthesis",1,18
0.275922590032131,0.320286651292978,"Ubiquinone synthesis",1,18
0.279106938983881,0.320286651292978,"Propanoate metabolism",2,15
0.286607519486678,0.323589134904314,"Heme synthesis",2,19
0.34087227085161,0.378746967612901,"CoA synthesis",1,14
0.368127494306798,0.39599303553812,"Dietary fiber binding",1,12
0.382337052474828,0.39599303553812,"ROS detoxification",1,7
0.386446908634169,0.39599303553812,"Vitamin C metabolism",1,10
0.39033599217329,0.39599303553812,"Linoleate metabolism",1,9
0.39033599217329,0.39599303553812,"Triacylglycerol synthesis",1,9
0.39033599217329,0.39599303553812,"Vitamin B2 metabolism",1,9
1,1,"Transport, extracellular",289,2652
