fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
9.233370280958e-71,5.90935697981312e-69,"Exchange/demand reaction",159,1787
2.50001899190269e-21,8.0000607740886e-20,"Fatty acid oxidation",91,961
3.94852869841988e-20,6.31764591747181e-19,"Cholesterol metabolism",2,242
3.94852869841988e-20,6.31764591747181e-19,"Peptide metabolism",2,242
7.46720986391701e-17,9.55802862581378e-16,"Drug metabolism",43,573
2.70793178999227e-16,2.88846057599175e-15,"Fatty acid synthesis",5,239
2.16678257675903e-10,1.98105835589397e-09,"Transport, mitochondrial",40,453
4.43949178572958e-07,3.55159342858367e-06,"Nucleotide interconversion",9,164
8.30623423121436e-07,5.90665545330799e-06,"Ubiquinone synthesis",13,18
6.35286988463707e-06,4.06583672616773e-05,"Tyrosine metabolism",3,93
1.29537505574746e-05,7.53672759707614e-05,"Transport, endoplasmic reticular",18,211
1.46607856660045e-05,7.81908568853574e-05,"Sphingolipid metabolism",8,133
5.34722182191815e-05,0.000263247843540586,"Transport, nuclear",2,71
6.73228521938657e-05,0.0003077616100291,"Folate metabolism",1,59
8.47512188712854e-05,0.000361605200517484,"Miscellaneous",12,152
0.000106516927445092,0.00042606770978037,"Glycerophospholipid metabolism",14,165
0.000718825319338792,0.00270616590809898,"Transport, golgi apparatus",7,98
0.000770751506442534,0.00274044980068456,"Inositol phosphate metabolism",3,65
0.000954833873684944,0.00321628252188613,"Chondroitin synthesis",1,45
0.00199891701136795,0.00633286827054351,"Pentose phosphate pathway",1,41
0.00207797240127209,0.00633286827054351,"Steroid metabolism",7,90
0.00354598966657985,0.0102124953754155,"Glycosphingolipid metabolism",5,71
0.00367011552553994,0.0102124953754155,"Vitamin D metabolism",7,13
0.00485982490950127,0.0129595330920034,"Tryptophan metabolism",2,45
0.00787776945498897,0.0193914325045882,"Glycolysis/gluconeogenesis",2,42
0.00787776945498897,0.0193914325045882,"Starch and sucrose metabolism",2,42
0.00883913688780284,0.0209520281784956,"Transport, lysosomal",11,105
0.0121344962970886,0.0277359915362025,"Vitamin A metabolism",3,47
0.0160748054698888,0.0354754327611339,"Valine, leucine, and isoleucine metabolism",3,45
0.0269019620774107,0.0573908524318094,"Pyrimidine catabolism",2,34
0.0346036855761473,0.071439866995917,"Methionine and cysteine metabolism",4,46
0.0452119254442411,0.0904238508884822,"Purine catabolism",10,34
0.066732295091547,0.125979463568989,"Transport, peroxisomal",25,154
0.0669265900210256,0.125979463568989,"Phosphatidylinositol phosphate metabolism",4,40
0.072405623970237,0.132398855259862,"Bile acid synthesis",36,185
0.082470412485411,0.145607288494686,"Pyruvate metabolism",3,32
0.0841792136609904,0.145607288494686,"Cytochrome metabolism",5,15
0.0964385383991088,0.162422801514289,"Glycine, serine, alanine, and threonine metabolism",11,47
0.102063576147045,0.163301721835272,"N-glycan synthesis",1,18
0.102063576147045,0.163301721835272,"O-glycan metabolism",1,18
0.104852751948348,0.163672588407178,"Eicosanoid metabolism",16,93
0.140343595379372,0.207291848569462,"Arachidonic acid metabolism",6,41
0.143965325416141,0.207291848569462,"Phenylalanine metabolism",5,36
0.146861543506355,0.207291848569462,"Pyrimidine synthesis",2,21
0.147123642478037,0.207291848569462,"Arginine and proline metabolism",6,40
0.148991016159301,0.207291848569462,"Blood group synthesis",8,47
0.16286713644353,0.221776526220978,"Urea cycle",7,40
0.179076507853413,0.235992291135444,"Aminosugar metabolism",6,32
0.180681597900575,0.235992291135444,"CoA synthesis",1,14
0.185143288084465,0.236983408748115,"Vitamin B12 metabolism",1,1
0.195246814698339,0.245015610601837,"NAD metabolism",5,27
0.206030830923852,0.253576407290895,"Alanine and aspartate metabolism",1,13
0.215934926129584,0.260751608911196,"Citric acid cycle",4,20
0.243622465721617,0.288737737151546,"Histidine metabolism",3,14
0.248193850123899,0.288807389235082,"Propanoate metabolism",3,15
0.258932623182937,0.295922997923356,"ROS detoxification",2,7
0.293341065950328,0.329365407382825,"Oxidative phosphorylation",1,10
0.300425940743369,0.331504486337511,"Beta-Alanine metabolism",2,10
0.324092147503969,0.340031105577935,"Linoleate metabolism",1,9
0.324092147503969,0.340031105577935,"Triacylglycerol synthesis",1,9
0.324092147503969,0.340031105577935,"Vitamin B2 metabolism",1,9
0.353615862168779,0.365022825464547,"Leukotriene metabolism",1,8
0.369047394456691,0.374905289606797,"Butanoate metabolism",1,3
1,1,"Transport, extracellular",491,2652
