fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
2.05402716902609e-22,1.47889956169879e-20,"Transport, golgi apparatus",42,98
4.52395941901933e-14,1.62862539084696e-12,"Biotin metabolism",12,12
9.68320685086011e-08,2.32396964420643e-06,"Chondroitin synthesis",16,45
1.88436986347045e-07,2.55364889122934e-06,"Glycosphingolipid metabolism",20,71
2.05454121429818e-07,2.55364889122934e-06,"Peptide metabolism",2,242
2.12804074269112e-07,2.55364889122934e-06,"Folate metabolism",18,59
5.92543240038229e-07,6.09473046896465e-06,"Fatty acid oxidation",45,961
1.72051100362608e-06,1.39367332451058e-05,"Drug metabolism",73,573
1.74209165563822e-06,1.39367332451058e-05,"Sphingolipid metabolism",27,133
2.48542911541411e-06,1.78950896309816e-05,"N-glycan synthesis",9,18
4.5309832353067e-06,2.96573448129166e-05,"Exchange/demand reaction",169,1787
9.91791837097914e-06,5.95075102258748e-05,"Steroid metabolism",20,90
1.08257851514342e-05,5.99581946848663e-05,"Fatty acid synthesis",4,239
1.64884711939089e-05,8.47978518543886e-05,"N-glycan metabolism",5,6
2.81563202955763e-05,0.000135150337418766,"Phosphatidylinositol phosphate metabolism",12,40
3.87271846886085e-05,0.000174272331098738,"Cholesterol metabolism",5,242
0.000417414762037235,0.00176787428627535,"Valine, leucine, and isoleucine metabolism",11,45
0.000499559872427288,0.00199823948970915,"Tyrosine metabolism",17,93
0.00163181548633633,0.00618372184295872,"O-glycan metabolism",6,18
0.00208100229376052,0.00749160825753786,"Transport, nuclear",13,71
0.00440967259320089,0.0151188774624031,"Phenylalanine metabolism",8,36
0.00495991434490341,0.0162324469469566,"Nucleotide interconversion",5,164
0.00716316303722049,0.0220713411031619,"Vitamin B6 metabolism",4,11
0.00747502090988425,0.0220713411031619,"Inositol phosphate metabolism",11,65
0.00766366010526454,0.0220713411031619,"Eicosanoid metabolism",14,93
0.0111729709720794,0.0309405349996046,"Heme synthesis",5,19
0.0116136589284582,0.0309697571425551,"Keratan sulfate degradation",1,76
0.0126364877122358,0.0324938255457493,"Transport, mitochondrial",26,453
0.0181812248985672,0.045139592851615,"Transport, lysosomal",14,105
0.0252494852751813,0.0605987646604352,"Vitamin B2 metabolism",3,9
0.028780377827355,0.0668447485022439,"Starch and sucrose metabolism",7,42
0.0318067423249284,0.0707439888208841,"CoA catabolism",2,4
0.0324243282095719,0.0707439888208841,"Pyrimidine catabolism",6,34
0.0354729668032144,0.0751192238185716,"Transport, peroxisomal",7,154
0.0500778260174368,0.103017242093013,"Bile acid synthesis",19,185
0.0523260362324015,0.104652072464803,"Transport, endoplasmic reticular",21,211
0.0727504082923502,0.137842878869716,"Galactose metabolism",3,14
0.0727504082923502,0.137842878869716,"Histidine metabolism",3,14
0.0789964625378367,0.145839623146775,"Purine catabolism",5,34
0.0845487553204115,0.152187759576741,"Glycerophospholipid metabolism",10,165
0.0899430970419889,0.157948853342029,"Blood group synthesis",6,47
0.095044806275329,0.16293395361485,"Glutathione metabolism",3,16
0.106986601069839,0.17914035527973,"C5-branched dibasic acid metabolism",2,8
0.122711217676522,0.200800174379764,"Miscellaneous",12,152
0.141200369633525,0.216705826785264,"Tryptophan metabolism",5,45
0.145949129270737,0.216705826785264,"Oxidative phosphorylation",2,10
0.145962663762173,0.216705826785264,"Methionine and cysteine metabolism",5,46
0.14992082956244,0.216705826785264,"Pyrimidine synthesis",3,21
0.150490157489767,0.216705826785264,"Glycine, serine, alanine, and threonine metabolism",5,47
0.150490157489767,0.216705826785264,"Vitamin A metabolism",5,47
0.197790172544827,0.273811501655431,"Alanine and aspartate metabolism",2,13
0.199239164037635,0.273811501655431,"Glycolysis/gluconeogenesis",2,42
0.201555688718581,0.273811501655431,"NAD metabolism",3,27
0.212567599229211,0.278950907953718,"CoA synthesis",2,14
0.213087499131312,0.278950907953718,"Urea cycle",2,40
0.231905333408861,0.298164000097106,"Pentose phosphate pathway",3,41
0.237840488780331,0.300430091090944,"Glutamate metabolism",2,16
0.261688076488435,0.319881517805358,"Androgen and estrogen synthesis and metabolism",1,26
0.262868165088718,0.319881517805358,"Aminosugar metabolism",2,32
0.267681877084101,0.319881517805358,"Lysine metabolism",2,31
0.271010730362873,0.319881517805358,"Citric acid cycle",2,20
0.296829398439547,0.34470510786528,"Fructose and mannose metabolism",1,23
0.351328993443607,0.389783221939284,"Tetrahydrobiopterin metabolism",1,18
0.356280738490946,0.389783221939284,"Taurine and hypotaurine metabolism",1,8
0.369132582452208,0.389783221939284,"Triacylglycerol synthesis",1,9
0.375110866575198,0.389783221939284,"Cytochrome metabolism",1,15
0.375110866575198,0.389783221939284,"Propanoate metabolism",1,15
0.377714173997845,0.389783221939284,"Beta-Alanine metabolism",1,10
0.377714173997845,0.389783221939284,"Vitamin C metabolism",1,10
0.384369566079016,0.389783221939284,"Dietary fiber binding",1,12
0.384369566079016,0.389783221939284,"N-glycan degradation",1,12
1,1,"Transport, extracellular",210,2652
