fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.32764520102903e-29,9.29351640720321e-28,"Heparan sulfate degradation",27,27
3.98051835980275e-22,1.39318142593096e-20,"Transport, golgi apparatus",44,98
2.19835275482193e-14,5.12948976125118e-13,"Cholesterol metabolism",59,242
2.69361326596235e-11,4.71382321543412e-10,"Biotin metabolism",11,12
1.50526488499533e-08,2.10737083899347e-07,"Sphingolipid metabolism",33,133
1.62957497660296e-07,1.90117080603679e-06,"Fatty acid synthesis",3,239
3.74191867597349e-07,3.74191867597349e-06,"Steroid metabolism",24,90
5.49891872614526e-07,4.58080950739778e-06,"Chondroitin synthesis",16,45
5.88961222379715e-07,4.58080950739778e-06,"Drug metabolism",82,573
7.40582548121038e-07,5.18407783684727e-06,"Exchange/demand reaction",192,1787
1.37612242656981e-06,8.30331972168111e-06,"Folate metabolism",18,59
1.42342623800248e-06,8.30331972168111e-06,"Glycosphingolipid metabolism",20,71
0.000217404357108902,0.00117063884597101,"Fatty acid oxidation",63,961
0.000744296230711918,0.00372148115355959,"Tyrosine metabolism",18,93
0.00140054537619549,0.00653587842224561,"Nucleotide interconversion",5,164
0.00186570373335515,0.00816245383342879,"Eicosanoid metabolism",17,93
0.00232577280234497,0.00957671153906751,"N-glycan degradation",5,12
0.00264245097864676,0.0102348353894471,"Phenylalanine metabolism",9,36
0.00277802674856422,0.0102348353894471,"Transport, lysosomal",18,105
0.00303592019636421,0.0106257206872747,"O-glycan metabolism",6,18
0.00886171451515712,0.0295390483838571,"Glutathione metabolism",5,16
0.0110817964182708,0.0352602613308616,"Transport, mitochondrial",30,453
0.0127677058453294,0.0388582351814374,"Miscellaneous",21,152
0.019471635873957,0.0567922712990413,"Pyrimidine catabolism",7,34
0.0209412196119553,0.0586354149134748,"Transport, endoplasmic reticular",26,211
0.0247413777176064,0.0666114015474019,"Bile acid synthesis",23,185
0.0302326294691218,0.075654012635312,"Methionine and cysteine metabolism",8,46
0.0302616050541248,0.075654012635312,"Glycerophospholipid metabolism",9,165
0.0343541784620444,0.0829238790463141,"Vitamin B2 metabolism",3,9
0.0549777062066148,0.126480381874493,"Chondroitin sulfate degradation",7,44
0.0560127405444183,0.126480381874493,"Vitamin B6 metabolism",3,11
0.0675595589549799,0.147786535214018,"Transport, peroxisomal",10,154
0.0805762935965045,0.161100986979098,"Alanine and aspartate metabolism",3,13
0.0805762935965045,0.161100986979098,"Vitamin D metabolism",3,13
0.0828267592278169,0.161100986979098,"Transport, nuclear",9,71
0.0828519361606791,0.161100986979098,"N-glycan metabolism",2,6
0.0934195369211462,0.176739664445412,"Galactose metabolism",3,14
0.106371847622022,0.195948140356356,"Propanoate metabolism",3,15
0.119335522777511,0.214191963959635,"Blood group synthesis",6,47
0.139147377915853,0.242288246162594,"Tryptophan metabolism",2,45
0.141911687038091,0.242288246162594,"Inositol phosphate metabolism",4,65
0.15999011596482,0.2666501932747,"Keratan sulfate degradation",6,76
0.166773853739762,0.267962285604263,"Valine, leucine, and isoleucine metabolism",5,45
0.171015786423366,0.267962285604263,"Oxidative phosphorylation",2,10
0.173625503096893,0.267962285604263,"Vitamin A metabolism",5,47
0.176089501968516,0.267962285604263,"Phosphatidylinositol phosphate metabolism",2,40
0.187708915156007,0.279566469381286,"Glycine, serine, alanine, and threonine metabolism",3,47
0.213088074658596,0.300684213304327,"Starch and sucrose metabolism",3,42
0.21726590797499,0.300684213304327,"Androgen and estrogen synthesis and metabolism",3,26
0.221451501003176,0.300684213304327,"Arginine and proline metabolism",3,40
0.221451501003176,0.300684213304327,"Urea cycle",3,40
0.2233654155975,0.300684213304327,"Purine catabolism",2,34
0.236028725823002,0.309204298306264,"Pyruvate metabolism",3,32
0.238529030121975,0.309204298306264,"Aminosugar metabolism",2,32
0.259979786351733,0.33088336444766,"Glutamate metabolism",2,16
0.270455679341913,0.332828834483204,"NAD metabolism",2,27
0.271017765222037,0.332828834483204,"CoA catabolism",1,4
0.282799075061245,0.337590825554255,"Citric acid cycle",2,20
0.284540838681444,0.337590825554255,"Pyrimidine synthesis",2,21
0.314181419677746,0.366544989624037,"Heme synthesis",1,19
0.327074840694757,0.375331784403819,"Tetrahydrobiopterin metabolism",1,18
0.361585810448059,0.391399182609013,"Cytochrome metabolism",1,15
0.37079236849834,0.391399182609013,"CoA synthesis",1,14
0.372432740490286,0.391399182609013,"Leukotriene metabolism",1,8
0.372432740490286,0.391399182609013,"Taurine and hypotaurine metabolism",1,8
0.381430146427812,0.391399182609013,"Triacylglycerol synthesis",1,9
0.383619381392564,0.391399182609013,"Dietary fiber binding",1,12
0.385807765714599,0.391399182609013,"Beta-Alanine metabolism",1,10
0.385807765714599,0.391399182609013,"Vitamin C metabolism",1,10
1,1,"Transport, extracellular",238,2652
