fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.04831935711422e-26,7.65273130693383e-25,"Heparan sulfate degradation",27,27
2.11379953961449e-11,5.69291289327071e-10,"Steroid metabolism",34,90
2.33955324380988e-11,5.69291289327071e-10,"Transport, endoplasmic reticular",57,211
3.70991624860881e-11,6.77059715371108e-10,"Fatty acid oxidation",60,961
2.53688862897279e-08,3.70385739830028e-07,"Fatty acid synthesis",5,239
1.00834774908416e-07,1.22682309471906e-06,"Cholesterol metabolism",6,242
4.2787850946713e-07,4.16549901786593e-06,"Exchange/demand reaction",165,1787
4.564930430538e-07,4.16549901786593e-06,"Sphingolipid metabolism",35,133
8.70932518107464e-07,7.06423042464943e-06,"Transport, mitochondrial",82,453
0.000214675461442254,0.00156713086852845,"Phosphatidylinositol phosphate metabolism",13,40
0.000238784837996645,0.00158466301579591,"Transport, lysosomal",2,105
0.000409954126848337,0.00249388760499405,"Peptide metabolism",13,242
0.00110670091416967,0.00611418720829587,"Vitamin A metabolism",13,47
0.00117258384816633,0.00611418720829587,"Glycosphingolipid metabolism",17,71
0.00175917078273261,0.00856129780929871,"Tyrosine metabolism",20,93
0.00192754245072,0.00879441243141,"N-glycan metabolism",4,6
0.00322769219356305,0.0138600900076531,"Arachidonic acid metabolism",11,41
0.00650431946321789,0.0263786289341614,"Drug metabolism",51,573
0.0114143285616462,0.0438550518421142,"Squalene and cholesterol synthesis",3,5
0.0128441243891574,0.0468810540204246,"Protein formation",2,2
0.0202283725040405,0.0703176758473789,"Glycine, serine, alanine, and threonine metabolism",1,47
0.0221086774526445,0.0708307307509826,"Folate metabolism",2,59
0.022316531606474,0.0708307307509826,"Keratan sulfate degradation",14,76
0.0404831545425672,0.123136261733642,"Arginine and proline metabolism",1,40
0.0491526293171037,0.143525677605943,"Transport, nuclear",4,71
0.0523581047554501,0.146442235585568,"Glycerophospholipid metabolism",14,165
0.054163566586443,0.146442235585568,"Nucleotide interconversion",14,164
0.0605272204153858,0.149011905951715,"Blood group synthesis",2,47
0.0610063903728663,0.149011905951715,"Miscellaneous",21,152
0.0612377695691979,0.149011905951715,"Phenylalanine metabolism",7,36
0.0635330390775899,0.149610059763357,"Chondroitin sulfate degradation",8,44
0.0753474567576231,0.171886385728328,"Vitamin C metabolism",3,10
0.0798611645842618,0.176662576201549,"Transport, peroxisomal",20,154
0.0883306757016473,0.184170318066908,"Bile acid synthesis",19,185
0.0896731029809593,0.184170318066908,"Hyaluronan metabolism",2,5
0.090823718498749,0.184170318066908,"Pentose phosphate pathway",7,41
0.096716302916094,0.189058027397533,"Glycolysis/gluconeogenesis",7,42
0.100274421873293,0.189058027397533,"Eicosanoid metabolism",8,93
0.101003603678134,0.189058027397533,"Transport, golgi apparatus",13,98
0.113499245852187,0.202084023102675,"Alkaloid synthesis",1,1
0.113499245852187,0.202084023102675,"Nucleotide sugar metabolism",1,1
0.11706191565083,0.203464758155014,"Citric acid cycle",4,20
0.125390614386627,0.212872438377297,"Vitamin D metabolism",3,13
0.141567122391654,0.234872725786153,"Histidine metabolism",3,14
0.147323618029151,0.238991647025068,"Aminosugar metabolism",5,32
0.163120269927461,0.258864776189232,"Methionine and cysteine metabolism",6,46
0.167580991384546,0.259617025511381,"Urea cycle",3,40
0.171360296881274,0.259617025511381,"Glutamate metabolism",3,16
0.175222536078235,0.259617025511381,"C5-branched dibasic acid metabolism",2,8
0.177819880487247,0.259617025511381,"Valine, leucine, and isoleucine metabolism",4,45
0.187391837706033,0.268227532402753,"Tryptophan metabolism",5,45
0.196421729815048,0.275209117675756,"Tetrahydrobiopterin metabolism",3,18
0.199809359408426,0.275209117675756,"Vitamin B2 metabolism",2,9
0.208695105166076,0.276995321402246,"Purine catabolism",4,34
0.208695105166076,0.276995321402246,"Pyrimidine catabolism",4,34
0.213834398627102,0.278748412496044,"Pyrimidine synthesis",1,21
0.221339519304615,0.278792541677223,"Pyruvate metabolism",3,32
0.221506402976424,0.278792541677223,"Beta-Alanine metabolism",2,10
0.226320968613114,0.280024249300972,"Lysine metabolism",3,31
0.238550268256096,0.286241209097184,"NAD metabolism",3,27
0.239187859656551,0.286241209097184,"Androgen and estrogen synthesis and metabolism",3,26
0.246436671852679,0.29015930718138,"Heme synthesis",1,19
0.263474845214433,0.305296249216724,"N-glycan synthesis",1,18
0.267746514088562,0.305398367632266,"Alanine and aspartate metabolism",2,13
0.276979152505409,0.311068894352229,"Galactose metabolism",2,14
0.287734841668867,0.318252173361019,"O-glycan metabolism",2,18
0.298231105045828,0.324938368184261,"Glutathione metabolism",1,16
0.315482759950998,0.338680021712101,"Propanoate metabolism",1,15
0.362487588304515,0.383501361539559,"Dietary fiber binding",1,12
0.373378609966709,0.383896317289715,"R group synthesis",1,6
0.373378609966709,0.383896317289715,"Thiamine metabolism",1,6
0.38443666827686,0.389776066447372,"Oxidative phosphorylation",1,10
1,1,"Transport, extracellular",301,2652
