fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.70903497194822e-21,1.0596016826079e-19,"Fatty acid oxidation",13,961
4.77182976396122e-19,1.47926722682798e-17,"Steroid metabolism",35,90
1.1930281560196e-07,2.46559152244051e-06,"Sphingolipid metabolism",27,133
2.88977685558919e-07,4.47915412616325e-06,"Fatty acid synthesis",1,239
2.28561462285842e-06,2.83416213234444e-05,"Peptide metabolism",2,242
4.32821662390319e-05,0.000447249051136663,"Phosphatidylinositol phosphate metabolism",11,40
0.000194875199082612,0.00172603747758885,"Drug metabolism",22,573
0.0014184853745508,0.0105854452504262,"Folate metabolism",11,59
0.0015365968911909,0.0105854452504262,"NAD metabolism",7,27
0.00237738966399118,0.0147398159167453,"Transport, endoplasmic reticular",25,211
0.00308455144997652,0.0173856536271404,"Glutathione metabolism",5,16
0.00565666048817641,0.0292260791889115,"Glycosphingolipid metabolism",11,71
0.00737814893489105,0.0351880949202496,"Bile acid synthesis",21,185
0.00803863692304705,0.0355996778020655,"Transport, mitochondrial",21,453
0.00946665771398881,0.0357040388764399,"Transport, golgi apparatus",13,98
0.00976332059213744,0.0357040388764399,"Vitamin A metabolism",8,47
0.0097898171112819,0.0357040388764399,"Exchange/demand reaction",112,1787
0.0163349597210765,0.0562648612614857,"Glycolysis/gluconeogenesis",7,42
0.0175433863717414,0.0572468397393666,"Glutamate metabolism",4,16
0.0286914618861663,0.0889435318471156,"Glycerophospholipid metabolism",6,165
0.0365839397718928,0.108009726945588,"Urea cycle",6,40
0.0390639965287795,0.110089444762924,"Cholesterol metabolism",22,242
0.0545320797874893,0.146999519427145,"Valine, leucine, and isoleucine metabolism",6,45
0.0584300671554979,0.150944340151703,"Methionine and cysteine metabolism",6,46
0.0638976655556383,0.158466210577983,"Propanoate metabolism",3,15
0.0690048930418325,0.164550129561293,"Transport, peroxisomal",7,154
0.102588240901504,0.210729745454758,"Nucleotide interconversion",9,164
0.106563565925387,0.210729745454758,"Inositol phosphate metabolism",2,65
0.110375201745198,0.210729745454758,"Miscellaneous",12,152
0.111412553080695,0.210729745454758,"Aminosugar metabolism",4,32
0.111412553080695,0.210729745454758,"Pyruvate metabolism",4,32
0.111716418723988,0.210729745454758,"Eicosanoid metabolism",4,93
0.112162606451726,0.210729745454758,"Citric acid cycle",3,20
0.121885873182351,0.214615832046023,"Beta-Alanine metabolism",2,10
0.121885873182351,0.214615832046023,"Oxidative phosphorylation",2,10
0.12461564441382,0.214615832046023,"Pyrimidine catabolism",4,34
0.130614746457603,0.218867953523552,"Chondroitin synthesis",1,45
0.137261046667983,0.223952234037235,"Phenylalanine metabolism",4,36
0.143278443452199,0.227775987026573,"Transport, nuclear",3,71
0.147109593468112,0.228019869875573,"Transport, lysosomal",6,105
0.154012890098301,0.22878082152236,"Tyrosine metabolism",7,93
0.154980556515147,0.22878082152236,"N-glycan degradation",2,12
0.15917380636201,0.229506418475456,"Pentose phosphate pathway",1,41
0.178694167217225,0.251796326533363,"Chondroitin sulfate degradation",4,44
0.185233012896455,0.25520992887956,"Galactose metabolism",2,14
0.21684740999518,0.29227259608046,"Tryptophan metabolism",2,45
0.230729798146803,0.298025989272954,"Blood group synthesis",3,47
0.230729798146803,0.298025989272954,"Glycine, serine, alanine, and threonine metabolism",3,47
0.24339901878082,0.302110100689286,"Heme synthesis",2,19
0.245229561571045,0.302110100689286,"Arginine and proline metabolism",2,40
0.248509921534735,0.302110100689286,"Lysine metabolism",1,31
0.25900888304498,0.308818283630553,"Pyrimidine synthesis",2,21
0.271882596714754,0.318051339553109,"Purine catabolism",2,34
0.299182158992762,0.343505441806505,"Androgen and estrogen synthesis and metabolism",1,26
0.328647007345782,0.370474808280699,"Fructose and mannose metabolism",1,23
0.336222487311534,0.37224632523777,"C5-branched dibasic acid metabolism",1,8
0.352070341880823,0.382953705203702,"Vitamin B2 metabolism",1,9
0.364103519160392,0.38785599242513,"Vitamin C metabolism",1,10
0.378482074430435,0.38785599242513,"Dietary fiber binding",1,12
0.381600250611822,0.38785599242513,"Alanine and aspartate metabolism",1,13
0.381600250611822,0.38785599242513,"Vitamin D metabolism",1,13
1,1,"Transport, extracellular",184,2652
