fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.25228180084255e-22,8.01460352539232e-21,"Folate metabolism",30,59
2.08692491575385e-13,6.67815973041231e-12,"Starch and sucrose metabolism",19,42
5.56232909745764e-10,1.18663020745763e-08,"Transport, golgi apparatus",24,98
1.83514771807151e-08,2.93623634891442e-07,"Steroid metabolism",21,90
5.8593568177572e-07,7.49997672672921e-06,"Vitamin B6 metabolism",7,11
9.78449016372555e-07,1.04367895079739e-05,"C5-branched dibasic acid metabolism",6,8
3.10665358323181e-06,2.84036899038337e-05,"Peptide metabolism",1,242
1.47653252246668e-05,0.000118122601797334,"Glycerophospholipid metabolism",24,165
5.59779420978326e-05,0.000398065366029032,"Eicosanoid metabolism",16,93
0.000167101435000583,0.00106944918400373,"Fatty acid synthesis",3,239
0.000718150077653573,0.00417832772452988,"Miscellaneous",1,152
0.00107611629468389,0.00573928690498076,"Vitamin A metabolism",9,47
0.00184241528488201,0.00907035217172683,"Tyrosine metabolism",13,93
0.00348370204362396,0.0159254950565667,"Protein formation",2,2
0.00493832400765686,0.0210701824326693,"Transport, lysosomal",13,105
0.00848162159582537,0.0339264863833015,"Fatty acid oxidation",45,961
0.0101110901789533,0.0380652806737067,"Pyrimidine catabolism",6,34
0.0108936628347471,0.038733023412434,"Tryptophan metabolism",7,45
0.0130028374433153,0.0437990313880095,"Phenylalanine metabolism",6,36
0.0143558351716587,0.0459386725493078,"Transport, nuclear",9,71
0.0157218822756285,0.0471419732338635,"O-glycan metabolism",4,18
0.0162050532991406,0.0471419732338635,"Drug metabolism",25,573
0.0250620394414736,0.0697378488806222,"Transport, mitochondrial",34,453
0.0319712684781613,0.0852567159417635,"Transport, peroxisomal",14,154
0.0337228948416939,0.0863306107947364,"Fructose and mannose metabolism",4,23
0.0541723091272266,0.133347222467019,"Exchange/demand reaction",110,1787
0.0592006033182506,0.140327356013631,"Lipoate metabolism",1,1
0.0678685527624434,0.147306242424619,"Glycosphingolipid metabolism",7,71
0.0679194490508918,0.147306242424619,"Taurine and hypotaurine metabolism",2,8
0.0690498011365399,0.147306242424619,"Sphingolipid metabolism",11,133
0.0727844001905541,0.150264568135337,"Chondroitin sulfate degradation",5,44
0.0771101601712042,0.154220320342408,"Valine, leucine, and isoleucine metabolism",5,45
0.0814696865674414,0.154740190258104,"Methionine and cysteine metabolism",5,46
0.0822057260746179,0.154740190258104,"Vitamin B2 metabolism",2,9
0.0966502926820749,0.168702698030677,"Bile acid synthesis",13,185
0.0967309149042987,0.168702698030677,"Oxidative phosphorylation",2,10
0.097531247298985,0.168702698030677,"Nucleotide interconversion",7,164
0.103768704012741,0.174768343600405,"Transport, endoplasmic reticular",14,211
0.12518768156531,0.205436195389226,"Arginine and proline metabolism",4,40
0.139844549961006,0.223751279937609,"Alanine and aspartate metabolism",2,13
0.160048801438726,0.248236643336131,"Glycine, serine, alanine, and threonine metabolism",4,47
0.166760615748817,0.248236643336131,"Blood group synthesis",1,47
0.166783994741463,0.248236643336131,"Propanoate metabolism",2,15
0.197395769872487,0.287121119814526,"CoA catabolism",1,4
0.202628519095243,0.288182782713235,"Tetrahydrobiopterin metabolism",2,18
0.216101445397751,0.292553551278774,"Urea cycle",3,40
0.219415163459081,0.292553551278774,"Arachidonic acid metabolism",3,41
0.219415163459081,0.292553551278774,"Pentose phosphate pathway",3,41
0.231835402114497,0.302805423169955,"Pyrimidine synthesis",2,21
0.264245459400908,0.332727107858405,"Glycolysis/gluconeogenesis",2,42
0.269086001780606,0.332727107858405,"NAD metabolism",2,27
0.280414165455951,0.332727107858405,"Aminosugar metabolism",2,32
0.280414165455951,0.332727107858405,"Pyruvate metabolism",2,32
0.280738497255529,0.332727107858405,"Purine catabolism",2,34
0.327768984733412,0.381403909507971,"Triacylglycerol synthesis",1,9
0.335526989874583,0.383459416999523,"Androgen and estrogen synthesis and metabolism",1,26
0.37112592105036,0.386472229971554,"Vitamin D metabolism",1,13
0.372521842713892,0.386472229971554,"Citric acid cycle",1,20
0.376048015493999,0.386472229971554,"CoA synthesis",1,14
0.378820587358301,0.386472229971554,"N-glycan synthesis",1,18
0.379082303066219,0.386472229971554,"Purine synthesis",1,15
0.380433601378249,0.386472229971554,"Glutamate metabolism",1,16
0.380433601378249,0.386472229971554,"Glutathione metabolism",1,16
1,1,"Transport, extracellular",157,2652
