Reaction,fc,pval
10FTHFtm,-2.3449555428123317,0
2AMADPTm,-0.8880889400053301,0
2HBO,-2.906319325321886,0
34DHOXPEGOX,-1.0806857195463497,0
34DHOXPEGt,-1.0806857195463493,0
3MOX4HOXPGALDOX_NADP_,-1.2320160639332036,0
ACALDtm,0.9335161017478207,0
ACETONEt2,-1.2328624569322222,0
ACETONEt2m,-1.2328624569322222,0
ADK1m,-2.0834613190981064,0
ADK3m,2.582694617648612,0
ALDD2xm,-0.9335161017478074,0
AMY1e,0.849919360271325,0
ARACHCPT1,-0.8709983357075334,0
ARACHCPT2,-0.8709983357075347,0
ASPCTr,0.9710056649501235,0
ATPH1e,-0.9490990449941804,0
BILGLCURtr,-0.9519632986040353,0
BILIRED,-0.9814416012403743,0
BTNt2,0.837530875381423,0
C160CPT1,1.2296723570253465,0
CDIPTr,-0.9598488397172678,0
CHOLPtg,0.9100376893788497,0
CITtam,1.047064982593936,0
CSNAT2m,1.241248913582053,0
CSNAT2x,-0.9434889540101299,0
CSNATp,1.474267703776599,0
CSNATr,-0.9064970830841103,0
CYSGLNNaEx,0.8881060213693059,0
CYSGLYexR,4.2242332612207765,0
CYStec,1.2239920322114208,0
CYTK10,1.1545131101170554,0
CYTK11n,-0.9900074571555851,0
CYTK12,1.8658019133328214,0
CYTK12n,-0.9851549298314939,0
CYTK3n,1.9781765576410686,0
CYTK4n,-2.571531179914025,0
CYTK6n,-1.573777842923252,0
DADNt4,1.1638977922356972,0
DCK1n,-17.556488611033473,0
DCK2n,1.1269755892726554,0
DHCRD1,-0.8822691321713606,0
DINt,-1.1321451461547087,0
DMNONCOACRNCPT1,1.0446260280177937,0
DURAD,30.53706656633084,0
EHGLATm,0.8269763555297027,0
EICOSTETt,2.1284808493105705,0
ELAIDCPT1,-0.8758702833438918,0
ESTRONESt,-0.9712970794385359,0
ESTRONEtr,-0.9097733995270079,0
EX_2hb[e],2.906319325321886,0
EX_34dhoxpeg[e],-1.0806857195463497,0
EX_5mthf[e],-1.9618221889217209,0
EX_creat[e],1.239994614308987,0
EX_dag_hs[e],-1.1200301967701183,0
EX_gq1b_hs[e],-0.8422707956390557,0
EX_hista[e],-0.9717241544617006,0
EX_ksi[e],-0.8965563262539696,0
EX_ksi_deg1[e],0.9108619905301544,0
EX_leuktrC4[e],-2.8353274461389644,0
EX_pe_hs[e],-0.9312190754351284,0
EX_s2l2fn2m2masn[e],0.9873406507732307,0
EX_strch1[e],-0.849919360271325,0
EX_ump[e],-0.9073143000927748,0
FAOXC183803m,-0.882563836942382,0
FATP2t,0.8577899966734068,0
FATP6t,-4.236654447023105,0
FE3R2e,-0.8698696301543267,0
FOLt2,-2.615341723024926,0
FPGS4,-0.8220529493572757,0
FPGS5,-0.8220529493572757,0
FPGS6,-0.8220529493572757,0
FUCASE2e,0.9108619905301544,0
FUCASEe,-0.9872821344763968,0
FUMm,1.9890360504664182,0
FUMSO4tm,-1.6338310579625028,0
FUMtm,-5.199590780378298,0
GACMTRc,5.614778105732731,0
