Reaction,fc,pval
10FTHFtm,2.118160168462525,0
2AMADPTm,0.8432313021770336,0
ACONTm,0.8391375598617009,0
ADNt,-0.8270773324357406,0
AKGMALtm,48.49743011063065,0
ALAASNNaEx,0.8490120253667011,0
ALDD21,-0.9894774595674466,0
AMPDA,-0.8273041490732367,0
AMY1e,-0.8247020056708223,0
ARACHCPT1,0.8415804411823049,0
ARACHCPT2,0.8415804411823062,0
ASNSERNaEx,0.8510571795161165,0
ASNt4,0.8449305960303617,0
ASPCTr,-0.95343671876761,0
ASPTAm,-1.8029674171838537,0
BILIRED,0.9369038632330953,0
BTNt2,13.602264460029945,0
C160CPT1,-1.4853465211041852,0
C161CPT1,0.8619462330898022,0
C161CPT2,0.9837249561855806,0
C161CRNt,0.9837249561855806,0
C181CPT2,-1.684592331855003,0
C204CPT1,-0.9349720553339145,0
CDIPTr,0.8234788695630474,0
CHOLK,-0.8960183976331679,0
CITtam,-2.3443597191968713,0
CREATt4_2_r,1.636398222512657,0
CSNAT2x,-1.0523874291689788,0
CYSALANaEx,0.9056927180230101,0
CYSASNNaEx,0.8699067944301013,0
CYSGLUexR,3.3265668843767897,0
CYSGLYexR,0.8222588616540635,0
CYStec,-0.9254721070441926,0
CYTDt,-0.8210635934428996,0
CYTK11,0.9341056747501082,0
CYTK11n,-1.0209502991995723,0
CYTK12n,0.990097229863834,0
CYTK14,-30.13439970477115,0
CYTK14n,2.727714573993078,0
CYTK4n,1.7296970568814487,0
CYTK6n,1.950653924716909,0
CYTK7n,-73.8013377406192,0
CYTK8,0.8848795388010546,0
CYTK9n,-1.0441250638919757,0
DADNt4,-1.1656144211855841,0
DASCBR,-0.9238891641580996,0
DCK1m,1.1436737640137544,0
DCK2n,-1.3250869098839897,0
DCSPTN1CRNt,2.5611191950368846,0
DHAAt1r,-1.0364415123294863,0
DINt,-0.8542806572014217,0
DMNONCOACRNCPT1,0.9660481867058185,0
DURAD,-3.7578554393434183,0
EICOSTETCRNt,-1.2695882603019044,0
EICOSTETt,-1.378965533348182,0
ESTRONESt,0.981455130057804,0
EX_atp[e],0.85800180274632,0
EX_creat[e],-1.115146109551417,0
EX_dag_hs[e],1.2554915182896156,0
EX_dheas[e],0.9451976065256639,0
EX_elaid[e],-0.938739279250307,0
EX_gthox[e],-0.8764508258719933,0
EX_leuktrC4[e],6.979527817248043,0
EX_lnlnca[e],-1.059604460393755,0
EX_strch1[e],0.8247020056708223,0
EX_ump[e],0.8401073405889157,0
FATP6t,2.120498060672813,0
FATP8t,-1.0211218530783233,0
FUMm,-2.0553633931689346,0
FUMTSULtm,2.2593685325791606,0
G6PDH2rer,-3.3085975542619925,0
GACMTRc,-1.7581921136035883,0
GALGLUSIDEtl,-6.834611022062386,0
GALt1r,-1.5290886783515418,0
GBAl,-0.8771355120557337,0
GLCt1r,-1.110931686084599,0
GLNASNNaEx,0.8208079420208347,0
GLPASE2,0.8613229935691247,0
GLUDxm,9.292668420495811,0
GLUNm,0.8318136141362813,0
GLUt2m,-2.2235100058287487,0
GTHPe,-0.8764508258719933,0
H2O2tp,27.736697897829707,0
HDCAter,-0.8916701145777726,0
HPDCACRNCPT1,-1.0351806767392508,0
HPDCACRNCPT2,-1.0351806767392513,0
HSD3B7P,0.9215697930861094,0
INSt,-1.0522090813294507,0
IPDPtx,-0.855815734903524,0
KCCt,-2.5358427138764426,0
LEUt5m,1.7881823907821697,0
LEUTAm,1.7881823907821697,0
LEUtec,-2.4045527737221093,0
LNELDCCRNt,-6.533059431131802,0
LNLNCAt,2.664134144772059,0
LNLNCGCPT2,1.9363326660249542,0
LNLNCGt,1.081286204925436,0
MALTSULtm,-2.8863147998842287,0
METLEUex,-0.8325320117450363,0
MINOHPtn,0.8737994498345617,0
MTHFCm,-1.888921517706566,0
MTHFD2m,-2.3517076397953116,0
NDPK1m,2.864306955118465,0
NDPK3n,2.9035947909522153,0
NDPK4n,121.86625328511407,0
NDPK8m,-0.8642300860835346,0
NTD4e,-0.8709862224692331,0
O2tp,-1.9660737064816403,0
ORNt3m,1.2890739962027336,0
ORNTArm,-1.5549406020671646,0
PGESr,-2.2023039007256178,0
PIPLC,0.91759544511999,0
PMI12346PHn,-0.8737994498345617,0
PPMI12346Ptn,-0.8737994498345617,0
PRISTANALtx,-0.9894774595674466,0
PROSTGE2t,1.0537026745304414,0
PSSA1_hs,-2.914022181808133,0
PTDCAt,10.012790954284595,0
SCP22x,-0.9660481867058185,0
SERGLNNaEx,0.9781409822642785,0
SO4OXAtex2,-0.8410168605996705,0
