Reaction,fc,pval
34DHOXPEGOX,1.171832365380901,0
34DHOXPEGt,1.171832365382324,0
3MOX4HOXPGALDOX_NADP_,1.7599948202461573,0
ACACt2m,48.502524433176475,0
ACETONEt2,3.6875776417308113,0
ACETONEt2m,3.6875776417308113,0
ADK1m,1.7665988542168107,0
ADNt,0.8841636874820951,0
ALDD21,0.9927722545641516,0
ALDD2xm,0.9322797847347226,0
AMETt2m,1.1511423379610926,0
AMPDA,0.9138953745071727,0
ARGDCm,0.9052455865446062,0
ARGtm,0.8688097171636326,0
ASPTAm,2.7654573726882576,0
C160CPT1,1.360829998196287,0
C160CRNt,1.5822436628779208,0
C204CPT1,0.8509685580332236,0
CERT1rt,0.8748636354114507,0
CERT2rt,2.18869698729993,0
CHOLK,0.8739678092699693,0
CYSSERNaEx,0.9838150286096925,0
CYStec,0.9260081022226768,0
CYTK13,1.3228866943354631,0
CYTK13n,0.8835183118054132,0
CYTK14,2.170401766143082,0
CYTK7n,1.901804255511784,0
CYTK9,1.1830191064508464,0
CYTK9n,1.0967694178825889,0
D3AIBTm,0.919629577118751,0
DCK1n,4.19815592833302,0
DDPGAm,0.8290168744249438,0
DHAAt1r,2.152304132191378,0
DHCRD1,0.8317514941016427,0
DHCRD2,0.8742209417359779,0
DINt,6.756693340640221,0
DUDPtn,0.9608712827130197,0
EHGLAT2m,0.8477713194509119,0
EICOSTETt,2.3894974714978177,0
EX_34dhoxpeg[e],1.171832365380901,0
EX_elaid[e],0.9026581777116602,0
EX_hista[e],0.886925797097787,0
EX_lnlnca[e],1.0136103717094254,0
EX_oxa[e],0.8929941372373482,0
FATP6t,0.9660696640278997,0
FATP8t,1.0201565094956555,0
FOLt2,3.597777882320131,0
FUCASEe,0.9824623081492666,0
FUMm,2.167323757666953,0
FUMSO4tm,1.3130760940898676,0
GALASE19ly,0.839336394545006,0
H6MTer_U,0.8214954985148918,0
HPDCACRNCPT1,3.295674834277316,0
HPDCACRNCPT2,3.295674834315512,0
INSt,1.0653449958728372,0
IPDPtx,0.9446243083318672,0
KCCt,2.1109654556080555,0
LEUtec,50.076740063085296,0
LNLNCGCPT1,1.449124606427544,0
M4CET3er,0.8214954985148918,0
METt4,0.9026356789686095,0
METtec,1.1438829012048317,0
MMEm,1.0437433277503978,0
NAGLCAly,0.839336394545006,0
NDPK6m,1.061804256855652,0
NDPK6n,0.9608712827130197,0
O2ter,10.871052102663366,0
O2tp,1.6012270445880692,0
ORNTArm,1.792438361277936,0
PAIL_HStn,0.9426670122820084,0
PGESr,13.666420603349518,0
PHEtec,8.230272005733399,0
PI45P5P,0.8285752947692716,0
PIter,1.8182782613952715,0
PRISTANALtx,0.9927722545641516,0
PSSA1_hs,2.3664252780295434,0
SO4OXAtex2,0.9001901134138214,0
STS1,0.943824415990962,0
SUCOASm,0.8549778670402166,0
TETPENT6CPT1,1.596023634987301,0
TETPENT6CPT2,1.596023634987301,0
TETPENT6CRNt,1.596023634987301,0
TETTET6CPT1,0.9295706978061113,0
TETTET6CPT2,0.9295706978061113,0
TETTET6CRNt,0.9295706978061113,0
TSTSTERONEtr,1.1247307699955464,0
UDPtl,1.0610884512524117,0
UMPK6n,2.0040946116393883,0
VALtec,4.435424609788606,0
EX_ahdt[e],0.9640972991744009,0
r0317,1.5545199567686674,0
r0438,0.8756563096361223,0
r0488,1.2342712317458333,0
r0571,1.0432547030087598,0
r0616,0.9644421271195439,0
r0638,12.1805016816497,0
r0722,74.2579718389762,0
r0726,1.1709029940705729,0
r0735,1.6164817910458509,0
r0821,1.1667184500373304,0
r0830,10.095948634839779,0
r0836,0.835140374294272,0
r0841,1.4903016832420921,0
r1002,0.8756563096361223,0
r1318,0.8756563096361223,0
r1546,2.1988407563038534,0
r1549,2.044129579330905,0
r1551,0.8981681885515491,0
r1553,7.929973071243603,0
r1559,3.4741752381507656,0
r1560,1.538919890291777,0
r1561,1.2449022183832974,0
r1562,4.222708468652946,0
r1565,1.2013283462928426,0
r1573,1.1926375256652915,0
r1583,2.5040494767157724,0
r1585,5.079003425082398,0
r1590,0.9835604323853785,0
r1593,1.1622044190021048,0
r1600,1.4326247168218427,0
r1602,1.4265716695824,0
r1604,1.4430624177870388,0
r1605,14.42240511335455,0
r1614,9.666911717598133,0
r1625,3.0918110666728227,0
r1634,25.76414293035661,0
r1636,2.2654140052843874,0
r1641,18.79304753998587,0
r1642,42.709939520143,0
r1644,1.4653286058409656,0
r1647,0.8277089607623882,0
r1649,7.899872809435732,0
r1651,3.039010856568609,0
r1652,0.9622214743775998,0
r1654,1.6774805821915884,0
r1657,2.2517241762395095,0
r1661,59.55951730168425,0
r1662,0.8872487118904647,0
r1665,0.9028883375798392,0
r1668,1.0873153931053061,0
r1671,1.2454995338532526,0
r1705,0.8310923435522375,0
r1706,0.8520895569298998,0
r1707,0.8355954321976153,0
r1730,0.9533024064454512,0
r1733,0.9418437372870687,0
r1736,0.9301975910697129,0
r1737,0.8642799005843327,0
r1748,0.9673935507267207,0
r1770,0.9359330434048523,0
r1771,0.9840167685636722,0
r1773,0.8598402307177694,0
r1780,0.8775706271245959,0
r1809,0.8962895303966699,0
r1843,0.946197774404144,0
r1846,0.969837123689254,0
r1856,0.9736424025386122,0
r1859,0.8705666252921328,0
r1861,0.8449869754117652,0
r1883,0.8919868264977255,0
r1887,0.8837813737994089,0
r1893,0.9612103309971782,0
r1897,0.8829145564541984,0
r1903,0.9007542672850138,0
r1906,0.8437323052588507,0
r1909,0.8748275920742704,0
r1916,0.9704564611933472,0
r1919,0.9057741945920322,0
r1923,0.9109326991688561,0
r1933,0.9042841254121834,0
r1938,0.9899996757704173,0
r1940,0.8622363548173151,0
r1941,0.8498037243035707,0
r1943,0.8815504682655563,0
r1969,0.8716077992950138,0
r1989,0.8700325320304428,0
r1991,0.8258654151384448,0
r2080,8.344363830192941,0
r2087,1.0721290998229436,0
r2090,2.4420637622406276,0
r2094,2.4467963236556876,0
r2095,3.7153931478654725,0
r2096,2.79774963123972,0
r2098,20.311094335411017,0
r2104,3.125994008314556,0
r2108,77.00733832624817,0
r2109,1.8983862487514427,0
r2112,5.243018137365358,0
r2118,2.0432013584243665,0
r2119,1.2628656419980193,0
r2120,6.614557556404987,0
r2122,3.004367580737311,0
r2123,1.5543222335626057,0
r2125,1.4700299989319072,0
r2128,0.918306287656384,0
r2130,1.6558036282709454,0
r2131,44.50821333128634,0
r2132,5.62339416004955,0
r2317,1.4335384781282747,0
r2370,0.935133073518428,0
r2372,1.1628875916626804,0
r2375,1.235048130760428,0
r2380,2.764397863882684,0
RE0453M,7.514717729814803,0
RE1135R,0.8835057203653018,0
RE1521M,3.064390030041468,0
RE1526M,3.064390030041468,0
RE1530M,3.14616700795315,0
RE1533M,3.064390030041468,0
RE1573M,3.064390030041468,0
RE2888C,3.7007508091267547,0
RE2954C,1.7139078108373347,0
RE2973N,0.9419657812203083,0
RE3218C,1.011360304322607,0
RE3269C,2.7027897193801897,0
RE3597C,1.155402453078529,0
EX_CE0074[e],3.7007508091267547,0
sink_c101coa[c],0.8746340841743075,0
C4tcx,0.8446411801404294,0
C4x,0.8446411801402861,0
C81CPT1,0.9483222294843325,0
C81CRNe,0.9483222294843325,0
EX_c81crn[e],0.9483222294843325,0
FAOXC12DCTc,0.9535062921445876,0
FAOXC12DCx,0.9535062921445768,0
HISyLATtc,0.8940209815296227,0
4HPRO_LTte,0.9252985283885833,0
EX_aicar[e],1.0843086220666156,0
LKYNRtr2,1.0041435013001965,0
HKYNRtr,1.194504347426095,0
GLCURtr,0.8222226388246929,0
EX_cholp[e],2.7466980527412668,0
C02712te,4.678657327289995,0
EX_C02712[e],4.678657327289995,0
EX_lnlccrn[e],0.8352286810121252,0
EX_pedh203_hs[e],3.1868864348010586,0
EX_pelinl_hs[e],1.907589633232458,0
EX_pepalm_hs[e],1.118101203352659,0
EX_xolest182_hs[e],0.8584103353137893,0
ARGtD,1.1038273692960803,0
PROSTGE2t2r,13.666420603349518,0
