Reaction,fc,pval
2HBO,-2.90777973671602,0
3MOX4HOXPGALDOX_NADP_,0.8510118604689798,0
ACACt2m,3.461614732193165,0
ACOAD10m,-0.8549664505431928,0
ADNK1m,-0.9306390796912319,0
ADNtm,-0.9648453310320703,0
AKGMALtm,1.5696502677223294,0
ALACYSNaEx,-0.8220051740210547,0
AMETt2m,1.0834559716774739,0
ARACHCPT1,-0.8879799286536008,0
ARACHCPT2,-0.8879799286536014,0
ASNSERNaEx,0.9253776286476267,0
ASPt6,-0.8942408750577348,0
ASPTAm,0.8865366942037567,0
BILGLCURtr,-0.9667171820261765,0
BTNt2,0.8573434813637937,0
C160CPT1,1.1753781080970724,0
C160CRNt,1.47741293272397,0
C161CPT1,0.8477611818629198,0
C181CPT1,-7.104126186087729,0
C181CPT2,-7.746458355520718,0
CERT2rt,6.273019369994244,0
CHOLPtg,0.8666956176953724,0
CSNAT2m,1.1120071582156181,0
CSNAT2x,-11.119478194963525,0
CSNATp,1.3122387387422954,0
CYSGLNNaEx,0.8547931421169067,0
CYSGLUexR,2.0351967821289576,0
CYSGLYexR,1.586244644732699,0
CYSSERNaEx,0.9122177649974974,0
CYStec,1.222133429214777,0
CYTK11n,-5.876429821675057,0
CYTK12n,-3.425801779995113,0
CYTK13,1.8671916706152014,0
CYTK14n,2.844909411233846,0
CYTK5,-11.860432163298828,0
CYTK7,-11.077775566277566,0
CYTK8n,-2.147569649456556,0
CYTK9,1.1918001662410505,0
D3AIBTm,0.9084874763521689,0
DASCBR,-0.942387489681304,0
DCSPTN1CRNt,4.420576686392892,0
DDPGAm,0.8327521416769209,0
DHAAt1r,-0.9891962747697597,0
DMNONCOACRNCPT1,49.73950362140049,0
DUDPtn,0.9431768803692624,0
EHGLAT2m,0.824083121651516,0
EHGLATm,0.8489794793096521,0
EICOSTETCRNt,-4.713857567428144,0
EICOSTETt,26.8800610635837,0
ELAIDCPT1,-0.8980339908747362,0
ESTRONEtr,-0.9377087673908026,0
EX_2hb[e],2.90777973671602,0
EX_5mthf[e],-1.9413292517302077,0
EX_ksi_deg1[e],0.8254385388142585,0
EX_leuktrC4[e],-1.3693255229774126,0
EX_pe_hs[e],-0.9612029581351846,0
FAOXC183803m,-0.8271224163545875,0
FATP1t,-0.9883091919084688,0
FATP6t,0.9801467591785157,0
FATP9t,0.8327101806172847,0
FE3R2e,-0.9839862400929092,0
FUCASE2e,0.8254385388142585,0
FUMm,2.09144635461868,0
FUMSO3tm,-1.4202506634325005,0
FUMtm,-1.547414238792277,0
FUMTSULtm,2.3533037170350997,0
G3PD2m,-0.8737580962568476,0
G6PDH2rer,-3.4945035786828638,0
