Reaction,fc,pval
2HBO,-10.319460991663194,0
5ADTSTSTERONEGLCte,-0.840961225752175,0
5ADTSTSTERONEGLCtr,0.8409612257517243,0
ACACt2m,3.597323230301814,0
ACACT6p,-0.843496648078996,0
ACACT7p,-0.8261394841649702,0
ACACT8p,-0.8235473507558531,0
ACACT9p,0.9631806810608536,0
ACETONEt2,-1.4089774520335852,0
ACETONEt2m,-1.3466060396050026,0
ACGAMK,-0.8336030217824106,0
ACOAO7p,-0.8261394841649702,0
ACONTm,-0.9664517981272058,0
ADNtm,1.1118274836613207,0
AKGMALtm,-15.746123797940772,0
AMETt2m,-1.0571683573675204,0
AMPDA,-0.8545238427287485,0
ATPtn,0.8828375318602847,0
BILGLCURtr,-0.989240444725166,0
BILIRED,-0.8251196147418837,0
C160CPT1,0.9023289667321732,0
C160CPT2,0.8568943018155926,0
C161CPT1,0.9849091045433148,0
C181CPT1,-2.3011836110926835,0
C226COAtx,1.0424951196754697,0
C226CPT1,-0.8249617234586482,0
C226CPT2,-0.8249617234586482,0
CDIPTr,-1.1833551813775711,0
CERT2rt,-0.9413226850867319,0
CHOLPtg,0.8435833344815901,0
CITtam,-5.205422200004322,0
CSNAT2x,-0.9867711715280749,0
CYSGLNNaEx,0.8472322472236155,0
CYSGLUexR,2.559762641830044,0
CYSGLYexR,-1.4626803472639511,0
CYSSERNaEx,-0.9585838440445528,0
CYSt4,0.9694606249283791,0
CYTDt,1.716250445919954,0
CYTK10n,1.3769305638883682,0
CYTK11n,-0.827362159199284,0
CYTK12,1.5346939874176486,0
CYTK13n,0.8894805232865767,0
CYTK14n,2.4524362159465505,0
CYTK2n,-2.251993652128775,0
CYTK5,-4.572614229555307,0
CYTK8,55.13634650895188,0
CYTK8n,-1.6633431940140437,0
DADNt4,-1.6986195469074898,0
DCK2n,-7.743867071466429,0
DCSPTN1CRNt,-4.77031811012169,0
DGNSKm,-0.8260761486624864,0
DGSNtm,-0.8260761486624864,0
DINt,-0.8530792346225925,0
D_LACt2,7.141105244058233,0
D_LACtm,0.9275566860910877,0
DOPAMT,-0.9324361880516384,0
DRPA,-0.8931105554223142,0
DUDPtn,1.137515858233633,0
DURAD,-174.1564088813651,0
EICOSTETCRNt,-2.441420585000702,0
EX_2hb[e],10.31946099166318,0
EX_5adtststeroneglc[e],-0.840961225752175,0
EX_gq1b_hs[e],-0.8348635032202817,0
EX_ksi[e],-0.8378971626617074,0
EX_ksi_deg1[e],0.857173150853576,0
EX_ksii_core2[e],-0.9241053730468275,0
EX_lac_D[e],-7.141105244058233,0
EX_pchol_hs[e],-1.2807398629012439,0
EX_retnglc[e],-0.8278162812679811,0
EX_ump[e],-8.401643006058382,0
FACOAL1821,-0.8248308816814899,0
FACOAL260,0.8335142696728823,0
FAOXC2251836m,-0.858797862613088,0
FAOXC226205m,-0.8430308582545895,0
FATP9t,-0.9052785072489904,0
FOLR2,-0.9307035300251334,0
FOLt2,-3.6962869530561897,0
FRUt1r,-1.0218358040966018,0
FUCASE2e,0.857173150853576,0
FUMSO3tm,1.0175009461381155,0
FUMSO4tm,-3.5576242148996715,0
FUMtm,1.0435253317587951,0
GALASE16ly,0.8861682241924334,0
GALASE17ly,0.8400486480973975,0
GALASE18ly,0.8400486480973975,0
GALGLUSIDEtl,5.448041728384825,0
GLCt1r,-8.749911121258712,0
GLUDxm,15.799955261909787,0
GLYOXm,-0.9275566860910877,0
GLYt4,0.8581473532409214,0
GLYtp,1.6223372676503522,0
GQ1Bte,-0.8465699295974178,0
H2O2tp,3.847330256647418,0
H2Otly,6.223021557250541,0
H7ET2er,-0.8422957011194542,0
HCO3_CLt,-1.0324463490689202,0
HEXCCOAtx,0.9641334412471623,0
HPDCACRNCPT1,-1.779602275504942,0
HPDCACRNCPT2,-1.779602275504846,0
IDPtn,-0.938399188592894,0
ILEt5m,1.2275710779739413,0
ILETAm,1.2275710779739413,0
ITPtn,0.938399188592894,0
KCC2t,1.8467148463754055,0
KCCt,-49.583240397537644,0
KSII_CORE2tly,0.8861682241924334,0
LALDO,-0.989026474857921,0
LCADi_D,-0.8962703166309515,0
LCADim,-0.8564763872381307,0
LEUt5m,1.1706088854469003,0
LEUTAm,1.1706088854469003,0
LEUtec,1.1001625927599152,0
LNELDCCPT1,1.1287609997743515,0
MALtm,-2.5026380236716674,0
MANt1r,-0.9985206250089073,0
METtec,-1.176829107960879,0
MMEm,0.9856661981758218,0
MMMm,-0.9958994130802429,0
MTHFD2m,-3.10670400906864,0
NACHEX23ly,0.92699007681085,0
NACHEX24ly,0.9045942642247073,0
NACHEX25ly,0.8400486480973975,0
NADtn,0.913899170797413,0
NaKt,-0.8744238512971394,0
NDPK6n,1.137515858233633,0
NDPK7n,1.7995673425925334,0
NDPK8n,1.3475578220468722,0
NDPK9n,-0.938399188592894,0
O2ter,2.4269172646229302,0
ORNTArm,1.2030586786698632,0
ORPT,1.8678719405237283,0
PGLYCt,5.712460592664394,0
PHEtec,2.887415388218941,0
PIter,-5.582864853223354,0
PROSTGE2t,-1.0217472306218083,0
PSSA1_hs,1.3819377600485434,0
PTDCAt,1.2637129427968743,0
RETNGLCt,-0.8278162812679811,0
RETNGLCtr,-0.8278162812679811,0
S6TASE22ly,0.8861682241924334,0
S6TASE23ly,0.92699007681085,0
S6TASE24ly,0.9045942642247073,0
SBTD_D2,0.9124162770573774,0
SBTR,0.9124162770573774,0
SERASNNaEx,-0.8987718905505232,0
SERt4,-0.9530828731598008,0
SIAASE3ly,0.8861682241924334,0
SIAT9g,-0.9219324321795126,0
SMPD3g,-0.8435833344815901,0
SR5ARr,-0.840961225752175,0
STRDNCCRNt,1.1630659893003523,0
SUCCt2m,2.203472951466321,0
SUCD1m,5.239479009091012,0
TETPENT6CPT1,-1.488159471261157,0
TETPENT6CPT2,-1.488159471261157,0
TETPENT6CRNt,-1.488159471261157,0
TETTET6CPT1,-4.755459050015314,0
TETTET6CPT2,-4.755459050015314,0
TETTET6CRNt,-4.755459050015314,0
THRALANaEx,0.8866263191555575,0
THRCYSNaEx,-0.9328857698869495,0
THYMDtm,-0.8655054295893627,0
TMNDNCCPT1,1.0335722403170886,0
TMNDNCCPT2,0.9689147025716206,0
TRIODTHYt,-0.842663788473565,0
UDPGLCAter,-3.8670509547729166,0
UGT1A5r,-0.8278162812679811,0
UGT1A9r,-0.840961225752175,0
UMPK2,-1.2608238555550975,0
UMPK2n,2.364137416481699,0
UMPK4,1.0310922900696633,0
UMPK5,1.9000885180523914,0
UMPK6n,3.0607929815075097,0
UMPK7,2.5414411878425236,0
UTPtn,-1.1174190834961024,0
VALt5m,1.3253068562486205,0
VALTAm,1.3253068562486205,0
XOL7AONEtr,-1.0162695983399528,0
EX_dgmp[e],0.8810702071948283,0
EX_dgtp[e],-0.8810702071948283,0
EX_orot[e],1.6716495052443074,0
EX_prpp[e],2.443116153335946,0
r0021,1.380092217887801,0
r0027,-23.991510792122394,0
r0051,2.443116153335946,0
r0245,0.8201052421798383,0
r0249,-1.118929600633156,0
r0276,-0.8956703930342412,0
r0309,1.4580298203140218,0
r0383,-0.9020279085091417,0
r0391,-0.9431047345577765,0
r0409,7.390686793952269,0
r0410,0.8810702071948283,0
r0437,1.064753825589059,0
r0475,-5.9637000628550005,0
r0512,-0.8258130731709402,0
r0545,0.9170834866242674,0
r0547,-0.8670598510150478,0
r0552,1.296109099504524,0
r0555,-0.9020279085091417,0
r0571,0.8493821783176374,0
r0584,-0.8247888409802874,0
r0594,-0.9408833919541831,0
r0643,1.4924766289441358,0
r0672,1.0162695983399528,0
r0715,-0.8261394841649702,0
r0717,-0.8261394841649702,0
r0719,-0.843496648078996,0
r0721,-0.843496648078996,0
r0735,-1.7404810979814571,0
r0758,-1.0221112930649427,0
r0791,-0.9556876258454347,0
r0812,-4.653537567362025,0
r0819,-5.972787282659515,0
r0822,-2.0304153517594474,0
r0829,280.569265566455,0
r0835,0.9534995771148843,0
r0838,-0.8409109103203675,0
r0839,-23.12633045374892,0
r0840,-1.1189296006331493,0
r0913,-1.146753408515853,0
r0917,73.93275776360092,0
r0999,1.0647538255848628,0
r1090,0.9293399136108181,0
r1147,1.0550565709720003,0
r1154,-7.89997337569047,0
r1443,-0.8713846173987183,0
r1444,-0.843496648078996,0
r1459,-15.73120056323722,0
r1544,2.717120632551873,0
r1546,4.914596146531928,0
r1547,-1.4317685989479636,0
r1552,-1.1312480785308272,0
r1553,0.8212923207515913,0
r1554,1.400800704799182,0
r1559,-1.6573077604706672,0
