fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
1.79128204157986e-16,1.00311794328472e-14,"Bile acid synthesis",35,185
5.72225074544325e-16,1.60223020872411e-14,"Fatty acid oxidation",4,961
8.67642910847495e-05,0.00161960010024866,"Drug metabolism",39,573
0.000385810540460614,0.00487078713178834,"Cholesterol metabolism",1,242
0.000434891708195388,0.00487078713178834,"Fatty acid synthesis",1,239
0.000584121025331215,0.00531141010952663,"Vitamin B6 metabolism",4,11
0.000663926263690829,0.00531141010952663,"Exchange/demand reaction",85,1787
0.00127416703874905,0.00891916927124336,"Sphingolipid metabolism",13,133
0.00609878267051284,0.0379479810609688,"Valine, leucine, and isoleucine metabolism",6,45
0.00771274213181434,0.0431913559381603,"Nucleotide interconversion",1,164
0.00953150585903318,0.0485240298278053,"Inositol phosphate metabolism",7,65
0.0137309978995061,0.0621964405330544,"Transport, lysosomal",9,105
0.014438459409459,0.0621964405330544,"Glycosphingolipid metabolism",7,71
0.0179620853830355,0.0718483415321421,"Starch and sucrose metabolism",5,42
0.0272918978376378,0.101889751927181,"N-glycan synthesis",3,18
0.0311541054758228,0.10903936916538,"Heme synthesis",3,19
0.0423529806386891,0.139515700927446,"Vitamin B2 metabolism",2,9
0.0624109673741209,0.194167454052821,"Glycerophospholipid metabolism",3,165
0.0689152081327173,0.203118508180641,"Biotin metabolism",2,12
0.0838332735617387,0.228608152966299,"Miscellaneous",3,152
0.0877483438164834,0.228608152966299,"Galactose metabolism",2,14
0.0898103458081891,0.228608152966299,"Peptide metabolism",12,242
0.0988812141603513,0.240754260564334,"Transport, mitochondrial",19,453
0.136959628339175,0.304951323771933,"Transport, endoplasmic reticular",9,211
0.140447282872664,0.304951323771933,"CoA catabolism",1,4
0.143200733351627,0.304951323771933,"Keratan sulfate degradation",1,76
0.147030102532896,0.304951323771933,"Transport, peroxisomal",7,154
0.152897025234686,0.305794050469372,"Transport, golgi apparatus",2,98
0.161308312801829,0.311491914375946,"Transport, nuclear",4,71
0.178977205994237,0.334090784522577,"Steroid metabolism",2,90
0.194444716009405,0.3512549708557,"Thiamine metabolism",1,6
0.214933981750399,0.358953135872119,"Eicosanoid metabolism",3,93
0.214933981750399,0.358953135872119,"Tyrosine metabolism",3,93
0.217935832493787,0.358953135872119,"ROS detoxification",1,7
0.239276241044218,0.375912627516601,"Taurine and hypotaurine metabolism",1,8
0.243190433813427,0.375912627516601,"Pyrimidine catabolism",2,34
0.258597526015073,0.375912627516601,"Triacylglycerol synthesis",1,9
0.275737578326122,0.375912627516601,"Chondroitin synthesis",2,45
0.275737578326122,0.375912627516601,"Tryptophan metabolism",2,45
0.276024348825943,0.375912627516601,"Beta-Alanine metabolism",1,10
0.276024348825943,0.375912627516601,"Oxidative phosphorylation",1,10
0.290530892383887,0.375912627516601,"Blood group synthesis",1,47
0.290530892383887,0.375912627516601,"Vitamin A metabolism",1,47
0.318207264552516,0.375912627516601,"Glycolysis/gluconeogenesis",1,42
0.323517065337164,0.375912627516601,"Pentose phosphate pathway",1,41
0.328714581499464,0.375912627516601,"Phosphatidylinositol phosphate metabolism",1,40
0.328714581499464,0.375912627516601,"Urea cycle",1,40
0.329056289311812,0.375912627516601,"CoA synthesis",1,14
0.329056289311812,0.375912627516601,"Histidine metabolism",1,14
0.346991648571759,0.375912627516601,"Glutamate metabolism",1,16
0.347996738877646,0.375912627516601,"Phenylalanine metabolism",1,36
0.356424208065716,0.375912627516601,"Purine catabolism",1,34
0.363769613114716,0.375912627516601,"Aminosugar metabolism",1,32
0.366962713984701,0.375912627516601,"Lysine metabolism",1,31
0.369199902025233,0.375912627516601,"Citric acid cycle",1,20
1,1,"Transport, extracellular",105,2652
