fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
7.69352542490893e-22,3.84676271245446e-20,"Fatty acid oxidation",6,961
9.88541263625664e-08,2.47135315906416e-06,"Bile acid synthesis",29,185
1.22057153793088e-06,2.03428589655146e-05,"Drug metabolism",11,573
8.93043488408016e-05,0.00111630436051002,"Exchange/demand reaction",79,1787
0.000294219840343905,0.00294219840343905,"Cholesterol metabolism",3,242
0.000435059759975191,0.00362549799979326,"NAD metabolism",7,27
0.00143873547568801,0.00953407109810926,"Glycolysis/gluconeogenesis",8,42
0.00152545137569748,0.00953407109810926,"Sphingolipid metabolism",16,133
0.00948903269121392,0.0527168482845218,"Transport, mitochondrial",16,453
0.0226412203439404,0.113206101719702,"Aminosugar metabolism",5,32
0.0259820065683097,0.116510555912489,"Glycosphingolipid metabolism",8,71
0.0279625334189972,0.116510555912489,"Pyrimidine catabolism",5,34
0.0350419745442419,0.134776825170161,"Transport, lysosomal",10,105
0.0458488722180702,0.15393298036516,"Glutamate metabolism",3,16
0.0471902786170988,0.15393298036516,"Urea cycle",5,40
0.0492585537168513,0.15393298036516,"Transport, endoplasmic reticular",16,211
0.0695206400412629,0.204472470709597,"Tyrosine metabolism",2,93
0.0748887276733566,0.208024243537102,"Triacylglycerol synthesis",2,9
0.0845904624194286,0.210570997288853,"Transport, golgi apparatus",8,98
0.0873748682205044,0.210570997288853,"Miscellaneous",11,152
0.0884398188613183,0.210570997288853,"Beta-Alanine metabolism",2,10
0.114696903684844,0.235257386439623,"Nucleotide interconversion",7,164
0.115992150985069,0.235257386439623,"Folate metabolism",1,59
0.117027879911055,0.235257386439623,"Peptide metabolism",13,242
0.127540903560925,0.235257386439623,"Eicosanoid metabolism",3,93
0.128723504749147,0.235257386439623,"Glycerophospholipid metabolism",10,165
0.131031238840505,0.235257386439623,"Transport, peroxisomal",7,154
0.142451179640714,0.235257386439623,"Galactose metabolism",2,14
0.142451179640714,0.235257386439623,"Histidine metabolism",2,14
0.146184800558528,0.235257386439623,"Transport, nuclear",2,71
0.147397259152282,0.235257386439623,"Glycine, serine, alanine, and threonine metabolism",4,47
0.153746361818193,0.235257386439623,"Steroid metabolism",6,90
0.155269875050151,0.235257386439623,"Propanoate metabolism",2,15
0.167626527439158,0.246509599175232,"Glutathione metabolism",2,16
0.173445042485652,0.24777863212236,"Inositol phosphate metabolism",2,65
0.185799561396197,0.258054946383606,"Vitamin A metabolism",1,47
0.19979340432629,0.262886058324066,"Tryptophan metabolism",1,45
0.19979340432629,0.262886058324066,"Valine, leucine, and isoleucine metabolism",1,45
0.251690106147967,0.308465075724326,"Thiamine metabolism",1,6
0.255464952045767,0.308465075724326,"Blood group synthesis",2,47
0.256536096134652,0.308465075724326,"Androgen and estrogen synthesis and metabolism",2,26
0.259110663608434,0.308465075724326,"Methionine and cysteine metabolism",2,46
0.271397920246868,0.315142283581735,"Starch and sucrose metabolism",2,42
0.277325209551927,0.315142283581735,"ROS detoxification",1,7
0.285402446701351,0.317113829668168,"Purine catabolism",1,34
0.301503918039386,0.327721650042811,"Pyruvate metabolism",1,32
0.371521025290068,0.38380175961155,"Glyoxylate and dicarboxylate metabolism",1,14
0.372874637705589,0.38380175961155,"Pyrimidine synthesis",1,21
0.376125724419319,0.38380175961155,"Citric acid cycle",1,20
1,1,"Transport, extracellular",148,2652
