fea1,fea2,fea3,fea4,fea5
P-value,Adjusted P-value,"Group",Enriched set size,Total set size
5.06258386915103e-09,2.37941441850098e-07,"Transport, golgi apparatus",21,98
1.56923834938102e-07,3.68771012104539e-06,"Bile acid synthesis",27,185
3.75320321300918e-07,5.88001836704772e-06,"Fatty acid oxidation",23,961
9.22879582921477e-07,1.08438350993274e-05,"Vitamin D metabolism",7,13
2.71067631690563e-05,0.000254803573789129,"Cholesterol metabolism",1,242
0.00100627767965967,0.00788250849066742,"Fatty acid synthesis",3,239
0.00489408440433818,0.0328602810005563,"Propanoate metabolism",4,15
0.0056127904652792,0.0329751439835153,"Drug metabolism",40,573
0.0231602268846276,0.120947851508611,"Sphingolipid metabolism",2,133
0.0373841470683225,0.174538492614009,"Transport, mitochondrial",17,453
0.0408494344415766,0.174538492614009,"Transport, peroxisomal",12,154
0.0567130909356334,0.219154145563513,"Glycine, serine, alanine, and threonine metabolism",5,47
0.0606171040920355,0.219154145563513,"Citric acid cycle",3,20
0.0672000786055768,0.225600263890151,"Pyrimidine synthesis",3,21
0.0721467906352147,0.22605994399034,"Exchange/demand reaction",92,1787
0.0930528542094056,0.239013606780326,"Transport, nuclear",1,71
0.0972981552282795,0.239013606780326,"Transport, endoplasmic reticular",8,211
0.0999516994335249,0.239013606780326,"Peptide metabolism",14,242
0.100993073489261,0.239013606780326,"Miscellaneous",5,152
0.104759405883733,0.239013606780326,"Steroid metabolism",2,90
0.108749944643256,0.239013606780326,"NAD metabolism",3,27
0.113663359506823,0.239013606780326,"Nucleotide interconversion",6,164
0.116964105445691,0.239013606780326,"Inositol phosphate metabolism",1,65
0.136752688458078,0.267807348230403,"Butanoate metabolism",1,3
0.146433627116476,0.270725018402604,"Glycerophospholipid metabolism",8,165
0.155411067942953,0.270725018402604,"Purine catabolism",3,34
0.157445580542147,0.270725018402604,"Eicosanoid metabolism",3,93
0.161282989686658,0.270725018402604,"Transport, lysosomal",6,105
0.199146733645663,0.322755051080903,"Glycosphingolipid metabolism",4,71
0.209294790304929,0.327895171477721,"Tryptophan metabolism",3,45
0.217912689680189,0.330383755321577,"Vitamin A metabolism",1,47
0.234328918331384,0.337113889853396,"Thiamine metabolism",1,6
0.240384978647466,0.337113889853396,"Androgen and estrogen synthesis and metabolism",2,26
0.252985661809557,0.337113889853396,"Glycolysis/gluconeogenesis",1,42
0.259642227410391,0.337113889853396,"ROS detoxification",1,7
0.269143886209448,0.337113889853396,"Pyruvate metabolism",2,32
0.274508044015713,0.337113889853396,"Pyrimidine catabolism",2,34
0.277962952447053,0.337113889853396,"Phenylalanine metabolism",2,36
0.279732802218775,0.337113889853396,"Urea cycle",2,40
0.301091861149617,0.345154084732488,"Triacylglycerol synthesis",1,9
0.301091861149617,0.345154084732488,"Vitamin B2 metabolism",1,9
0.317711595192978,0.346640212666631,"Beta-Alanine metabolism",1,10
0.324826577195783,0.346640212666631,"Aminosugar metabolism",1,32
0.331497239546505,0.346640212666631,"Lysine metabolism",1,31
0.331889565319115,0.346640212666631,"Vitamin B6 metabolism",1,11
0.361726364291961,0.369589980907004,"Histidine metabolism",1,14
1,1,"Transport, extracellular",134,2652
